Year,Serie,Sexo,Units,Value
2018,SI_POV_NAHC,,PT,17.7
2014,SI_POV_NAHC,,PT,18.5
2012,SI_POV_NAHC,,PT,15.4
2022,SI_POV_NAHC,,PT,16.5
2008,SI_POV_NAHC,,PT,14.8
2016,SI_POV_NAHC,,PT,16.4
2020,SI_POV_NAHC,,PT,17.8
2008,SI_POV_NAHC,F,PT,16.6
2012,SI_POV_NAHC,F,PT,16.7
2014,SI_POV_NAHC,F,PT,19.4
2016,SI_POV_NAHC,F,PT,17.6
2020,SI_POV_NAHC,F,PT,18.9
2018,SI_POV_NAHC,F,PT,18.8
2022,SI_POV_NAHC,F,PT,17.7
2022,SI_POV_NAHC,M,PT,15.2
2016,SI_POV_NAHC,M,PT,15.1
2012,SI_POV_NAHC,M,PT,14
2008,SI_POV_NAHC,M,PT,12.9
2018,SI_POV_NAHC,M,PT,16.5
2020,SI_POV_NAHC,M,PT,16.6
2014,SI_POV_NAHC,M,PT,17.6
