Year,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2010,M,Araba/Álava,,,PER_100000_POP,ES211,0
2011,M,Araba/Álava,,,PER_100000_POP,ES211,0
2012,M,Araba/Álava,,,PER_100000_POP,ES211,0
2013,M,Araba/Álava,,,PER_100000_POP,ES211,0
2014,M,Araba/Álava,,,PER_100000_POP,ES211,0.63
2015,M,Araba/Álava,,,PER_100000_POP,ES211,0
2016,M,Araba/Álava,,,PER_100000_POP,ES211,0
2017,M,Araba/Álava,,,PER_100000_POP,ES211,0
2018,M,Araba/Álava,,,PER_100000_POP,ES211,0
2019,M,Araba/Álava,,,PER_100000_POP,ES211,0.62
2020,M,Araba/Álava,,,PER_100000_POP,ES211,0
2021,M,Araba/Álava,,,PER_100000_POP,ES211,0
2022,M,Araba/Álava,,,PER_100000_POP,ES211,0.61
2010,F,Araba/Álava,,,PER_100000_POP,ES211,0
2011,F,Araba/Álava,,,PER_100000_POP,ES211,0
2012,F,Araba/Álava,,,PER_100000_POP,ES211,0
2013,F,Araba/Álava,,,PER_100000_POP,ES211,0
2014,F,Araba/Álava,,,PER_100000_POP,ES211,0
2015,F,Araba/Álava,,,PER_100000_POP,ES211,0
2016,F,Araba/Álava,,,PER_100000_POP,ES211,0.61
2017,F,Araba/Álava,,,PER_100000_POP,ES211,0
2018,F,Araba/Álava,,,PER_100000_POP,ES211,0
2019,F,Araba/Álava,,,PER_100000_POP,ES211,0
2020,F,Araba/Álava,,,PER_100000_POP,ES211,0
2021,F,Araba/Álava,,,PER_100000_POP,ES211,0
2022,F,Araba/Álava,,,PER_100000_POP,ES211,0
2010,,Araba/Álava,,,PER_100000_POP,ES211,0
2011,,Araba/Álava,,,PER_100000_POP,ES211,0
2012,,Araba/Álava,,,PER_100000_POP,ES211,0
2013,,Araba/Álava,,,PER_100000_POP,ES211,0
2014,,Araba/Álava,,,PER_100000_POP,ES211,0.31
2015,,Araba/Álava,,,PER_100000_POP,ES211,0
2016,,Araba/Álava,,,PER_100000_POP,ES211,0.31
2017,,Araba/Álava,,,PER_100000_POP,ES211,0
2018,,Araba/Álava,,,PER_100000_POP,ES211,0
2019,,Araba/Álava,,,PER_100000_POP,ES211,0.3
2020,,Araba/Álava,,,PER_100000_POP,ES211,0
2021,,Araba/Álava,,,PER_100000_POP,ES211,0
2022,,Araba/Álava,,,PER_100000_POP,ES211,0.3
2010,M,,,Alegría-Dulantzi,PER_100000_POP,ES01001,0
