Year,ServEsencial,Administracion,Territorio,Comarca,Municipio,Units,GeoCode,Value
2015,,ADM_PUB,,,,PT,,70.3
2019,,ADM_PUB,,,,PT,,71.2
2020,,ADM_PUB,,,,PT,,72
2014,,ADM_PUB,,,,PT,,70
2012,,ADM_PUB,,,,PT,,69.3
2021,,ADM_PUB,,,,PT,,72.5
2016,,ADM_PUB,,,,PT,,70.5
2017,,ADM_PUB,,,,PT,,70.1
2018,,ADM_PUB,,,,PT,,71
2015,,ADM_AUT,,,,PT,,69.6
2014,,ADM_AUT,,,,PT,,68.4
2012,,ADM_AUT,,,,PT,,65.9
2019,,ADM_AUT,,,,PT,,71.6
2017,,ADM_AUT,,,,PT,,68.4
2021,,ADM_AUT,,,,PT,,71.8
2018,,ADM_AUT,,,,PT,,70
2020,,ADM_AUT,,,,PT,,72.2
2016,,ADM_AUT,,,,PT,,69.1
2020,,ADM_MUN,,,,PT,,19.1
2021,,ADM_MUN,,,,PT,,18.7
2018,,ADM_MUN,,,,PT,,18.1
2019,,ADM_MUN,,,,PT,,18.9
2017,,ADM_MUN,,,,PT,,18.2
2017,,ADM_MUN,,,ES48001,PT,ES48001,13.9
2018,,ADM_MUN,,,ES48001,PT,ES48001,12.5
2021,,ADM_MUN,,,ES48001,PT,ES48001,15.5
2020,,ADM_MUN,,,ES48001,PT,ES48001,11.5
2019,,ADM_MUN,,,ES48001,PT,ES48001,10
2021,,ADM_MUN,,,ES20001,PT,ES20001,9.5
2017,,ADM_MUN,,,ES20001,PT,ES20001,17.2
2019,,ADM_MUN,,,ES20001,PT,ES20001,13.9
2020,,ADM_MUN,,,ES20001,PT,ES20001,5
2018,,ADM_MUN,,,ES20001,PT,ES20001,23.4
2017,,ADM_MUN,,,ES48002,PT,ES48002,17.2
2021,,ADM_MUN,,,ES48002,PT,ES48002,21.3
2019,,ADM_MUN,,,ES48002,PT,ES48002,17.4
2020,,ADM_MUN,,,ES48002,PT,ES48002,19.4
2018,,ADM_MUN,,,ES48002,PT,ES48002,15.4
2019,,ADM_MUN,,,ES20002,PT,ES20002,11.4
2020,,ADM_MUN,,,ES20002,PT,ES20002,18.8
2021,,ADM_MUN,,,ES20002,PT,ES20002,17.7
2017,,ADM_MUN,,,ES20002,PT,ES20002,12.3
2018,,ADM_MUN,,,ES20002,PT,ES20002,16.3
2017,,ADM_MUN,,,ES01051,PT,ES01051,14.8
2020,,ADM_MUN,,,ES01051,PT,ES01051,20.8
2018,,ADM_MUN,,,ES01051,PT,ES01051,13.4
2019,,ADM_MUN,,,ES01051,PT,ES01051,13
2021,,ADM_MUN,,,ES01051,PT,ES01051,16.5
2020,,ADM_MUN,,,ES20016,PT,ES20016,17
2018,,ADM_MUN,,,ES20016,PT,ES20016,17.9
2021,,ADM_MUN,,,ES20016,PT,ES20016,18.6
2019,,ADM_MUN,,,ES20016,PT,ES20016,21.7
2017,,ADM_MUN,,,ES20016,PT,ES20016,21.8
2020,,ADM_MUN,,,ES20003,PT,ES20003,5.5
2019,,ADM_MUN,,,ES20003,PT,ES20003,2.2
2017,,ADM_MUN,,,ES20003,PT,ES20003,2.2
2018,,ADM_MUN,,,ES20003,PT,ES20003,2.6
2021,,ADM_MUN,,,ES20003,PT,ES20003,2.4
2018,,ADM_MUN,,,ES48911,PT,ES48911,4.9
2019,,ADM_MUN,,,ES48911,PT,ES48911,5.7
2020,,ADM_MUN,,,ES48911,PT,ES48911,5.6
2017,,ADM_MUN,,,ES48911,PT,ES48911,3.4
2021,,ADM_MUN,,,ES48911,PT,ES48911,4.3
2021,,ADM_MUN,,,ES20004,PT,ES20004,19.4
2020,,ADM_MUN,,,ES20004,PT,ES20004,19.1
2018,,ADM_MUN,,,ES20004,PT,ES20004,16.2
2019,,ADM_MUN,,,ES20004,PT,ES20004,18.1
2017,,ADM_MUN,,,ES20004,PT,ES20004,14.5
2018,,ADM_MUN,,,ES20005,PT,ES20005,12
2019,,ADM_MUN,,,ES20005,PT,ES20005,17.5
2020,,ADM_MUN,,,ES20005,PT,ES20005,19.5
2021,,ADM_MUN,,,ES20005,PT,ES20005,17.4
2017,,ADM_MUN,,,ES20005,PT,ES20005,13.3
2017,,ADM_MUN,,,ES01001,PT,ES01001,16.6
2019,,ADM_MUN,,,ES01001,PT,ES01001,18.8
2020,,ADM_MUN,,,ES01001,PT,ES01001,18.7
2018,,ADM_MUN,,,ES01001,PT,ES01001,15
2021,,ADM_MUN,,,ES01001,PT,ES01001,20.6
2019,,ADM_MUN,,,ES20006,PT,ES20006,13
2017,,ADM_MUN,,,ES20006,PT,ES20006,10.7
2020,,ADM_MUN,,,ES20006,PT,ES20006,9.3
2021,,ADM_MUN,,,ES20006,PT,ES20006,6.6
2018,,ADM_MUN,,,ES20006,PT,ES20006,8.3
2020,,ADM_MUN,,,ES48912,PT,ES48912,20.4
2019,,ADM_MUN,,,ES48912,PT,ES48912,20.1
2017,,ADM_MUN,,,ES48912,PT,ES48912,15.1
2021,,ADM_MUN,,,ES48912,PT,ES48912,16.9
2018,,ADM_MUN,,,ES48912,PT,ES48912,16
2020,,ADM_MUN,,,ES20906,PT,ES20906,1.8
2021,,ADM_MUN,,,ES20906,PT,ES20906,1
2017,,ADM_MUN,,,ES20906,PT,ES20906,1.4
2019,,ADM_MUN,,,ES20906,PT,ES20906,1
2018,,ADM_MUN,,,ES20906,PT,ES20906,0.5
2018,,ADM_MUN,,,ES20007,PT,ES20007,4.1
2019,,ADM_MUN,,,ES20007,PT,ES20007,3.2
2020,,ADM_MUN,,,ES20007,PT,ES20007,12.4
2017,,ADM_MUN,,,ES20007,PT,ES20007,5.4
2021,,ADM_MUN,,,ES20007,PT,ES20007,8.3
2020,,ADM_MUN,,,ES20008,PT,ES20008,11
2018,,ADM_MUN,,,ES20008,PT,ES20008,8.5
2019,,ADM_MUN,,,ES20008,PT,ES20008,16.6
2017,,ADM_MUN,,,ES20008,PT,ES20008,9.6
2021,,ADM_MUN,,,ES20008,PT,ES20008,11.8
2018,,ADM_MUN,,,ES48003,PT,ES48003,19
2017,,ADM_MUN,,,ES48003,PT,ES48003,20.6
2021,,ADM_MUN,,,ES48003,PT,ES48003,19.5
2019,,ADM_MUN,,,ES48003,PT,ES48003,18.6
2020,,ADM_MUN,,,ES48003,PT,ES48003,19.1
2019,,ADM_MUN,,,ES48004,PT,ES48004,10
2020,,ADM_MUN,,,ES48004,PT,ES48004,4.6
2017,,ADM_MUN,,,ES48004,PT,ES48004,16.1
2021,,ADM_MUN,,,ES48004,PT,ES48004,5.1
2018,,ADM_MUN,,,ES48004,PT,ES48004,11.2
2017,,ADM_MUN,,,ES01002,PT,ES01002,17.1
2019,,ADM_MUN,,,ES01002,PT,ES01002,21.8
2021,,ADM_MUN,,,ES01002,PT,ES01002,19.3
2018,,ADM_MUN,,,ES01002,PT,ES01002,22.2
2020,,ADM_MUN,,,ES01002,PT,ES01002,14.3
2017,,ADM_MUN,,,ES20009,PT,ES20009,33.3
2021,,ADM_MUN,,,ES20009,PT,ES20009,24.6
2020,,ADM_MUN,,,ES20009,PT,ES20009,29.6
2018,,ADM_MUN,,,ES20009,PT,ES20009,21.5
2019,,ADM_MUN,,,ES20009,PT,ES20009,24.1
2020,,ADM_MUN,,,ES20010,PT,ES20010,27
2019,,ADM_MUN,,,ES20010,PT,ES20010,21.9
2021,,ADM_MUN,,,ES20010,PT,ES20010,9.6
2018,,ADM_MUN,,,ES20010,PT,ES20010,18.8
2017,,ADM_MUN,,,ES20010,PT,ES20010,7.4
2021,,ADM_MUN,,,ES20011,PT,ES20011,24.7
2020,,ADM_MUN,,,ES20011,PT,ES20011,18.3
2018,,ADM_MUN,,,ES20011,PT,ES20011,17.1
2017,,ADM_MUN,,,ES20011,PT,ES20011,22.2
2019,,ADM_MUN,,,ES20011,PT,ES20011,21.5
2019,,ADM_MUN,,,ES01049,PT,ES01049,0
2020,,ADM_MUN,,,ES01049,PT,ES01049,3
2021,,ADM_MUN,,,ES01049,PT,ES01049,5.2
2017,,ADM_MUN,,,ES01049,PT,ES01049,3.7
