Year,Series,Territorio,Units,Value
2023,EU_EXP_RGI,,EUR,467682908
2023,EU_EXP_AES,,EUR,50169917
2020,EU_EXP_AES,,EUR,44411720
2021,EU_EXP_AES,,EUR,46360702
2020,EU_EXP_RGI,,EUR,449871226
2019,EU_EXP_RGI,,EUR,422486653
2021,EU_EXP_RGI,,EUR,426611598
2022,EU_EXP_RGI,,EUR,379621576
2022,EU_EXP_AES,,EUR,48425937
2020,EU_EXP_AES,ES211,EUR,8512672
2020,EU_EXP_RGI,ES211,EUR,75592140
2023,EU_EXP_AES,ES211,EUR,9479475
2023,EU_EXP_RGI,ES211,EUR,88337483
2021,EU_EXP_RGI,ES211,EUR,77158266
2019,EU_EXP_RGI,ES211,EUR,69038464
2021,EU_EXP_AES,ES211,EUR,9141231
2022,EU_EXP_AES,ES211,EUR,8383685
2022,EU_EXP_RGI,ES211,EUR,69717518
2020,EU_EXP_AES,ES213,EUR,23306648
2023,EU_EXP_RGI,ES213,EUR,272838253
2022,EU_EXP_AES,ES213,EUR,26243999
2019,EU_EXP_RGI,ES213,EUR,257869704
2021,EU_EXP_RGI,ES213,EUR,251246189
2022,EU_EXP_RGI,ES213,EUR,224539586
2020,EU_EXP_RGI,ES213,EUR,270461291
2021,EU_EXP_AES,ES213,EUR,24422424
2023,EU_EXP_AES,ES213,EUR,26586648
2020,EU_EXP_AES,ES212,EUR,12592399
2023,EU_EXP_RGI,ES212,EUR,106507172
2023,EU_EXP_AES,ES212,EUR,14103793
2022,EU_EXP_RGI,ES212,EUR,85364472
2021,EU_EXP_RGI,ES212,EUR,98207143
2021,EU_EXP_AES,ES212,EUR,12797047
2020,EU_EXP_RGI,ES212,EUR,103817795
2019,EU_EXP_RGI,ES212,EUR,95578485
2022,EU_EXP_AES,ES212,EUR,13798253
