Year,Series,Units,Value,Orden_Series
2014,EU_INDQTHSNG_HUMID,PT,11.8,2000
2022,EU_INDQTHSNG_HUMID,PT,12.4,2000
2012,EU_INDQTHSNG_HUMID,PT,8.8,2000
2018,EU_INDQTHSNG_HUMID,PT,14.2,2000
2008,EU_INDQTHSNG_HUMID,PT,7.7,2000
2020,EU_INDQTHSNG_HUMID,PT,10.5,2000
2016,EU_INDQTHSNG_HUMID,PT,12.3,2000
2008,EU_INDQTHSNG_TOILET,PT,0.4,2010
2016,EU_INDQTHSNG_TOILET,PT,0,2010
2018,EU_INDQTHSNG_TOILET,PT,0,2010
2014,EU_INDQTHSNG_TOILET,PT,0,2010
2020,EU_INDQTHSNG_TOILET,PT,0,2010
2022,EU_INDQTHSNG_TOILET,PT,0,2010
2012,EU_INDQTHSNG_TOILET,PT,0,2010
2008,EU_INDQTHSNG_NOISE,PT,11,2030
2012,EU_INDQTHSNG_NOISE,PT,13.9,2030
2014,EU_INDQTHSNG_NOISE,PT,8.5,2030
2016,EU_INDQTHSNG_NOISE,PT,9.2,2030
2018,EU_INDQTHSNG_NOISE,PT,9.2,2030
2020,EU_INDQTHSNG_NOISE,PT,8.9,2030
2022,EU_INDQTHSNG_NOISE,PT,8,2030
2008,EU_INDQTHSNG_LIGHT,PT,5.7,2040
2014,EU_INDQTHSNG_LIGHT,PT,3.3,2040
2012,EU_INDQTHSNG_LIGHT,PT,12.2,2040
2016,EU_INDQTHSNG_LIGHT,PT,5.4,2040
2018,EU_INDQTHSNG_LIGHT,PT,4,2040
2020,EU_INDQTHSNG_LIGHT,PT,3.3,2040
2022,EU_INDQTHSNG_LIGHT,PT,3.1,2040
