Year,Sexo,Territorio,Units,Value
2018,,,PT,13
2023,,,PT,12.9
2012,,,PT,12.8
2013,,,PT,9.3
2020,,,PT,12.1
2019,,,PT,12.7
2014,,,PT,7.8
2015,,,PT,9.4
2022,,,PT,11.2
2016,,,PT,10.2
2017,,,PT,10.2
2021,,,PT,10.4
2018,,ES211,PT,8.6
2023,,ES211,PT,9.5
2016,,ES211,PT,6.1
2021,,ES211,PT,7.9
2017,,ES211,PT,6
2014,,ES211,PT,5.5
2012,,ES211,PT,9.4
2013,,ES211,PT,6.6
2020,,ES211,PT,8.1
2015,,ES211,PT,5.5
2022,,ES211,PT,7.7
2019,,ES211,PT,9.1
2021,,ES213,PT,13.2
2023,,ES213,PT,15.8
2022,,ES213,PT,15.5
2016,,ES213,PT,15
2017,,ES213,PT,12.7
2014,,ES213,PT,11.4
2019,,ES213,PT,18.1
2015,,ES213,PT,14.5
2012,,ES213,PT,17.4
2018,,ES213,PT,16.2
2020,,ES213,PT,13.3
2013,,ES213,PT,13.6
2023,,ES212,PT,17.7
2016,,ES212,PT,16.7
2021,,ES212,PT,13.9
2022,,ES212,PT,15.4
2015,,ES212,PT,13.9
2014,,ES212,PT,9.2
2020,,ES212,PT,21.3
2013,,ES212,PT,10.5
2018,,ES212,PT,20.2
2012,,ES212,PT,15.4
2019,,ES212,PT,16.5
2017,,ES212,PT,17.7
2019,2,,PT,9.3
2013,2,,PT,9.8
2023,2,,PT,6.7
2015,2,,PT,3
2014,2,,PT,4.4
2016,2,,PT,6.5
2022,2,,PT,8.1
2012,2,,PT,7.6
2018,2,,PT,8.9
2020,2,,PT,6
2017,2,,PT,7.5
2021,2,,PT,7
2012,2,ES211,PT,6.7
2016,2,ES211,PT,6.6
2013,2,ES211,PT,9.7
2022,2,ES211,PT,6.3
2021,2,ES211,PT,5.4
2020,2,ES211,PT,6.9
2018,2,ES211,PT,9.5
2017,2,ES211,PT,5.4
2014,2,ES211,PT,6.3
2023,2,ES211,PT,6.5
2015,2,ES211,PT,4.2
2019,2,ES211,PT,10.2
2014,2,ES213,PT,0
2013,2,ES213,PT,0
2012,2,ES213,PT,0
2015,2,ES213,PT,0
2023,2,ES213,PT,0
2019,2,ES213,PT,0
2021,2,ES213,PT,0
2022,2,ES213,PT,0
2020,2,ES213,PT,0
2018,2,ES213,PT,0
2017,2,ES213,PT,0
2016,2,ES213,PT,0
2023,2,ES212,PT,12.5
2022,2,ES212,PT,16.7
2020,2,ES212,PT,9.5
2019,2,ES212,PT,12.5
2018,2,ES212,PT,11.1
2021,2,ES212,PT,13.8
2017,2,ES212,PT,17.2
2016,2,ES212,PT,10.5
2015,2,ES212,PT,0
2013,2,ES212,PT,13.9
2012,2,ES212,PT,13.8
2014,2,ES212,PT,0
2012,1,,PT,13.3
2017,1,,PT,10.5
2022,1,,PT,11.5
2016,1,,PT,10.6
2015,1,,PT,10.1
2013,1,,PT,9.2
2019,1,,PT,13.1
2023,1,,PT,13.5
2014,1,,PT,8.3
2021,1,,PT,10.7
2020,1,,PT,12.8
2018,1,,PT,13.4
2013,1,ES211,PT,6
2018,1,ES211,PT,8.4
2023,1,ES211,PT,9.8
2021,1,ES211,PT,8.1
2014,1,ES211,PT,5.3
2022,1,ES211,PT,7.8
2016,1,ES211,PT,6.1
2020,1,ES211,PT,8.2
2017,1,ES211,PT,6.1
2012,1,ES211,PT,9.8
2015,1,ES211,PT,5.7
2019,1,ES211,PT,9
2018,1,ES213,PT,16.8
2017,1,ES213,PT,13.4
2016,1,ES213,PT,15.7
2015,1,ES213,PT,15.4
2014,1,ES213,PT,11.9
2013,1,ES213,PT,14.2
2012,1,ES213,PT,18.1
2023,1,ES213,PT,16.8
2022,1,ES213,PT,16.1
2021,1,ES213,PT,13.7
2020,1,ES213,PT,14.3
2019,1,ES213,PT,19.3
2018,1,ES212,PT,21.1
2017,1,ES212,PT,17.7
2016,1,ES212,PT,17.2
2015,1,ES212,PT,15
2014,1,ES212,PT,10.2
2013,1,ES212,PT,10
2012,1,ES212,PT,15.6
2023,1,ES212,PT,18.3
2022,1,ES212,PT,15.3
2021,1,ES212,PT,13.9
2020,1,ES212,PT,22.2
2019,1,ES212,PT,16.9
