Year,Edad,Sexo,Units,Value
2018,Y_GE18,,PT,12.8
2013,Y_GE18,,PT,14.5
2017,Y_GE18,,PT,13.8
2011,Y_GE18,,PT,15.3
2014,Y_GE18,,PT,13
2023,Y_GE18,,PT,14
2019,Y_GE18,,PT,13.5
2014,Y_GE18,F,PT,11.9
2011,Y_GE18,F,PT,15.3
2013,Y_GE18,F,PT,13.8
2019,Y_GE18,F,PT,13.5
2023,Y_GE18,F,PT,13.5
2017,Y_GE18,F,PT,13.5
2018,Y_GE18,F,PT,11.7
2013,Y_GE18,M,PT,15.2
2011,Y_GE18,M,PT,15.2
2018,Y_GE18,M,PT,14
2019,Y_GE18,M,PT,13.5
2017,Y_GE18,M,PT,14.2
2023,Y_GE18,M,PT,14.6
2014,Y_GE18,M,PT,14.2
2013,Y2T17,,PT,35.6
2023,Y2T17,,PT,36.1
2018,Y2T17,,PT,33.4
2023,Y2T17,F,PT,34.3
2013,Y2T17,F,PT,36.4
2018,Y2T17,F,PT,30.3
2018,Y2T17,M,PT,34.1
2023,Y2T17,M,PT,37.7
2013,Y2T17,M,PT,35
