Year,Ambito,Units,Value
2015,01,CON_EUR,18898.2
2016,01,CON_EUR,17907
2017,01,CON_EUR,12241.1
2018,01,CON_EUR,14879.2
2019,01,CON_EUR,12267.3
2020,01,CON_EUR,7637.6
2021,01,CON_EUR,7234.3
2015,20,CON_EUR,4877
2016,20,CON_EUR,6939.4
2017,20,CON_EUR,6196
2018,20,CON_EUR,6386.2
2019,20,CON_EUR,5670.4
2020,20,CON_EUR,1816.6
2021,20,CON_EUR,2926.6
2015,48,CON_EUR,6274.2
2016,48,CON_EUR,7118.4
2017,48,CON_EUR,5406.1
2018,48,CON_EUR,7334.5
2019,48,CON_EUR,11525
2020,48,CON_EUR,7641.5
2021,48,CON_EUR,5118.8
2015,_T,CON_EUR,7680.2
2016,_T,CON_EUR,8479.1
2017,_T,CON_EUR,6744.6
2018,_T,CON_EUR,7612.6
2019,_T,CON_EUR,7899.9
2020,_T,CON_EUR,3757.6
2021,_T,CON_EUR,4033.8
