Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2012,,,,PT,,1.1
2013,,,,PT,,1.1
2017,,,,PT,,1.6
2016,,,,PT,,1.2
2010,,,,PT,,0.8
2019,,,,PT,,2.1
2011,,,,PT,,0.8
2014,,,,PT,,1
2021,,,,PT,,2.9
2015,,,,PT,,1.1
2020,,,,PT,,2.6
2018,,,,PT,,1.7
2021,,,ES48001,PT,ES48001,3.9
2018,,,ES48001,PT,ES48001,0.2
2013,,,ES48001,PT,ES48001,0.4
2016,,,ES48001,PT,ES48001,0.2
2010,,,ES48001,PT,ES48001,0.3
2012,,,ES48001,PT,ES48001,0.4
2015,,,ES48001,PT,ES48001,0.3
2017,,,ES48001,PT,ES48001,0.2
2019,,,ES48001,PT,ES48001,2.7
2014,,,ES48001,PT,ES48001,0.3
2011,,,ES48001,PT,ES48001,0.4
2020,,,ES48001,PT,ES48001,3.8
2014,,,ES20001,PT,ES20001,0
2018,,,ES20001,PT,ES20001,0.8
2021,,,ES20001,PT,ES20001,1.7
2020,,,ES20001,PT,ES20001,0.6
2010,,,ES20001,PT,ES20001,0.8
2011,,,ES20001,PT,ES20001,0.8
2016,,,ES20001,PT,ES20001,0
2012,,,ES20001,PT,ES20001,0.8
2013,,,ES20001,PT,ES20001,0.8
2019,,,ES20001,PT,ES20001,0.6
2015,,,ES20001,PT,ES20001,0
2017,,,ES20001,PT,ES20001,0
2016,,,ES48002,PT,ES48002,0
2011,,,ES48002,PT,ES48002,0
2021,,,ES48002,PT,ES48002,0.2
2013,,,ES48002,PT,ES48002,0
2019,,,ES48002,PT,ES48002,0
2010,,,ES48002,PT,ES48002,0
2015,,,ES48002,PT,ES48002,0
2014,,,ES48002,PT,ES48002,0
2012,,,ES48002,PT,ES48002,0
2020,,,ES48002,PT,ES48002,0.2
2018,,,ES48002,PT,ES48002,1.1
2017,,,ES48002,PT,ES48002,0
2016,,,ES20002,PT,ES20002,0
2010,,,ES20002,PT,ES20002,0
2014,,,ES20002,PT,ES20002,0
2019,,,ES20002,PT,ES20002,0
2017,,,ES20002,PT,ES20002,0
2018,,,ES20002,PT,ES20002,0
2015,,,ES20002,PT,ES20002,0
2012,,,ES20002,PT,ES20002,0
2021,,,ES20002,PT,ES20002,0
2011,,,ES20002,PT,ES20002,0
2013,,,ES20002,PT,ES20002,0
2020,,,ES20002,PT,ES20002,0
2020,,,ES01051,PT,ES01051,0.4
2014,,,ES01051,PT,ES01051,0.3
2015,,,ES01051,PT,ES01051,0.3
2016,,,ES01051,PT,ES01051,0.4
2019,,,ES01051,PT,ES01051,0.4
2011,,,ES01051,PT,ES01051,0.3
2021,,,ES01051,PT,ES01051,0.1
2012,,,ES01051,PT,ES01051,0.3
2017,,,ES01051,PT,ES01051,0.4
2013,,,ES01051,PT,ES01051,0.3
2018,,,ES01051,PT,ES01051,0.4
2010,,,ES01051,PT,ES01051,0.4
2010,,,ES20016,PT,ES20016,0.3
2011,,,ES20016,PT,ES20016,0.5
2020,,,ES20016,PT,ES20016,0.9
2017,,,ES20016,PT,ES20016,0.4
2019,,,ES20016,PT,ES20016,1.2
2012,,,ES20016,PT,ES20016,0.5
2014,,,ES20016,PT,ES20016,0.4
2016,,,ES20016,PT,ES20016,0.4
2018,,,ES20016,PT,ES20016,0.4
2015,,,ES20016,PT,ES20016,0.4
2013,,,ES20016,PT,ES20016,0.3
2021,,,ES20016,PT,ES20016,1.4
2021,,,ES20003,PT,ES20003,0.6
2020,,,ES20003,PT,ES20003,1.1
2010,,,ES20003,PT,ES20003,1.6
2017,,,ES20003,PT,ES20003,1
2011,,,ES20003,PT,ES20003,1.6
2019,,,ES20003,PT,ES20003,1.1
2013,,,ES20003,PT,ES20003,1.6
2018,,,ES20003,PT,ES20003,1.1
2014,,,ES20003,PT,ES20003,1.1
2016,,,ES20003,PT,ES20003,1.1
2015,,,ES20003,PT,ES20003,1.1
2012,,,ES20003,PT,ES20003,1.6
2017,,,ES48911,PT,ES48911,2.1
2020,,,ES48911,PT,ES48911,2.1
2016,,,ES48911,PT,ES48911,2.1
2018,,,ES48911,PT,ES48911,2
2015,,,ES48911,PT,ES48911,2.2
2014,,,ES48911,PT,ES48911,2.5
2011,,,ES48911,PT,ES48911,2.3
2010,,,ES48911,PT,ES48911,1
2021,,,ES48911,PT,ES48911,2.2
2012,,,ES48911,PT,ES48911,2.3
2019,,,ES48911,PT,ES48911,2.1
2013,,,ES48911,PT,ES48911,2.6
2019,,,ES20004,PT,ES20004,0
2018,,,ES20004,PT,ES20004,0
2012,,,ES20004,PT,ES20004,0
2016,,,ES20004,PT,ES20004,0
2011,,,ES20004,PT,ES20004,0
2014,,,ES20004,PT,ES20004,0
2010,,,ES20004,PT,ES20004,0
2013,,,ES20004,PT,ES20004,0
2017,,,ES20004,PT,ES20004,0
2015,,,ES20004,PT,ES20004,0
2020,,,ES20004,PT,ES20004,0
2021,,,ES20004,PT,ES20004,0
2021,,,ES20005,PT,ES20005,0.3
2012,,,ES20005,PT,ES20005,0
2013,,,ES20005,PT,ES20005,0
2015,,,ES20005,PT,ES20005,0
2017,,,ES20005,PT,ES20005,0.3
2010,,,ES20005,PT,ES20005,0
2014,,,ES20005,PT,ES20005,0
2018,,,ES20005,PT,ES20005,0.3
2011,,,ES20005,PT,ES20005,0
2020,,,ES20005,PT,ES20005,0.3
2019,,,ES20005,PT,ES20005,0.3
2016,,,ES20005,PT,ES20005,0
2021,,,ES01001,PT,ES01001,0.9
2017,,,ES01001,PT,ES01001,0.2
2018,,,ES01001,PT,ES01001,0.5
2012,,,ES01001,PT,ES01001,0.2
2010,,,ES01001,PT,ES01001,0.2
2011,,,ES01001,PT,ES01001,0.2
2013,,,ES01001,PT,ES01001,0.5
2019,,,ES01001,PT,ES01001,0.9
2014,,,ES01001,PT,ES01001,0.2
2020,,,ES01001,PT,ES01001,0.9
2015,,,ES01001,PT,ES01001,0.2
2016,,,ES01001,PT,ES01001,0.2
2010,,,ES20006,PT,ES20006,0.1
2014,,,ES20006,PT,ES20006,0.1
2012,,,ES20006,PT,ES20006,0.1
