Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2010,01,,,PT,01,1.1
2011,01,,,PT,01,1
2012,01,,,PT,01,1.1
2013,01,,,PT,01,1
2014,01,,,PT,01,1.4
2015,01,,,PT,01,1.5
2016,01,,,PT,01,1.5
2017,01,,,PT,01,1.5
2018,01,,,PT,01,1.6
2019,01,,,PT,01,1.4
2020,01,,,PT,01,1.2
2021,01,,,PT,01,1.4
2022,01,,,PT,01,1.4
2014,,,01001,PT,01001,2.5
2015,,,01001,PT,01001,3.6
2016,,,01001,PT,01001,3.4
2017,,,01001,PT,01001,4.1
2018,,,01001,PT,01001,4
2019,,,01001,PT,01001,3.5
2020,,,01001,PT,01001,3.2
2014,,,01002,PT,01002,1.5
2015,,,01002,PT,01002,1.3
2016,,,01002,PT,01002,1.2
2017,,,01002,PT,01002,1.3
2018,,,01002,PT,01002,1.2
2019,,,01002,PT,01002,0.9
2020,,,01002,PT,01002,1
2014,,,01003,PT,01003,17.4
2015,,,01003,PT,01003,15.9
2016,,,01003,PT,01003,14.4
2017,,,01003,PT,01003,16.4
2018,,,01003,PT,01003,16.5
2019,,,01003,PT,01003,13.8
2020,,,01003,PT,01003,12.5
2014,,,01004,PT,01004,2.9
2015,,,01004,PT,01004,2.2
2016,,,01004,PT,01004,2.1
2017,,,01004,PT,01004,2.4
2018,,,01004,PT,01004,2.7
2019,,,01004,PT,01004,2
2020,,,01004,PT,01004,1.7
2014,,,01006,PT,01006,6.6
2015,,,01006,PT,01006,7.3
2016,,,01006,PT,01006,9.2
2017,,,01006,PT,01006,7.4
2018,,,01006,PT,01006,7.2
2019,,,01006,PT,01006,8.1
2020,,,01006,PT,01006,9.6
2014,,,01008,PT,01008,10.7
2015,,,01008,PT,01008,9.3
2016,,,01008,PT,01008,9
2017,,,01008,PT,01008,8.8
2018,,,01008,PT,01008,7.5
2019,,,01008,PT,01008,6.8
2020,,,01008,PT,01008,6.4
2014,,,01009,PT,01009,3.5
2015,,,01009,PT,01009,3.1
2016,,,01009,PT,01009,2.4
2017,,,01009,PT,01009,1.7
2018,,,01009,PT,01009,1.5
2019,,,01009,PT,01009,1.3
2020,,,01009,PT,01009,1.7
2014,,0101,,PT,0101,8.1
2015,,0101,,PT,0101,7.4
2016,,0101,,PT,0101,7.1
2017,,0101,,PT,0101,6.7
2018,,0101,,PT,0101,7
2019,,0101,,PT,0101,6.5
2020,,0101,,PT,0101,6.3
2014,,,01010,PT,01010,11.9
2015,,,01010,PT,01010,9.2
2016,,,01010,PT,01010,7.9
2017,,,01010,PT,01010,8.4
2018,,,01010,PT,01010,7.8
2019,,,01010,PT,01010,6.1
2020,,,01010,PT,01010,6
2014,,,01011,PT,01011,26.6
2015,,,01011,PT,01011,32.6
2016,,,01011,PT,01011,34.2
2017,,,01011,PT,01011,34.5
2018,,,01011,PT,01011,37.1
2019,,,01011,PT,01011,35.7
2020,,,01011,PT,01011,39.7
2014,,,01013,PT,01013,30.9
2015,,,01013,PT,01013,25.8
2016,,,01013,PT,01013,27.3
2017,,,01013,PT,01013,28.2
2018,,,01013,PT,01013,27.5
2019,,,01013,PT,01013,26.6
2020,,,01013,PT,01013,26.7
2014,,,01014,PT,01014,4.1
2015,,,01014,PT,01014,6
2016,,,01014,PT,01014,4.9
2017,,,01014,PT,01014,4
2018,,,01014,PT,01014,4.4
2019,,,01014,PT,01014,3.9
2020,,,01014,PT,01014,4.4
2014,,,01016,PT,01016,7.5
2015,,,01016,PT,01016,7.8
2016,,,01016,PT,01016,7.6
2017,,,01016,PT,01016,7.5
2018,,,01016,PT,01016,7.4
2019,,,01016,PT,01016,7
2020,,,01016,PT,01016,5.6
