Year,Series,Alimento,Ambito,Units,Value
2003 01,IFPA,Total,ES211,IX,0.192714993
2003 01,IFPA,Total,ES212,IX,0.418725714
2003 01,IFPA,Total,ES213,IX,0.429395008
2003 01,IFPA,Aceite,,IX,0.020170167
2003 01,IFPA,Cereales,,IX,0.179341883
2003 01,IFPA,Huevos,,IX,0.297938867
2003 01,IFPA,Leche,,IX,-0.168440588
2003 01,IFPA,Pan,,IX,0.916362748
2003 01,IFPA,Total,,IX,0.400087299
2003 02,IFPA,Total,ES211,IX,0.093008262
2003 02,IFPA,Total,ES212,IX,0.268998616
2003 02,IFPA,Total,ES213,IX,0.191797091
2003 02,IFPA,Aceite,,IX,0.010959166
2003 02,IFPA,Cereales,,IX,-0.384847446
2003 02,IFPA,Huevos,,IX,0.526803996
2003 02,IFPA,Leche,,IX,0.544546704
2003 02,IFPA,Pan,,IX,0.928674171
2003 02,IFPA,Total,,IX,0.205716012
2003 03,IFPA,Total,ES211,IX,0.058467602
2003 03,IFPA,Total,ES212,IX,0.259133582
2003 03,IFPA,Total,ES213,IX,0.276261727
2003 03,IFPA,Aceite,,IX,-0.077382424
2003 03,IFPA,Cereales,,IX,-0.272410471
2003 03,IFPA,Huevos,,IX,-0.204936682
2003 03,IFPA,Leche,,IX,0.54943163
2003 03,IFPA,Pan,,IX,1.052430246
2003 03,IFPA,Total,,IX,0.246774224
2003 04,IFPA,Total,ES211,IX,-0.198082731
2003 04,IFPA,Total,ES212,IX,0.070909868
2003 04,IFPA,Total,ES213,IX,-0.06140436
2003 04,IFPA,Aceite,,IX,-0.315968964
2003 04,IFPA,Cereales,,IX,-0.405424613
2003 04,IFPA,Huevos,,IX,-0.497395766
2003 04,IFPA,Leche,,IX,0.639814892
2003 04,IFPA,Pan,,IX,1.212291792
2003 04,IFPA,Total,,IX,-0.038944057
2003 05,IFPA,Total,ES211,IX,-0.115847089
2003 05,IFPA,Total,ES212,IX,0.191592552
2003 05,IFPA,Total,ES213,IX,0.068088734
2003 05,IFPA,Aceite,,IX,-0.379632175
2003 05,IFPA,Cereales,,IX,-0.087591688
2003 05,IFPA,Huevos,,IX,-0.360184443
2003 05,IFPA,Leche,,IX,0.337091815
2003 05,IFPA,Pan,,IX,1.266402002
2003 05,IFPA,Total,,IX,0.083304711
2003 06,IFPA,Total,ES211,IX,-0.192608393
2003 06,IFPA,Total,ES212,IX,0.072532702
2003 06,IFPA,Total,ES213,IX,-0.060271427
2003 06,IFPA,Aceite,,IX,-0.41865049
2003 06,IFPA,Cereales,,IX,-0.318699244
2003 06,IFPA,Huevos,,IX,-0.065145743
2003 06,IFPA,Leche,,IX,0.260123791
2003 06,IFPA,Pan,,IX,0.969067479
2003 06,IFPA,Total,,IX,-0.038546868
2003 07,IFPA,Total,ES211,IX,0.379103653
2003 07,IFPA,Total,ES212,IX,0.357372313
2003 07,IFPA,Total,ES213,IX,0.244203697
2003 07,IFPA,Aceite,,IX,-0.228337358
2003 07,IFPA,Cereales,,IX,-0.595573152
2003 07,IFPA,Huevos,,IX,0.173233635
2003 07,IFPA,Leche,,IX,0.101369019
2003 07,IFPA,Pan,,IX,0.508816785
2003 07,IFPA,Total,,IX,0.296557998
2003 08,IFPA,Total,ES211,IX,0.951569664
2003 08,IFPA,Total,ES212,IX,0.541446332
2003 08,IFPA,Total,ES213,IX,0.54660086
2003 08,IFPA,Aceite,,IX,-0.185195902
2003 08,IFPA,Cereales,,IX,-0.539734883
2003 08,IFPA,Huevos,,IX,0.210348641
2003 08,IFPA,Leche,,IX,-0.15527205
2003 08,IFPA,Pan,,IX,0.440018324
2003 08,IFPA,Total,,IX,0.612699075
2003 09,IFPA,Total,ES211,IX,1.36454386
2003 09,IFPA,Total,ES212,IX,0.929189667
2003 09,IFPA,Total,ES213,IX,1.144086328
2003 09,IFPA,Aceite,,IX,-0.297011727
2003 09,IFPA,Cereales,,IX,-0.624662171
2003 09,IFPA,Huevos,,IX,0.098532488
2003 09,IFPA,Leche,,IX,-0.098320391
2003 09,IFPA,Pan,,IX,-0.48351415
2003 09,IFPA,Total,,IX,1.128824922
2003 10,IFPA,Total,ES211,IX,0.819944141
2003 10,IFPA,Total,ES212,IX,0.403231693
2003 10,IFPA,Total,ES213,IX,0.326316926
2003 10,IFPA,Aceite,,IX,-0.017820066
2003 10,IFPA,Cereales,,IX,-0.870017693
2003 10,IFPA,Huevos,,IX,1.585555107
2003 10,IFPA,Leche,,IX,-0.134483735
2003 10,IFPA,Pan,,IX,0.367825109
2003 10,IFPA,Total,,IX,0.423068996
2003 11,IFPA,Total,ES211,IX,0.616258645
2003 11,IFPA,Total,ES212,IX,0.460703867
2003 11,IFPA,Total,ES213,IX,0.258202154
2003 11,IFPA,Aceite,,IX,-0.027240212
2003 11,IFPA,Cereales,,IX,-0.646683857
2003 11,IFPA,Huevos,,IX,2.380823434
2003 11,IFPA,Leche,,IX,-0.104607172
2003 11,IFPA,Pan,,IX,0.333792446
2003 11,IFPA,Total,,IX,0.373369426
2003 12,IFPA,Total,ES211,IX,0.566236666
2003 12,IFPA,Total,ES212,IX,0.36048548
2003 12,IFPA,Total,ES213,IX,0.09057945
2003 12,IFPA,Aceite,,IX,0.199278336
2003 12,IFPA,Cereales,,IX,-0.537804379
2003 12,IFPA,Huevos,,IX,2.772527435
2003 12,IFPA,Leche,,IX,-0.103233611
2003 12,IFPA,Pan,,IX,1.194835212
2003 12,IFPA,Total,,IX,0.242594269
2004 01,IFPA,Total,ES211,IX,0.677948556
2004 01,IFPA,Total,ES212,IX,0.573292059
2004 01,IFPA,Total,ES213,IX,0.592488251
2004 01,IFPA,Aceite,,IX,0.069174639
2004 01,IFPA,Cereales,,IX,-0.146523348
2004 01,IFPA,Huevos,,IX,2.605935969
2004 01,IFPA,Leche,,IX,0.039709371
2004 01,IFPA,Pan,,IX,1.496672854
2004 01,IFPA,Total,,IX,0.602255236
2004 02,IFPA,Total,ES211,IX,0.421544157
2004 02,IFPA,Total,ES212,IX,0.220262741
2004 02,IFPA,Total,ES213,IX,0.323502929
2004 02,IFPA,Aceite,,IX,0.069207456
2004 02,IFPA,Cereales,,IX,0.208844942
2004 02,IFPA,Huevos,,IX,1.574830939
2004 02,IFPA,Leche,,IX,0.078350869
2004 02,IFPA,Pan,,IX,1.687551305
2004 02,IFPA,Total,,IX,0.304558891
2004 03,IFPA,Total,ES211,IX,0.558074754
2004 03,IFPA,Total,ES212,IX,0.200411267
2004 03,IFPA,Total,ES213,IX,0.443872658
2004 03,IFPA,Aceite,,IX,-0.109402023
2004 03,IFPA,Cereales,,IX,0.379430738
2004 03,IFPA,Huevos,,IX,1.137151041
2004 03,IFPA,Leche,,IX,0.626274438
2004 03,IFPA,Pan,,IX,1.631254404
2004 03,IFPA,Total,,IX,0.383558592
2004 04,IFPA,Total,ES211,IX,0.762026737
2004 04,IFPA,Total,ES212,IX,0.256208538
2004 04,IFPA,Total,ES213,IX,0.403063114
