Year,Series,Alimento,Territorio,Units,Value
2003,AG_FPA_CFPI,ECOICOP011,01,IX,0.41556539
2003,AG_FPA_CFPI,ECOICOP011,20,IX,0.389246223
2003,AG_FPA_CFPI,ECOICOP011,48,IX,0.313031
2003,AG_FPA_CFPI,ECOICOP011,,IX,0.356289071
2003,AG_FPA_CFPI,ECOICOP01111,,IX,0.771709077
2003,AG_FPA_CFPI,ECOICOP11112,,IX,-0.423118314
2003,AG_FPA_CFPI,ECOICOP112,,IX,0.739567843
2003,AG_FPA_CFPI,ECOICOP113,,IX,0.334890331
2003,AG_FPA_CFPI,ECOICOP1141,,IX,0.132515957
2003,AG_FPA_CFPI,ECOICOP1142,,IX,0.601988933
2003,AG_FPA_CFPI,ECOICOP115,,IX,-0.167748551
2004,AG_FPA_CFPI,ECOICOP011,01,IX,0.477189505
2004,AG_FPA_CFPI,ECOICOP011,20,IX,0.253414735
2004,AG_FPA_CFPI,ECOICOP011,48,IX,0.255984787
2004,AG_FPA_CFPI,ECOICOP011,,IX,0.284566756
2004,AG_FPA_CFPI,ECOICOP01111,,IX,1.020720487
2004,AG_FPA_CFPI,ECOICOP11112,,IX,-0.225808799
2004,AG_FPA_CFPI,ECOICOP112,,IX,0.659800518
2004,AG_FPA_CFPI,ECOICOP113,,IX,0.008995504
2004,AG_FPA_CFPI,ECOICOP1141,,IX,0.162415332
2004,AG_FPA_CFPI,ECOICOP1142,,IX,0.609331593
2004,AG_FPA_CFPI,ECOICOP115,,IX,0.412896124
2005,AG_FPA_CFPI,ECOICOP011,01,IX,0.288429555
2005,AG_FPA_CFPI,ECOICOP011,20,IX,0.110626707
2005,AG_FPA_CFPI,ECOICOP011,48,IX,0.133035803
2005,AG_FPA_CFPI,ECOICOP011,,IX,0.147142643
2005,AG_FPA_CFPI,ECOICOP01111,,IX,0.59827734
2005,AG_FPA_CFPI,ECOICOP11112,,IX,-0.164724202
2005,AG_FPA_CFPI,ECOICOP112,,IX,0.052149331
2005,AG_FPA_CFPI,ECOICOP113,,IX,0.25445959
2005,AG_FPA_CFPI,ECOICOP1141,,IX,0.000609278
2005,AG_FPA_CFPI,ECOICOP1142,,IX,-0.790964917
2005,AG_FPA_CFPI,ECOICOP115,,IX,0.230363662
2006,AG_FPA_CFPI,ECOICOP011,01,IX,0.54036686
2006,AG_FPA_CFPI,ECOICOP011,20,IX,0.204462157
2006,AG_FPA_CFPI,ECOICOP011,48,IX,0.16891232
2006,AG_FPA_CFPI,ECOICOP011,,IX,0.228067937
