Year,Territorio,Units,Value,COL2,COL3
2022,,PER_1000_LIVE_BIRTHS,4.69,2.4198427102,3.5913221929
2012,,PER_1000_LIVE_BIRTHS,2.79,3.5677879715,3.1634788534
2021,,PER_1000_LIVE_BIRTHS,3.1,2.7737226277,2.9450950144
2016,,PER_1000_LIVE_BIRTHS,3.54,2.8030048212,3.1791273843
2017,,PER_1000_LIVE_BIRTHS,3.29,2.1810250818,2.7515953399
2013,,PER_1000_LIVE_BIRTHS,2.95,2.6919349629,2.8241200774
2014,,PER_1000_LIVE_BIRTHS,2.94,2.8391167192,2.8892787122
2011,,PER_1000_LIVE_BIRTHS,2.51,4.2246759482,3.3512697064
2023,,PER_1000_LIVE_BIRTHS,3.19,3.0492453118,3.121748179
2020,,PER_1000_LIVE_BIRTHS,3.27,2.817298211,3.0514680952
2010,,PER_1000_LIVE_BIRTHS,3.24,3.7699371677,3.4973297415
2018,,PER_1000_LIVE_BIRTHS,3.51,3.6956798777,3.602037014
2019,,PER_1000_LIVE_BIRTHS,3.79,3.3253524874,3.5658713693
2024,,PER_1000_LIVE_BIRTHS,2.58,2.0469217446,2.3189302002
2015,,PER_1000_LIVE_BIRTHS,3.49,3.3968880123,3.4460820698
2013,ES211,PER_1000_LIVE_BIRTHS,4.33,2.025658339,3.2268473701
2010,ES211,PER_1000_LIVE_BIRTHS,3.45,2.4906600249,2.988643156
2017,ES211,PER_1000_LIVE_BIRTHS,3.34,2.7322404372,3.0384875084
2014,ES211,PER_1000_LIVE_BIRTHS,3.58,2.4953212726,3.0497102775
2018,ES211,PER_1000_LIVE_BIRTHS,5.77,3.0816640986,4.4709388972
2020,ES211,PER_1000_LIVE_BIRTHS,4.85,1.724137931,3.3375052149
2021,ES211,PER_1000_LIVE_BIRTHS,4.04,3.5335689046,3.7990713381
2011,ES211,PER_1000_LIVE_BIRTHS,2.29,5.3412462908,3.7911927676
2024,ES211,PER_1000_LIVE_BIRTHS,3.75,3.8910505837,3.8204393505
2015,ES211,PER_1000_LIVE_BIRTHS,3.67,1.3114754098,2.5316455696
2022,ES211,PER_1000_LIVE_BIRTHS,6.8,1.8315018315,4.4072278537
2023,ES211,PER_1000_LIVE_BIRTHS,6.85,2.8625954198,4.963898917
2019,ES211,PER_1000_LIVE_BIRTHS,2.29,2.390438247,2.3382696804
2012,ES211,PER_1000_LIVE_BIRTHS,2.3,4.5045045045,3.3404190708
2016,ES211,PER_1000_LIVE_BIRTHS,4.52,2.6178010471,3.5772357724
2011,ES213,PER_1000_LIVE_BIRTHS,2.78,4.7214353163,3.7411148522
2013,ES213,PER_1000_LIVE_BIRTHS,2.2,2.9560810811,2.5683172385
2014,ES213,PER_1000_LIVE_BIRTHS,2.22,2.9276453367,2.5662081708
2015,ES213,PER_1000_LIVE_BIRTHS,3.47,5.4090601758,4.3897216274
2017,ES213,PER_1000_LIVE_BIRTHS,3.17,2.4378352023,2.8159098909
2018,ES213,PER_1000_LIVE_BIRTHS,3.22,4.0941658137,3.6487166583
2019,ES213,PER_1000_LIVE_BIRTHS,3.76,4.0182159121,3.8834951456
2021,ES213,PER_1000_LIVE_BIRTHS,2.75,2.7035145689,2.7298850575
2022,ES213,PER_1000_LIVE_BIRTHS,4.3,2.3675643682,3.3498397903
2023,ES213,PER_1000_LIVE_BIRTHS,3.22,3.6809815951,3.4472422062
2024,ES213,PER_1000_LIVE_BIRTHS,1.85,1.2582573136,1.5573898147
2010,ES213,PER_1000_LIVE_BIRTHS,4.07,4.2381044115,4.1517267409
2020,ES213,PER_1000_LIVE_BIRTHS,2.88,3.1419594402,3.0038230475
2016,ES213,PER_1000_LIVE_BIRTHS,3.83,2.9180695847,3.3868676937
2012,ES213,PER_1000_LIVE_BIRTHS,3.18,3.1948881789,3.1896385076
2024,ES212,PER_1000_LIVE_BIRTHS,3.07,2.3320895522,2.7137042062
2010,ES212,PER_1000_LIVE_BIRTHS,1.91,3.6640360767,2.772002772
2011,ES212,PER_1000_LIVE_BIRTHS,2.2,2.9112081514,2.5477707006
2012,ES212,PER_1000_LIVE_BIRTHS,2.46,3.6945812808,3.0399536769
2013,ES212,PER_1000_LIVE_BIRTHS,3.42,2.6058631922,3.0216284987
2014,ES212,PER_1000_LIVE_BIRTHS,3.71,2.88,3.3013677095
2015,ES212,PER_1000_LIVE_BIRTHS,3.44,1.580278129,2.5149324112
2016,ES212,PER_1000_LIVE_BIRTHS,2.6,2.7247956403,2.6595744681
2017,ES212,PER_1000_LIVE_BIRTHS,3.44,1.488649051,2.5017869907
2018,ES212,PER_1000_LIVE_BIRTHS,2.83,3.4078000757,3.1078610603
2019,ES212,PER_1000_LIVE_BIRTHS,4.61,2.766798419,3.701539061
2020,ES212,PER_1000_LIVE_BIRTHS,3.09,2.8712059065,2.9844807004
2021,ES212,PER_1000_LIVE_BIRTHS,3.15,2.5115110925,2.8386050284
2022,ES212,PER_1000_LIVE_BIRTHS,4.22,2.8024287716,3.5484586383
2023,ES212,PER_1000_LIVE_BIRTHS,1.3,2.2212350067,1.7520805957
