Year,Territorio,Sexo,Units,Value
2010,,,PER_1000_LIVE_BIRTHS,1.75
2013,,,PER_1000_LIVE_BIRTHS,1.46
2022,,,PER_1000_LIVE_BIRTHS,2.2
2012,,,PER_1000_LIVE_BIRTHS,1.7
2016,,,PER_1000_LIVE_BIRTHS,1.43
2017,,,PER_1000_LIVE_BIRTHS,1.41
2020,,,PER_1000_LIVE_BIRTHS,1.76
2014,,,PER_1000_LIVE_BIRTHS,1.5
2019,,,PER_1000_LIVE_BIRTHS,2.08
2021,,,PER_1000_LIVE_BIRTHS,1.54
2018,,,PER_1000_LIVE_BIRTHS,2.18
2011,,,PER_1000_LIVE_BIRTHS,1.7
2015,,,PER_1000_LIVE_BIRTHS,1.7
2019,ES211,,PER_1000_LIVE_BIRTHS,1.56
2013,ES211,,PER_1000_LIVE_BIRTHS,1.29
2021,ES211,,PER_1000_LIVE_BIRTHS,2.96
2016,ES211,,PER_1000_LIVE_BIRTHS,1.63
2012,ES211,,PER_1000_LIVE_BIRTHS,2.43
2022,ES211,,PER_1000_LIVE_BIRTHS,3.09
2017,ES211,,PER_1000_LIVE_BIRTHS,1.01
2020,ES211,,PER_1000_LIVE_BIRTHS,1.25
2015,ES211,,PER_1000_LIVE_BIRTHS,0.95
2010,ES211,,PER_1000_LIVE_BIRTHS,1.49
2014,ES211,,PER_1000_LIVE_BIRTHS,1.83
2011,ES211,,PER_1000_LIVE_BIRTHS,2.04
2018,ES211,,PER_1000_LIVE_BIRTHS,1.49
2019,ES213,,PER_1000_LIVE_BIRTHS,2.59
2010,ES213,,PER_1000_LIVE_BIRTHS,2.36
2015,ES213,,PER_1000_LIVE_BIRTHS,2.14
2021,ES213,,PER_1000_LIVE_BIRTHS,1.15
2020,ES213,,PER_1000_LIVE_BIRTHS,1.78
2011,ES213,,PER_1000_LIVE_BIRTHS,2.06
2017,ES213,,PER_1000_LIVE_BIRTHS,1.88
2014,ES213,,PER_1000_LIVE_BIRTHS,1.33
2022,ES213,,PER_1000_LIVE_BIRTHS,2.19
2013,ES213,,PER_1000_LIVE_BIRTHS,1.03
2012,ES213,,PER_1000_LIVE_BIRTHS,1.74
2016,ES213,,PER_1000_LIVE_BIRTHS,1.64
2018,ES213,,PER_1000_LIVE_BIRTHS,2.64
2018,ES212,,PER_1000_LIVE_BIRTHS,1.83
2010,ES212,,PER_1000_LIVE_BIRTHS,0.97
2019,ES212,,PER_1000_LIVE_BIRTHS,1.56
2015,ES212,,PER_1000_LIVE_BIRTHS,1.41
2022,ES212,,PER_1000_LIVE_BIRTHS,1.77
2016,ES212,,PER_1000_LIVE_BIRTHS,1
2021,ES212,,PER_1000_LIVE_BIRTHS,1.42
2013,ES212,,PER_1000_LIVE_BIRTHS,2.23
2020,ES212,,PER_1000_LIVE_BIRTHS,1.99
2012,ES212,,PER_1000_LIVE_BIRTHS,1.3
2017,ES212,,PER_1000_LIVE_BIRTHS,0.89
2011,ES212,,PER_1000_LIVE_BIRTHS,0.99
2014,ES212,,PER_1000_LIVE_BIRTHS,1.57
2018,,F,PER_1000_LIVE_BIRTHS,2.3
2020,,F,PER_1000_LIVE_BIRTHS,2.11
2016,,F,PER_1000_LIVE_BIRTHS,1.23
2017,,F,PER_1000_LIVE_BIRTHS,1.33
2019,,F,PER_1000_LIVE_BIRTHS,2
2014,,F,PER_1000_LIVE_BIRTHS,1.26
2011,,F,PER_1000_LIVE_BIRTHS,2.59
2012,,F,PER_1000_LIVE_BIRTHS,1.84
2022,,F,PER_1000_LIVE_BIRTHS,1.66
2015,,F,PER_1000_LIVE_BIRTHS,1.75
2010,,F,PER_1000_LIVE_BIRTHS,1.74
2013,,F,PER_1000_LIVE_BIRTHS,0.97
2021,,F,PER_1000_LIVE_BIRTHS,1.31
2018,ES211,F,PER_1000_LIVE_BIRTHS,0
