Year,Series,Sexo,Units,Value
2020,SH_TBS_INCD,,PER_100000,10.61
2016,SH_TBS_INCD,,PER_100000,12.65
2015,SH_TBS_INCD,,PER_100000,11.78
2013,SH_TBS_INCD,,PER_100000,14.75
2021,SH_TBS_INCD,,PER_100000,8.27
2012,SH_TBS_INCD,,PER_100000,15.82
2019,SH_TBS_INCD,,PER_100000,9.03
2018,SH_TBS_INCD,,PER_100000,9.93
2017,SH_TBS_INCD,,PER_100000,10.47
2014,SH_TBS_INCD,,PER_100000,14.82
2022,SH_TBS_INCD,,PER_100000,10.91
2015,SH_TBS_INCD,F,PER_100000,9.67
2012,SH_TBS_INCD,F,PER_100000,12.53
2017,SH_TBS_INCD,F,PER_100000,8.47
2019,SH_TBS_INCD,F,PER_100000,6.55
2016,SH_TBS_INCD,F,PER_100000,9.57
2021,SH_TBS_INCD,F,PER_100000,6.56
2020,SH_TBS_INCD,F,PER_100000,7.61
2022,SH_TBS_INCD,F,PER_100000,8.68
2013,SH_TBS_INCD,F,PER_100000,12.18
2014,SH_TBS_INCD,F,PER_100000,12.1
2018,SH_TBS_INCD,F,PER_100000,6.94
2018,SH_TBS_INCD,M,PER_100000,13.12
2019,SH_TBS_INCD,M,PER_100000,11.65
2016,SH_TBS_INCD,M,PER_100000,15.91
2014,SH_TBS_INCD,M,PER_100000,17.69
2020,SH_TBS_INCD,M,PER_100000,13.79
2021,SH_TBS_INCD,M,PER_100000,10.07
2012,SH_TBS_INCD,M,PER_100000,19.28
2013,SH_TBS_INCD,M,PER_100000,17.46
2015,SH_TBS_INCD,M,PER_100000,14.01
2022,SH_TBS_INCD,M,PER_100000,13.27
2017,SH_TBS_INCD,M,PER_100000,12.58
