Year,Sexo,Units,Value
2022,,PER_100000,0
2020,,PER_100000,0.36
2012,,PER_100000,0.92
2016,,PER_100000,0.46
2021,,PER_100000,0
2018,,PER_100000,0.64
2013,,PER_100000,1.06
2017,,PER_100000,0.92
2010,,PER_100000,1.61
2019,,PER_100000,0.23
2014,,PER_100000,1.1
2015,,PER_100000,0.69
2011,,PER_100000,1.06
2010,F,PER_100000,0.45
2011,F,PER_100000,0.18
2012,F,PER_100000,0.45
2013,F,PER_100000,0.45
2014,F,PER_100000,0.36
2015,F,PER_100000,0.27
2016,F,PER_100000,0.27
2017,F,PER_100000,0.18
2018,F,PER_100000,0.27
2020,F,PER_100000,0.27
2021,F,PER_100000,0
2019,F,PER_100000,0.18
2022,F,PER_100000,0
2021,M,PER_100000,0
2015,M,PER_100000,1.14
2012,M,PER_100000,1.41
2022,M,PER_100000,0
2016,M,PER_100000,0.66
2013,M,PER_100000,1.7
2011,M,PER_100000,1.98
2010,M,PER_100000,2.83
2017,M,PER_100000,1.7
2018,M,PER_100000,1.04
2019,M,PER_100000,0.28
2014,M,PER_100000,1.89
2020,M,PER_100000,0.47
