Year,Series,Sexo,Units,Value
2016,EU_CNCR_BCI,F,PT,79.4
2020,EU_CNCR_BCI,F,PT,75.8
2015,EU_CNCR_BCI,F,PT,80.8
2013,EU_CNCR_BCI,F,PT,80.3
2019,EU_CNCR_BCI,F,PT,76.7
2017,EU_CNCR_BCI,F,PT,77.1
2012,EU_CNCR_BCI,F,PT,81.8
2021,EU_CNCR_BCI,F,PT,76.7
2014,EU_CNCR_BCI,F,PT,79.8
2018,EU_CNCR_BCI,F,PT,77.2
2016,EU_CNCR_CCR,,PT,72.4
2021,EU_CNCR_CCR,,PT,72
2012,EU_CNCR_CCR,,PT,67.7
2015,EU_CNCR_CCR,,PT,70.4
2018,EU_CNCR_CCR,,PT,72.3
2019,EU_CNCR_CCR,,PT,71.5
2014,EU_CNCR_CCR,,PT,70.7
2020,EU_CNCR_CCR,,PT,70.9
2013,EU_CNCR_CCR,,PT,69.7
2017,EU_CNCR_CCR,,PT,72.3
2015,EU_CNCR_CCR,F,PT,67.9
2016,EU_CNCR_CCR,F,PT,70
2014,EU_CNCR_CCR,F,PT,68.2
2020,EU_CNCR_CCR,F,PT,73.4
2017,EU_CNCR_CCR,F,PT,70
2019,EU_CNCR_CCR,F,PT,73.7
2013,EU_CNCR_CCR,F,PT,67.1
2012,EU_CNCR_CCR,F,PT,64.9
2021,EU_CNCR_CCR,F,PT,74
2018,EU_CNCR_CCR,F,PT,74.9
2019,EU_CNCR_CCR,M,PT,68.4
2020,EU_CNCR_CCR,M,PT,68.1
2018,EU_CNCR_CCR,M,PT,69.9
2013,EU_CNCR_CCR,M,PT,72.1
2017,EU_CNCR_CCR,M,PT,74.6
2012,EU_CNCR_CCR,M,PT,70.3
2014,EU_CNCR_CCR,M,PT,73
2021,EU_CNCR_CCR,M,PT,69.4
2015,EU_CNCR_CCR,M,PT,72.6
2016,EU_CNCR_CCR,M,PT,74.6
