Year,Series,Sexo,Edad,Units,Value
2012,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0.1
2019,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0
2023,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0
2022,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0.1
2018,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0.1
2015,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0
2013,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0.1
2016,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0
2020,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0
2021,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0.1
2017,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0.1
2010,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0.1
2011,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0
2014,SP_DYN_ADKL,F,Y10T14,PER_1000_POP,0
2013,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,5.7
2010,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,6.5
2020,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,3.3
2014,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,5.7
2018,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,3.7
2017,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,4.4
2021,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,3
2019,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,4
2015,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,5
2011,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,5.9
2012,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,6
2023,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,3.1
2016,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,4.8
2022,SP_DYN_ADKL,F,Y15T19,PER_1000_POP,3.1
