Year,Sexo,Edad,Units,Value
2018,,Y_GE16,PT,1.1
2020,,Y_GE16,PT,0.1
2022,,Y_GE16,PT,0.7
2012,,Y_GE16,PT,0.7
2019,,Y_GE16,PT,1.1
2010,,Y_GE16,PT,0.1
2011,,Y_GE16,PT,0.2
2016,,Y_GE16,PT,0
2014,,Y_GE16,PT,0.4
2017,,Y_GE16,PT,0
2013,,Y_GE16,PT,0.2
2015,,Y_GE16,PT,0
2021,,Y_GE16,PT,0.7
2013,F,Y_GE16,PT,0.2
2018,F,Y_GE16,PT,0.9
2015,F,Y_GE16,PT,0
2017,F,Y_GE16,PT,0
2020,F,Y_GE16,PT,0.2
2016,F,Y_GE16,PT,0
2019,F,Y_GE16,PT,1.3
2012,F,Y_GE16,PT,0.4
2022,F,Y_GE16,PT,0.9
2010,F,Y_GE16,PT,0.1
2011,F,Y_GE16,PT,0.2
2021,F,Y_GE16,PT,0.7
2014,F,Y_GE16,PT,0.4
2016,M,Y_GE16,PT,0
2019,M,Y_GE16,PT,0.9
2021,M,Y_GE16,PT,0.6
2018,M,Y_GE16,PT,1.3
2014,M,Y_GE16,PT,0.4
2020,M,Y_GE16,PT,0
2015,M,Y_GE16,PT,0
2011,M,Y_GE16,PT,0.2
2010,M,Y_GE16,PT,0.1
2013,M,Y_GE16,PT,0.2
2017,M,Y_GE16,PT,0
2012,M,Y_GE16,PT,1.1
2022,M,Y_GE16,PT,0.5
