Year,Gasto,Units,Value
2022,SH_XPD_EARN10,PT,7.6
2013,SH_XPD_EARN10,PT,6.1
2021,SH_XPD_EARN10,PT,7.2
2017,SH_XPD_EARN10,PT,6.6
2012,SH_XPD_EARN10,PT,5.4
2015,SH_XPD_EARN10,PT,6.8
2016,SH_XPD_EARN10,PT,7
2018,SH_XPD_EARN10,PT,7
2010,SH_XPD_EARN10,PT,5.1
2023,SH_XPD_EARN10,PT,8.3
2020,SH_XPD_EARN10,PT,7.6
2011,SH_XPD_EARN10,PT,5.5
2019,SH_XPD_EARN10,PT,8.2
2014,SH_XPD_EARN10,PT,5.5
2010,SH_XPD_EARN25,PT,1.2
2011,SH_XPD_EARN25,PT,1.6
2013,SH_XPD_EARN25,PT,1.3
2014,SH_XPD_EARN25,PT,1.2
2022,SH_XPD_EARN25,PT,1.7
2015,SH_XPD_EARN25,PT,1.6
2016,SH_XPD_EARN25,PT,1.2
2017,SH_XPD_EARN25,PT,1.4
2018,SH_XPD_EARN25,PT,1.4
2012,SH_XPD_EARN25,PT,1.3
2019,SH_XPD_EARN25,PT,1.7
2020,SH_XPD_EARN25,PT,0.9
2021,SH_XPD_EARN25,PT,1.3
2023,SH_XPD_EARN25,PT,1.4
