Year,Edad,Educacion,Territorio,Comarca,Municipio,Units,GeoCode,Value
2010,Y_GE10,NIVI_0,,,,PT,,36.4
2016,Y_GE10,NIVI_0,,,,PT,,33.3
2020,Y_GE10,NIVI_0,,,,PT,,30
2013,Y_GE10,NIVI_0,,,,PT,,34.7
2018,Y_GE10,NIVI_0,,,,PT,,31.7
2015,Y_GE10,NIVI_0,,,,PT,,33.8
2014,Y_GE10,NIVI_0,,,,PT,,34.3
2021,Y_GE10,NIVI_0,,,,PT,,29.3
2019,Y_GE10,NIVI_0,,,,PT,,30.6
2020,Y_GE10,NIVI_0,,,ES48001,PT,ES48001,35.6
2014,Y_GE10,NIVI_0,,,ES48001,PT,ES48001,39.2
2018,Y_GE10,NIVI_0,,,ES48001,PT,ES48001,37.2
2021,Y_GE10,NIVI_0,,,ES48001,PT,ES48001,34.6
2013,Y_GE10,NIVI_0,,,ES48001,PT,ES48001,40
2010,Y_GE10,NIVI_0,,,ES48001,PT,ES48001,41.1
2015,Y_GE10,NIVI_0,,,ES48001,PT,ES48001,38.8
2016,Y_GE10,NIVI_0,,,ES48001,PT,ES48001,38.3
2019,Y_GE10,NIVI_0,,,ES48001,PT,ES48001,36.2
2021,Y_GE10,NIVI_0,,,ES20001,PT,ES20001,39.1
2019,Y_GE10,NIVI_0,,,ES20001,PT,ES20001,42
2020,Y_GE10,NIVI_0,,,ES20001,PT,ES20001,40.8
2018,Y_GE10,NIVI_0,,,ES20001,PT,ES20001,44.1
2014,Y_GE10,NIVI_0,,,ES20001,PT,ES20001,49.8
2013,Y_GE10,NIVI_0,,,ES20001,PT,ES20001,49.8
2016,Y_GE10,NIVI_0,,,ES20001,PT,ES20001,49.5
2010,Y_GE10,NIVI_0,,,ES20001,PT,ES20001,56.9
2015,Y_GE10,NIVI_0,,,ES20001,PT,ES20001,49.1
2018,Y_GE10,NIVI_0,,,ES48002,PT,ES48002,35.2
2021,Y_GE10,NIVI_0,,,ES48002,PT,ES48002,32.7
2015,Y_GE10,NIVI_0,,,ES48002,PT,ES48002,37.2
2016,Y_GE10,NIVI_0,,,ES48002,PT,ES48002,36.4
2020,Y_GE10,NIVI_0,,,ES48002,PT,ES48002,33.1
2019,Y_GE10,NIVI_0,,,ES48002,PT,ES48002,34
2014,Y_GE10,NIVI_0,,,ES48002,PT,ES48002,37.6
2013,Y_GE10,NIVI_0,,,ES48002,PT,ES48002,38.7
2010,Y_GE10,NIVI_0,,,ES48002,PT,ES48002,40.3
2010,Y_GE10,NIVI_0,,,ES20002,PT,ES20002,37.8
2014,Y_GE10,NIVI_0,,,ES20002,PT,ES20002,32.5
2015,Y_GE10,NIVI_0,,,ES20002,PT,ES20002,30.9
2013,Y_GE10,NIVI_0,,,ES20002,PT,ES20002,32.8
2018,Y_GE10,NIVI_0,,,ES20002,PT,ES20002,30.9
2021,Y_GE10,NIVI_0,,,ES20002,PT,ES20002,29.9
2016,Y_GE10,NIVI_0,,,ES20002,PT,ES20002,30.9
2019,Y_GE10,NIVI_0,,,ES20002,PT,ES20002,31.1
2020,Y_GE10,NIVI_0,,,ES20002,PT,ES20002,29.1
2013,Y_GE10,NIVI_0,,,ES01051,PT,ES01051,44.9
2020,Y_GE10,NIVI_0,,,ES01051,PT,ES01051,39.5
2015,Y_GE10,NIVI_0,,,ES01051,PT,ES01051,43.3
2018,Y_GE10,NIVI_0,,,ES01051,PT,ES01051,41.1
2019,Y_GE10,NIVI_0,,,ES01051,PT,ES01051,40.7
2014,Y_GE10,NIVI_0,,,ES01051,PT,ES01051,44.6
2010,Y_GE10,NIVI_0,,,ES01051,PT,ES01051,46.3
2021,Y_GE10,NIVI_0,,,ES01051,PT,ES01051,39.1
2016,Y_GE10,NIVI_0,,,ES01051,PT,ES01051,42.9
2018,Y_GE10,NIVI_0,,,ES20016,PT,ES20016,33.5
2019,Y_GE10,NIVI_0,,,ES20016,PT,ES20016,32.6
2020,Y_GE10,NIVI_0,,,ES20016,PT,ES20016,32.2
2014,Y_GE10,NIVI_0,,,ES20016,PT,ES20016,33.8
2010,Y_GE10,NIVI_0,,,ES20016,PT,ES20016,35.8
2013,Y_GE10,NIVI_0,,,ES20016,PT,ES20016,34.5
2015,Y_GE10,NIVI_0,,,ES20016,PT,ES20016,34.3
2021,Y_GE10,NIVI_0,,,ES20016,PT,ES20016,30.9
2016,Y_GE10,NIVI_0,,,ES20016,PT,ES20016,34.2
2014,Y_GE10,NIVI_0,,,ES20003,PT,ES20003,44.3
2019,Y_GE10,NIVI_0,,,ES20003,PT,ES20003,42.2
2016,Y_GE10,NIVI_0,,,ES20003,PT,ES20003,44.1
2010,Y_GE10,NIVI_0,,,ES20003,PT,ES20003,47.9
2013,Y_GE10,NIVI_0,,,ES20003,PT,ES20003,44.5
2020,Y_GE10,NIVI_0,,,ES20003,PT,ES20003,40.2
2018,Y_GE10,NIVI_0,,,ES20003,PT,ES20003,40.5
2015,Y_GE10,NIVI_0,,,ES20003,PT,ES20003,44.4
2021,Y_GE10,NIVI_0,,,ES20003,PT,ES20003,38
2013,Y_GE10,NIVI_0,,,ES48911,PT,ES48911,36.2
2021,Y_GE10,NIVI_0,,,ES48911,PT,ES48911,27.4
2016,Y_GE10,NIVI_0,,,ES48911,PT,ES48911,32
2014,Y_GE10,NIVI_0,,,ES48911,PT,ES48911,35.7
2018,Y_GE10,NIVI_0,,,ES48911,PT,ES48911,29.6
2015,Y_GE10,NIVI_0,,,ES48911,PT,ES48911,34.1
2019,Y_GE10,NIVI_0,,,ES48911,PT,ES48911,28
2020,Y_GE10,NIVI_0,,,ES48911,PT,ES48911,27.8
2010,Y_GE10,NIVI_0,,,ES48911,PT,ES48911,38.9
2019,Y_GE10,NIVI_0,,,ES20004,PT,ES20004,35.5
2015,Y_GE10,NIVI_0,,,ES20004,PT,ES20004,33.6
2013,Y_GE10,NIVI_0,,,ES20004,PT,ES20004,33.2
2018,Y_GE10,NIVI_0,,,ES20004,PT,ES20004,36.4
2014,Y_GE10,NIVI_0,,,ES20004,PT,ES20004,31.5
2021,Y_GE10,NIVI_0,,,ES20004,PT,ES20004,34.5
2010,Y_GE10,NIVI_0,,,ES20004,PT,ES20004,35.9
2020,Y_GE10,NIVI_0,,,ES20004,PT,ES20004,35
2016,Y_GE10,NIVI_0,,,ES20004,PT,ES20004,35.5
2016,Y_GE10,NIVI_0,,,ES20005,PT,ES20005,43.7
2010,Y_GE10,NIVI_0,,,ES20005,PT,ES20005,45.9
2013,Y_GE10,NIVI_0,,,ES20005,PT,ES20005,43.7
2018,Y_GE10,NIVI_0,,,ES20005,PT,ES20005,40.8
2020,Y_GE10,NIVI_0,,,ES20005,PT,ES20005,38.7
2019,Y_GE10,NIVI_0,,,ES20005,PT,ES20005,39.8
2015,Y_GE10,NIVI_0,,,ES20005,PT,ES20005,43.3
2014,Y_GE10,NIVI_0,,,ES20005,PT,ES20005,43.4
2021,Y_GE10,NIVI_0,,,ES20005,PT,ES20005,37.4
2010,Y_GE10,NIVI_0,,,ES01001,PT,ES01001,32.9
2015,Y_GE10,NIVI_0,,,ES01001,PT,ES01001,32.6
2018,Y_GE10,NIVI_0,,,ES01001,PT,ES01001,30.7
2021,Y_GE10,NIVI_0,,,ES01001,PT,ES01001,29.2
2013,Y_GE10,NIVI_0,,,ES01001,PT,ES01001,33.2
2019,Y_GE10,NIVI_0,,,ES01001,PT,ES01001,30.6
2020,Y_GE10,NIVI_0,,,ES01001,PT,ES01001,30.4
2016,Y_GE10,NIVI_0,,,ES01001,PT,ES01001,32.7
2014,Y_GE10,NIVI_0,,,ES01001,PT,ES01001,32.7
2013,Y_GE10,NIVI_0,,,ES20006,PT,ES20006,43.6
