Year,Edad,Sexo,Territorio,Units,Value
2016,Y_GE10,,ES48002,PT,0.7
2021,Y_GE10,,ES01037,PT,0
2016,Y_GE10,,ES48903,PT,0.1
2013,Y_GE10,,ES20048,PT,0
2021,Y_GE10,,ES20007,PT,0.3
2018,Y_GE10,,ES20028,PT,0.6
2020,Y_GE10,,ES20024,PT,0.2
2010,Y_GE10,,ES01017,PT,0.2
2016,Y_GE10,,ES20068,PT,0.9
2014,Y_GE10,,ES48009,PT,0
2013,Y_GE10,,ES20065,PT,0.6
2010,Y_GE10,,ES20038,PT,0.5
2010,Y_GE10,,ES48031,PT,0
2016,Y_GE10,,ES48087,PT,1.4
2021,Y_GE10,,ES20060,PT,0
2016,Y_GE10,,ES20058,PT,0.1
2019,Y_GE10,,ES0105,PT,0.1
2021,Y_GE10,,ES48092,PT,0.4
2013,Y_GE10,,ES01039,PT,0
2013,Y_GE10,,ES48902,PT,0.5
2021,Y_GE10,,ES20001,PT,0
2016,Y_GE10,,ES20067,PT,0.8
2010,Y_GE10,,,PT,0.5
2014,Y_GE10,,ES20078,PT,0.4
2016,Y_GE10,,ES01006,PT,0
2015,Y_GE10,,ES01030,PT,0
2018,Y_GE10,,ES01014,PT,0
2016,Y_GE10,,ES20044,PT,0.7
2020,Y_GE10,,ES48068,PT,0.1
2013,Y_GE10,,ES2001,PT,0.5
2015,Y_GE10,,ES48028,PT,0.1
2018,Y_GE10,,ES48024,PT,0.1
2021,Y_GE10,,ES48086,PT,0.5
2010,Y_GE10,,ES48018,PT,0.6
2016,Y_GE10,,ES48081,PT,0.2
2014,Y_GE10,,ES48077,PT,0.1
2021,Y_GE10,,ES20002,PT,0
2014,Y_GE10,,ES20056,PT,0.4
2016,Y_GE10,,ES01043,PT,0.6
2014,Y_GE10,,ES48017,PT,0.4
2016,Y_GE10,,ES0106,PT,0.4
2014,Y_GE10,,ES48005,PT,0
2020,Y_GE10,,ES01902,PT,0
2020,Y_GE10,,ES48003,PT,0.4
2010,Y_GE10,,ES48065,PT,0.6
2020,Y_GE10,,ES20008,PT,0.1
2013,Y_GE10,,ES2007,PT,0.4
2013,Y_GE10,,ES20052,PT,1.2
2020,Y_GE10,,ES48023,PT,0
2015,Y_GE10,,ES20080,PT,0.6
