Year,ServBasico,Units,Value,_NAME_
2010,SE_ACS_ELECT,PT,100,2010
2022,SE_ACS_ELECT,PT,100,2022
2017,SE_ACS_ELECT,PT,100,2017
2014,SE_ACS_ELECT,PT,100,2014
2015,SE_ACS_ELECT,PT,100,2015
2023,SE_ACS_ELECT,PT,100,2023
2018,SE_ACS_ELECT,PT,100,2018
2013,SE_ACS_ELECT,PT,100,2013
2016,SE_ACS_ELECT,PT,100,2016
2019,SE_ACS_ELECT,PT,100,2019
2020,SE_ACS_ELECT,PT,100,2020
2011,SE_ACS_ELECT,PT,100,2011
2021,SE_ACS_ELECT,PT,100,2021
2012,SE_ACS_ELECT,PT,100,2012
2011,SE_ACS_CMPTR,PT,99.8,2011
2015,SE_ACS_CMPTR,PT,99.8,2015
2021,SE_ACS_CMPTR,PT,100,2021
2012,SE_ACS_CMPTR,PT,99.8,2012
2017,SE_ACS_CMPTR,PT,100,2017
2019,SE_ACS_CMPTR,PT,99.9,2019
2023,SE_ACS_CMPTR,PT,99.9,2023
2013,SE_ACS_CMPTR,PT,99.5,2013
2016,SE_ACS_CMPTR,PT,99.9,2016
2014,SE_ACS_CMPTR,PT,99.8,2014
2020,SE_ACS_SANIT,PT,100,2020
2014,SE_ACS_SANIT,PT,100,2014
2016,SE_ACS_SANIT,PT,100,2016
2018,SE_ACS_SANIT,PT,100,2018
2019,SE_ACS_SANIT,PT,100,2019
2017,SE_ACS_SANIT,PT,100,2017
2015,SE_ACS_SANIT,PT,100,2015
2012,SE_ACS_SANIT,PT,100,2012
2011,SE_ACS_SANIT,PT,100,2011
2010,SE_ACS_SANIT,PT,100,2010
2013,SE_ACS_SANIT,PT,100,2013
2021,SE_ACS_SANIT,PT,100,2021
2022,SE_ACS_SANIT,PT,100,2022
2023,SE_ACS_SANIT,PT,100,2023
2010,SE_ACS_H2O,PT,100,2010
2016,SE_ACS_H2O,PT,100,2016
2011,SE_ACS_H2O,PT,100,2011
2012,SE_ACS_H2O,PT,100,2012
2013,SE_ACS_H2O,PT,100,2013
2014,SE_ACS_H2O,PT,100,2014
2015,SE_ACS_H2O,PT,100,2015
2017,SE_ACS_H2O,PT,100,2017
2018,SE_ACS_H2O,PT,100,2018
2019,SE_ACS_H2O,PT,100,2019
2020,SE_ACS_H2O,PT,100,2020
2021,SE_ACS_H2O,PT,100,2021
2022,SE_ACS_H2O,PT,100,2022
2023,SE_ACS_H2O,PT,100,2023
2010,SE_ACS_HNDWSH,PT,100,2010
2011,SE_ACS_HNDWSH,PT,100,2011
2012,SE_ACS_HNDWSH,PT,100,2012
2013,SE_ACS_HNDWSH,PT,100,2013
2014,SE_ACS_HNDWSH,PT,100,2014
2015,SE_ACS_HNDWSH,PT,100,2015
2016,SE_ACS_HNDWSH,PT,100,2016
2017,SE_ACS_HNDWSH,PT,100,2017
2018,SE_ACS_HNDWSH,PT,100,2018
2019,SE_ACS_HNDWSH,PT,100,2019
2020,SE_ACS_HNDWSH,PT,100,2020
2021,SE_ACS_HNDWSH,PT,100,2021
2022,SE_ACS_HNDWSH,PT,100,2022
2023,SE_ACS_HNDWSH,PT,100,2023
