Year,Series,Educacion,Units,Value,_NAME_
2022,SE_TRA_GRDL,ISCED11_0,PT,100,2022
2012,SE_TRA_GRDL,ISCED11_0,PT,100,2012
2015,SE_TRA_GRDL,ISCED11_0,PT,100,2015
2018,SE_TRA_GRDL,ISCED11_0,PT,100,2018
2023,SE_TRA_GRDL,ISCED11_0,PT,100,2023
2013,SE_TRA_GRDL,ISCED11_0,PT,100,2013
2021,SE_TRA_GRDL,ISCED11_0,PT,100,2021
2011,SE_TRA_GRDL,ISCED11_0,PT,100,2011
2017,SE_TRA_GRDL,ISCED11_0,PT,100,2017
2020,SE_TRA_GRDL,ISCED11_0,PT,100,2020
2014,SE_TRA_GRDL,ISCED11_0,PT,100,2014
2019,SE_TRA_GRDL,ISCED11_0,PT,100,2019
2010,SE_TRA_GRDL,ISCED11_0,PT,100,2010
2016,SE_TRA_GRDL,ISCED11_0,PT,100,2016
2013,SE_TRA_GRDL,ISCED11_1,PT,100,2013
2014,SE_TRA_GRDL,ISCED11_1,PT,100,2014
2012,SE_TRA_GRDL,ISCED11_1,PT,100,2012
2011,SE_TRA_GRDL,ISCED11_1,PT,100,2011
2018,SE_TRA_GRDL,ISCED11_1,PT,100,2018
2017,SE_TRA_GRDL,ISCED11_1,PT,100,2017
2023,SE_TRA_GRDL,ISCED11_1,PT,100,2023
2016,SE_TRA_GRDL,ISCED11_1,PT,100,2016
2020,SE_TRA_GRDL,ISCED11_1,PT,100,2020
2015,SE_TRA_GRDL,ISCED11_1,PT,100,2015
2022,SE_TRA_GRDL,ISCED11_1,PT,100,2022
2021,SE_TRA_GRDL,ISCED11_1,PT,100,2021
2019,SE_TRA_GRDL,ISCED11_1,PT,100,2019
2010,SE_TRA_GRDL,ISCED11_1,PT,100,2010
2019,SE_TRA_GRDL,ISCED11_2,PT,100,2019
2016,SE_TRA_GRDL,ISCED11_2,PT,100,2016
2018,SE_TRA_GRDL,ISCED11_2,PT,100,2018
2020,SE_TRA_GRDL,ISCED11_2,PT,100,2020
2023,SE_TRA_GRDL,ISCED11_2,PT,100,2023
2022,SE_TRA_GRDL,ISCED11_2,PT,100,2022
2021,SE_TRA_GRDL,ISCED11_2,PT,100,2021
2017,SE_TRA_GRDL,ISCED11_2,PT,100,2017
2011,SE_TRA_GRDL,ISCED11_2,PT,100,2011
2010,SE_TRA_GRDL,ISCED11_2,PT,100,2010
2015,SE_TRA_GRDL,ISCED11_2,PT,100,2015
2012,SE_TRA_GRDL,ISCED11_2,PT,100,2012
2014,SE_TRA_GRDL,ISCED11_2,PT,100,2014
2013,SE_TRA_GRDL,ISCED11_2,PT,100,2013
2010,SE_TRA_GRDL,ISCED11_3,PT,100,2010
2019,SE_TRA_GRDL,ISCED11_3,PT,100,2019
2023,SE_TRA_GRDL,ISCED11_3,PT,100,2023
2015,SE_TRA_GRDL,ISCED11_3,PT,100,2015
2012,SE_TRA_GRDL,ISCED11_3,PT,100,2012
2014,SE_TRA_GRDL,ISCED11_3,PT,100,2014
2017,SE_TRA_GRDL,ISCED11_3,PT,100,2017
2016,SE_TRA_GRDL,ISCED11_3,PT,100,2016
2013,SE_TRA_GRDL,ISCED11_3,PT,100,2013
2018,SE_TRA_GRDL,ISCED11_3,PT,100,2018
2021,SE_TRA_GRDL,ISCED11_3,PT,100,2021
2020,SE_TRA_GRDL,ISCED11_3,PT,100,2020
2022,SE_TRA_GRDL,ISCED11_3,PT,100,2022
2011,SE_TRA_GRDL,ISCED11_3,PT,100,2011
