Year,Violencia,Territorio,Units,Value
2021,ALLV,ES20016,PER_10000,0
2019,ALLV,ES20058,PER_10000,0
2019,ALLV,ES48901,PER_10000,53.4
2018,ALLV,ES01006,PER_10000,89.3
2020,ALLV,ES01008,PER_10000,62.9
2019,ALLV,ES48076,PER_10000,119.8
2019,ALLV,ES20072,PER_10000,38.6
2020,ALLV,ES01039,PER_10000,0
2022,ALLV,,PER_10000,46.7
2020,ALLV,ES48079,PER_10000,90.5
2020,ALLV,ES48029,PER_10000,64.1
2020,ALLV,ES01014,PER_10000,126.1
2021,ALLV,ES01051,PER_10000,34.9
2021,ALLV,ES20055,PER_10000,55.2
2018,ALLV,ES20047,PER_10000,0
2021,ALLV,ES20001,PER_10000,0
2020,ALLV,ES20064,PER_10000,47.3
2021,ALLV,ES0102,PER_10000,1.2
2020,ALLV,ES20051,PER_10000,41
2018,ALLV,ES48915,PER_10000,0
2018,ALLV,ES01044,PER_10000,0
2018,ALLV,ES20024,PER_10000,0
2021,ALLV,ES48001,PER_10000,38.7
2019,ALLV,ES01053,PER_10000,94
2021,ALLV,ES20032,PER_10000,55.2
2020,ALLV,ES48034,PER_10000,41.2
2018,ALLV,ES01030,PER_10000,128.2
2018,ALLV,ES48906,PER_10000,21.3
2020,ALLV,ES48057,PER_10000,32.7
2019,ALLV,ES48015,PER_10000,50.1
2018,ALLV,ES20052,PER_10000,13.8
2018,ALLV,ES48008,PER_10000,30.1
2018,ALLV,ES48080,PER_10000,58.5
2018,ALLV,ES48053,PER_10000,33.4
2018,ALLV,ES20006,PER_10000,0
2019,ALLV,ES20054,PER_10000,98.4
2021,ALLV,ES20062,PER_10000,15.9
2018,ALLV,ES48061,PER_10000,22.2
2019,ALLV,ES20011,PER_10000,36.4
2018,ALLV,ES01032,PER_10000,29.2
2021,ALLV,ES20901,PER_10000,51
2021,ALLV,ES20006,PER_10000,0
2021,ALLV,ES20017,PER_10000,18.6
2018,ALLV,ES01037,PER_10000,372.7
