Year,Series,Categoria,Units,Value
2024,EN_H2O_WBAMBQ,,PT,59.6
2021,EN_H2O_WBAMBQ,,PT,62.4
2020,EN_H2O_WBAMBQ,,PT,59.4
2015,EN_H2O_WBAMBQ,,PT,46.8
2023,EN_H2O_WBAMBQ,,PT,55.7
2022,EN_H2O_WBAMBQ,,PT,57.1
2018,EN_H2O_WBAMBQ,,PT,65.8
2017,EN_H2O_WBAMBQ,,PT,64.4
2019,EN_H2O_WBAMBQ,,PT,60.9
2016,EN_H2O_WBAMBQ,,PT,58.2
2020,EN_H2O_OPAMBQ,,PT,53
2021,EN_H2O_OPAMBQ,,PT,56.6
2022,EN_H2O_OPAMBQ,,PT,50.3
2017,EN_H2O_OPAMBQ,,PT,58.4
2024,EN_H2O_OPAMBQ,,PT,53.3
2015,EN_H2O_OPAMBQ,,PT,36
2016,EN_H2O_OPAMBQ,,PT,50.6
2019,EN_H2O_OPAMBQ,,PT,54.8
2023,EN_H2O_OPAMBQ,,PT,48.5
2018,EN_H2O_OPAMBQ,,PT,60.8
2019,EN_H2O_OPAMBQ,AINTZIRA,PT,11.1
2018,EN_H2O_OPAMBQ,AINTZIRA,PT,11.1
2017,EN_H2O_OPAMBQ,AINTZIRA,PT,11.1
2016,EN_H2O_OPAMBQ,AINTZIRA,PT,22.2
2015,EN_H2O_OPAMBQ,AINTZIRA,PT,22.2
2024,EN_H2O_OPAMBQ,AINTZIRA,PT,44.4
2023,EN_H2O_OPAMBQ,AINTZIRA,PT,33.3
2022,EN_H2O_OPAMBQ,AINTZIRA,PT,33.3
2021,EN_H2O_OPAMBQ,AINTZIRA,PT,22.2
2020,EN_H2O_OPAMBQ,AINTZIRA,PT,22.2
2024,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,48.4
2023,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,43
2022,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,45.3
2021,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,55.1
2020,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,48
2019,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,52.8
2018,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,60.6
2017,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,57.5
2016,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,49.6
2015,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,35.3
2015,EN_H2O_OPAMBQ,ITSASERTZ,PT,75
2024,EN_H2O_OPAMBQ,ITSASERTZ,PT,100
2023,EN_H2O_OPAMBQ,ITSASERTZ,PT,100
2022,EN_H2O_OPAMBQ,ITSASERTZ,PT,100
2021,EN_H2O_OPAMBQ,ITSASERTZ,PT,100
2020,EN_H2O_OPAMBQ,ITSASERTZ,PT,100
2019,EN_H2O_OPAMBQ,ITSASERTZ,PT,100
2018,EN_H2O_OPAMBQ,ITSASERTZ,PT,100
2017,EN_H2O_OPAMBQ,ITSASERTZ,PT,100
2016,EN_H2O_OPAMBQ,ITSASERTZ,PT,100
2024,EN_H2O_OPAMBQ,TRANTSIZIO,PT,57.1
2023,EN_H2O_OPAMBQ,TRANTSIZIO,PT,57.1
2022,EN_H2O_OPAMBQ,TRANTSIZIO,PT,57.1
2021,EN_H2O_OPAMBQ,TRANTSIZIO,PT,42.9
2020,EN_H2O_OPAMBQ,TRANTSIZIO,PT,71.4
2019,EN_H2O_OPAMBQ,TRANTSIZIO,PT,50
2018,EN_H2O_OPAMBQ,TRANTSIZIO,PT,50
2017,EN_H2O_OPAMBQ,TRANTSIZIO,PT,50
2016,EN_H2O_OPAMBQ,TRANTSIZIO,PT,42.9
2015,EN_H2O_OPAMBQ,TRANTSIZIO,PT,21.4
2024,EN_H2O_OPAMBQ,URTEGI,PT,91.7
2023,EN_H2O_OPAMBQ,URTEGI,PT,91.7
2022,EN_H2O_OPAMBQ,URTEGI,PT,91.7
2021,EN_H2O_OPAMBQ,URTEGI,PT,100
2020,EN_H2O_OPAMBQ,URTEGI,PT,91.7
2019,EN_H2O_OPAMBQ,URTEGI,PT,100
2018,EN_H2O_OPAMBQ,URTEGI,PT,100
2017,EN_H2O_OPAMBQ,URTEGI,PT,100
2016,EN_H2O_OPAMBQ,URTEGI,PT,75
2015,EN_H2O_OPAMBQ,URTEGI,PT,100
2021,EN_H2O_GRAMBQ,,PT,88.9
2017,EN_H2O_GRAMBQ,,PT,91.7
2020,EN_H2O_GRAMBQ,,PT,88.9
2019,EN_H2O_GRAMBQ,,PT,88.9
2024,EN_H2O_GRAMBQ,,PT,88.9
2023,EN_H2O_GRAMBQ,,PT,88.9
2015,EN_H2O_GRAMBQ,,PT,91.7
2016,EN_H2O_GRAMBQ,,PT,91.7
2018,EN_H2O_GRAMBQ,,PT,88.9
2022,EN_H2O_GRAMBQ,,PT,88.9
