Year,Territorio,Units,Value,Uso
2018,,M3,179965484,
2022,,M3,178506380,
2023,,M3,180064405,
2020,,M3,163675651,
2013,,M3,177555343,
2021,,M3,176421751,
2017,,M3,180334331,
2016,,M3,180637435,
2019,,M3,178194264,
2022,ES211,M3,34289283.3,
2021,ES211,M3,33005213.7,
2023,ES211,M3,30181664,
2022,ES213,M3,80667418.7,
2023,ES213,M3,86372241,
2021,ES213,M3,80592250.2,
2023,ES212,M3,63510500,
2021,ES212,M3,62824287.1,
2022,ES212,M3,63549678.2,
2023,,M3,86895324.9,H20_RES
2018,,M3,88318278.6,H20_RES
2020,,M3,84373909.2,H20_RES
2022,,M3,92735193.3,H20_RES
2016,,M3,89191117.7,H20_RES
2021,,M3,92949522,H20_RES
2013,,M3,87929643.4,H20_RES
2017,,M3,88547260.4,H20_RES
2019,,M3,88407446.1,H20_RES
2022,ES211,M3,14077675.9,H20_RES
2023,ES211,M3,11989165.1,H20_RES
2021,ES211,M3,14177085.4,H20_RES
2021,ES213,M3,45477855,H20_RES
2022,ES213,M3,45514402.4,H20_RES
2023,ES213,M3,43068870.3,H20_RES
2021,ES212,M3,33294582,H20_RES
2023,ES212,M3,31837289.5,H20_RES
2022,ES212,M3,33143115,H20_RES
2017,,M3,66412090.1,H20_IND
2018,,M3,66232578.1,H20_IND
2021,,M3,60880414,H20_IND
2019,,M3,64695490.7,H20_IND
2023,,M3,61328986,H20_IND
2020,,M3,58454182.7,H20_IND
2016,,M3,65939730.6,H20_IND
2013,,M3,65635020.7,H20_IND
2022,,M3,60067313.1,H20_IND
2022,ES211,M3,14823181,H20_IND
2023,ES211,M3,13125427.2,H20_IND
2021,ES211,M3,15019725.6,H20_IND
2022,ES213,M3,24288140.7,H20_IND
2023,ES213,M3,25445892.7,H20_IND
2021,ES213,M3,24292745.1,H20_IND
2023,ES212,M3,22757666.1,H20_IND
2022,ES212,M3,20955991.4,H20_IND
2021,ES212,M3,21567942.9,H20_IND
2018,,M3,12219522.3,H20_COM
2022,,M3,11060459.6,H20_COM
2019,,M3,11666682.7,H20_COM
2013,,M3,11740415.2,H20_COM
2023,,M3,9772381.2,H20_COM
2021,,M3,10471436,H20_COM
2020,,M3,11253856.2,H20_COM
2017,,M3,11970086,H20_COM
2016,,M3,12429023.2,H20_COM
2023,ES211,M3,119019.2,H20_COM
2022,ES211,M3,315629,H20_COM
2021,ES211,M3,307205.5,H20_COM
2021,ES213,M3,4743841,H20_COM
2022,ES213,M3,4746266.6,H20_COM
2023,ES213,M3,6283333,H20_COM
2022,ES212,M3,5998564,H20_COM
2023,ES212,M3,3370029,H20_COM
2021,ES212,M3,5420389,H20_COM
2017,,M3,10650290.2,H20_PUB
2019,,M3,10440779.4,H20_PUB
2016,,M3,10427598.1,H20_PUB
2021,,M3,9263988,H20_PUB
2023,,M3,18438765.3,H20_PUB
2020,,M3,5047360.5,H20_PUB
2018,,M3,10356549.1,H20_PUB
2013,,M3,10687889.9,H20_PUB
2022,,M3,11010562.7,H20_PUB
2022,ES211,M3,4000563.8,H20_PUB
2023,ES211,M3,3766872.3,H20_PUB
2021,ES211,M3,3068185.1,H20_PUB
2023,ES213,M3,9791675,H20_PUB
2022,ES213,M3,4162631.5,H20_PUB
2021,ES213,M3,4165676.5,H20_PUB
2023,ES212,M3,4880218,H20_PUB
2022,ES212,M3,2847367.4,H20_PUB
2021,ES212,M3,2030126.5,H20_PUB
2023,,M3,2051068.7,H20_AGR
2021,,M3,1065919,H20_AGR
2016,,M3,1127021.1,H20_AGR
2018,,M3,1131076.3,H20_AGR
2017,,M3,1122869.4,H20_AGR
2013,,M3,358850.4,H20_AGR
2022,,M3,1827137.7,H20_AGR
2019,,M3,1262937.4,H20_AGR
2020,,M3,2907569.7,H20_AGR
2021,ES211,M3,256133.2,H20_AGR
2023,ES211,M3,984376.7,H20_AGR
2022,ES211,M3,895748.9,H20_AGR
2022,ES213,M3,704744.6,H20_AGR
2023,ES213,M3,694183.4,H20_AGR
2021,ES213,M3,660993,H20_AGR
2022,ES212,M3,226644.3,H20_AGR
2023,ES212,M3,372508.6,H20_AGR
2021,ES212,M3,148793,H20_AGR
2017,,M3,1631735.3,H20_OTR
2022,,M3,1805713.9,H20_OTR
2020,,M3,1638772.1,H20_OTR
2016,,M3,1522943.9,H20_OTR
2018,,M3,1707479.9,H20_OTR
2013,,M3,1203523.7,H20_OTR
2019,,M3,1720927.5,H20_OTR
2023,,M3,1577879.3,H20_OTR
2021,,M3,1790472,H20_OTR
2023,ES211,M3,196804,H20_OTR
2022,ES211,M3,176484.9,H20_OTR
2021,ES211,M3,176878.9,H20_OTR
2023,ES213,M3,1088286.9,H20_OTR
2022,ES213,M3,1251232.9,H20_OTR
2021,ES213,M3,1251139.6,H20_OTR
2023,ES212,M3,292788.4,H20_OTR
2022,ES212,M3,377996.1,H20_OTR
2021,ES212,M3,362453.8,H20_OTR
