Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2011,NY_GDP_PCAP,,,,CON_EUR,,0
2020,NY_GDP_PCAP,,,,CON_EUR,,-9.7
2022,NY_GDP_PCAP,,,,CON_EUR,,5.3
2021,NY_GDP_PCAP,,,,CON_EUR,,6.3
2018,NY_GDP_PCAP,,,,CON_EUR,,2.8
2019,NY_GDP_PCAP,,,,CON_EUR,,1.8
2016,NY_GDP_PCAP,,,,CON_EUR,,3.2
2014,NY_GDP_PCAP,,,,CON_EUR,,1.8
2013,NY_GDP_PCAP,,,,CON_EUR,,-1.6
2012,NY_GDP_PCAP,,,,CON_EUR,,-2
2017,NY_GDP_PCAP,,,,CON_EUR,,2.6
2010,NY_GDP_PCAP,,,,CON_EUR,,0.5
2015,NY_GDP_PCAP,,,,CON_EUR,,3
2022,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,3.9
2019,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,1.1
2010,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,0.4
2011,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,0.1
2017,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,1.6
2018,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,1.5
2013,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,-1.4
2012,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,-2.6
2014,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,1.8
2020,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,-10.7
2021,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,5.9
2016,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,2.8
2015,NY_GDP_PCAP,ES211,,,CON_EUR,ES211,2.6
2012,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,-1.7
2020,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,-10.1
2010,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,0.3
2021,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,6.3
2011,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,-0.1
2013,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,-2.1
2019,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,2.2
2017,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,2.6
2022,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,4.2
2015,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,3.3
2014,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,1.5
2016,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,3.1
2018,NY_GDP_PCAP,ES213,,,CON_EUR,ES213,3.4
2010,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,0.6
2012,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,-2.1
2017,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,2.9
2014,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,1.8
2021,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,6.5
2020,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,-9.2
2011,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,0.1
2015,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,3
2018,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,2.8
2019,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,1.8
2013,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,-1.1
2016,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,3.6
2022,NY_GDP_PCAP,ES212,,,CON_EUR,ES212,6.5
2017,EU_GDP_PCAPNOM,,,,EUR,,3.2
2015,EU_GDP_PCAPNOM,,,,EUR,,3.2
2020,EU_GDP_PCAPNOM,,,,EUR,,-9.8
2022,EU_GDP_PCAPNOM,,,,EUR,,10.5
2019,EU_GDP_PCAPNOM,,,,EUR,,3
2021,EU_GDP_PCAPNOM,,,,EUR,,9
2016,EU_GDP_PCAPNOM,,,,EUR,,3.9
2018,EU_GDP_PCAPNOM,,,,EUR,,4
2018,EU_GDP_PCAPNOM,,,ES48001,EUR,ES48001,0.3
2019,EU_GDP_PCAPNOM,,,ES48001,EUR,ES48001,2.3
2015,EU_GDP_PCAPNOM,,,ES48001,EUR,ES48001,7.2
2021,EU_GDP_PCAPNOM,,,ES48001,EUR,ES48001,28.1
2016,EU_GDP_PCAPNOM,,,ES48001,EUR,ES48001,5.6
2020,EU_GDP_PCAPNOM,,,ES48001,EUR,ES48001,-14.5
2017,EU_GDP_PCAPNOM,,,ES48001,EUR,ES48001,-0.4
2016,EU_GDP_PCAPNOM,,,ES20001,EUR,ES20001,6.1
2021,EU_GDP_PCAPNOM,,,ES20001,EUR,ES20001,-7.5
2019,EU_GDP_PCAPNOM,,,ES20001,EUR,ES20001,8.9
2015,EU_GDP_PCAPNOM,,,ES20001,EUR,ES20001,-7.7
2017,EU_GDP_PCAPNOM,,,ES20001,EUR,ES20001,23
2020,EU_GDP_PCAPNOM,,,ES20001,EUR,ES20001,-11.8
2018,EU_GDP_PCAPNOM,,,ES20001,EUR,ES20001,4
2015,EU_GDP_PCAPNOM,,,ES48002,EUR,ES48002,3
2017,EU_GDP_PCAPNOM,,,ES48002,EUR,ES48002,5.1
2021,EU_GDP_PCAPNOM,,,ES48002,EUR,ES48002,5.6
2018,EU_GDP_PCAPNOM,,,ES48002,EUR,ES48002,4.6
2016,EU_GDP_PCAPNOM,,,ES48002,EUR,ES48002,3.2
2020,EU_GDP_PCAPNOM,,,ES48002,EUR,ES48002,-7.6
2019,EU_GDP_PCAPNOM,,,ES48002,EUR,ES48002,7.2
2018,EU_GDP_PCAPNOM,,,ES20002,EUR,ES20002,10.2
2019,EU_GDP_PCAPNOM,,,ES20002,EUR,ES20002,8
2015,EU_GDP_PCAPNOM,,,ES20002,EUR,ES20002,1.6
2016,EU_GDP_PCAPNOM,,,ES20002,EUR,ES20002,-0.9
2017,EU_GDP_PCAPNOM,,,ES20002,EUR,ES20002,11.4
2020,EU_GDP_PCAPNOM,,,ES20002,EUR,ES20002,11
2021,EU_GDP_PCAPNOM,,,ES20002,EUR,ES20002,14.4
2017,EU_GDP_PCAPNOM,,,ES01051,EUR,ES01051,8.3
2021,EU_GDP_PCAPNOM,,,ES01051,EUR,ES01051,17.5
2020,EU_GDP_PCAPNOM,,,ES01051,EUR,ES01051,-9.8
2018,EU_GDP_PCAPNOM,,,ES01051,EUR,ES01051,7.3
2019,EU_GDP_PCAPNOM,,,ES01051,EUR,ES01051,0.1
2015,EU_GDP_PCAPNOM,,,ES01051,EUR,ES01051,2.9
2016,EU_GDP_PCAPNOM,,,ES01051,EUR,ES01051,2.4
2015,EU_GDP_PCAPNOM,,,ES20016,EUR,ES20016,-0.9
2021,EU_GDP_PCAPNOM,,,ES20016,EUR,ES20016,7.5
2016,EU_GDP_PCAPNOM,,,ES20016,EUR,ES20016,10.8
2020,EU_GDP_PCAPNOM,,,ES20016,EUR,ES20016,-8.9
2019,EU_GDP_PCAPNOM,,,ES20016,EUR,ES20016,5.9
2017,EU_GDP_PCAPNOM,,,ES20016,EUR,ES20016,0.7
2018,EU_GDP_PCAPNOM,,,ES20016,EUR,ES20016,4.5
2015,EU_GDP_PCAPNOM,,,ES20003,EUR,ES20003,5.1
2016,EU_GDP_PCAPNOM,,,ES20003,EUR,ES20003,-0.7
2020,EU_GDP_PCAPNOM,,,ES20003,EUR,ES20003,-9.2
2021,EU_GDP_PCAPNOM,,,ES20003,EUR,ES20003,54.6
2019,EU_GDP_PCAPNOM,,,ES20003,EUR,ES20003,28.4
2018,EU_GDP_PCAPNOM,,,ES20003,EUR,ES20003,7
2017,EU_GDP_PCAPNOM,,,ES20003,EUR,ES20003,11.8
2018,EU_GDP_PCAPNOM,,,ES48911,EUR,ES48911,5.5
2016,EU_GDP_PCAPNOM,,,ES48911,EUR,ES48911,-6
2017,EU_GDP_PCAPNOM,,,ES48911,EUR,ES48911,3.7
2020,EU_GDP_PCAPNOM,,,ES48911,EUR,ES48911,-8.5
2015,EU_GDP_PCAPNOM,,,ES48911,EUR,ES48911,15.2
2021,EU_GDP_PCAPNOM,,,ES48911,EUR,ES48911,6.7
2019,EU_GDP_PCAPNOM,,,ES48911,EUR,ES48911,0.9
2016,EU_GDP_PCAPNOM,,,ES20004,EUR,ES20004,-2.4
2020,EU_GDP_PCAPNOM,,,ES20004,EUR,ES20004,-1.3
2015,EU_GDP_PCAPNOM,,,ES20004,EUR,ES20004,37.5
2017,EU_GDP_PCAPNOM,,,ES20004,EUR,ES20004,11.3
2021,EU_GDP_PCAPNOM,,,ES20004,EUR,ES20004,17.9
2019,EU_GDP_PCAPNOM,,,ES20004,EUR,ES20004,1.8
2018,EU_GDP_PCAPNOM,,,ES20004,EUR,ES20004,13
2019,EU_GDP_PCAPNOM,,,ES20005,EUR,ES20005,1.4
2015,EU_GDP_PCAPNOM,,,ES20005,EUR,ES20005,10.4
2018,EU_GDP_PCAPNOM,,,ES20005,EUR,ES20005,8.3
2020,EU_GDP_PCAPNOM,,,ES20005,EUR,ES20005,6.2
2016,EU_GDP_PCAPNOM,,,ES20005,EUR,ES20005,-2.9
2021,EU_GDP_PCAPNOM,,,ES20005,EUR,ES20005,11.5
2017,EU_GDP_PCAPNOM,,,ES20005,EUR,ES20005,3.1
2018,EU_GDP_PCAPNOM,,,ES01001,EUR,ES01001,7.1
2020,EU_GDP_PCAPNOM,,,ES01001,EUR,ES01001,-9.2
2019,EU_GDP_PCAPNOM,,,ES01001,EUR,ES01001,4.2
2015,EU_GDP_PCAPNOM,,,ES01001,EUR,ES01001,-3.1
2021,EU_GDP_PCAPNOM,,,ES01001,EUR,ES01001,10.5
2016,EU_GDP_PCAPNOM,,,ES01001,EUR,ES01001,14.8
2017,EU_GDP_PCAPNOM,,,ES01001,EUR,ES01001,-20.7
2016,EU_GDP_PCAPNOM,,,ES20006,EUR,ES20006,9.3
2019,EU_GDP_PCAPNOM,,,ES20006,EUR,ES20006,7.6
2020,EU_GDP_PCAPNOM,,,ES20006,EUR,ES20006,-17.1
2015,EU_GDP_PCAPNOM,,,ES20006,EUR,ES20006,-2.7
2017,EU_GDP_PCAPNOM,,,ES20006,EUR,ES20006,-2.9
2021,EU_GDP_PCAPNOM,,,ES20006,EUR,ES20006,9.1
2018,EU_GDP_PCAPNOM,,,ES20006,EUR,ES20006,1.5
2015,EU_GDP_PCAPNOM,,,ES48912,EUR,ES48912,-5
2019,EU_GDP_PCAPNOM,,,ES48912,EUR,ES48912,15.3
2016,EU_GDP_PCAPNOM,,,ES48912,EUR,ES48912,-0.3
2021,EU_GDP_PCAPNOM,,,ES48912,EUR,ES48912,-2.7
2017,EU_GDP_PCAPNOM,,,ES48912,EUR,ES48912,7.3
2018,EU_GDP_PCAPNOM,,,ES48912,EUR,ES48912,8.2
2020,EU_GDP_PCAPNOM,,,ES48912,EUR,ES48912,-10.1
2015,EU_GDP_PCAPNOM,,,ES20906,EUR,ES20906,11.8
2021,EU_GDP_PCAPNOM,,,ES20906,EUR,ES20906,-1.1
2017,EU_GDP_PCAPNOM,,,ES20906,EUR,ES20906,6.7
2016,EU_GDP_PCAPNOM,,,ES20906,EUR,ES20906,-15
2018,EU_GDP_PCAPNOM,,,ES20906,EUR,ES20906,-3.7
2020,EU_GDP_PCAPNOM,,,ES20906,EUR,ES20906,-12.4
2019,EU_GDP_PCAPNOM,,,ES20906,EUR,ES20906,26.5
2020,EU_GDP_PCAPNOM,,,ES20007,EUR,ES20007,5.6
2017,EU_GDP_PCAPNOM,,,ES20007,EUR,ES20007,-22.3
2016,EU_GDP_PCAPNOM,,,ES20007,EUR,ES20007,-11.9
2021,EU_GDP_PCAPNOM,,,ES20007,EUR,ES20007,-1.7
