Year,Series,Edad,Territorio,Units,Value
2020,FB_CBK_BRCH,Y_GE15,,PER_100000,62.1
2016,FB_CBK_BRCH,Y_GE15,,PER_100000,78.5
2017,FB_CBK_BRCH,Y_GE15,,PER_100000,73.8
2011,FB_CBK_BRCH,Y_GE15,,PER_100000,101
2018,FB_CBK_BRCH,Y_GE15,,PER_100000,71.4
2022,FB_CBK_BRCH,Y_GE15,,PER_100000,52.2
2013,FB_CBK_BRCH,Y_GE15,,PER_100000,89.4
2023,FB_CBK_BRCH,Y_GE15,,PER_100000,51.4
2010,FB_CBK_BRCH,Y_GE15,,PER_100000,103.5
2014,FB_CBK_BRCH,Y_GE15,,PER_100000,83.7
2012,FB_CBK_BRCH,Y_GE15,,PER_100000,98.2
2019,FB_CBK_BRCH,Y_GE15,,PER_100000,68
2015,FB_CBK_BRCH,Y_GE15,,PER_100000,82.2
2021,FB_CBK_BRCH,Y_GE15,,PER_100000,56.5
2012,FB_CBK_BRCH,Y_GE15,ES212,PER_100000,94.8
2011,FB_CBK_BRCH,Y_GE15,ES212,PER_100000,97
2018,FB_CBK_BRCH,Y_GE15,ES212,PER_100000,74.7
2023,FB_CBK_BRCH,Y_GE15,ES211,PER_100000,53.7
2010,FB_CBK_BRCH,Y_GE15,ES213,PER_100000,101.2
2020,FB_CBK_BRCH,Y_GE15,ES213,PER_100000,59.5
2020,FB_CBK_BRCH,Y_GE15,ES211,PER_100000,63.2
2023,FB_CBK_BRCH,Y_GE15,ES213,PER_100000,49.6
2017,FB_CBK_BRCH,Y_GE15,ES212,PER_100000,77.5
2011,FB_CBK_BRCH,Y_GE15,ES211,PER_100000,118
2022,FB_CBK_BRCH,Y_GE15,ES212,PER_100000,54.3
2015,FB_CBK_BRCH,Y_GE15,ES213,PER_100000,78.3
2023,FB_CBK_BRCH,Y_GE15,ES212,PER_100000,53.3
2018,FB_CBK_BRCH,Y_GE15,ES213,PER_100000,69
2018,FB_CBK_BRCH,Y_GE15,ES211,PER_100000,72.6
2014,FB_CBK_BRCH,Y_GE15,ES211,PER_100000,93.9
2016,FB_CBK_BRCH,Y_GE15,ES213,PER_100000,75.4
2021,FB_CBK_BRCH,Y_GE15,ES211,PER_100000,58.8
2019,FB_CBK_BRCH,Y_GE15,ES213,PER_100000,66
2021,FB_CBK_BRCH,Y_GE15,ES213,PER_100000,54.1
