Year,Units,Value,Territorio
2021,PT,4.9,
2016,PT,1.1,
2019,PT,1.1,
2017,PT,0.8,
2014,PT,1,
2015,PT,0.9,
2011,PT,1.6,
2020,PT,-8,
2013,PT,0.6,
2022,PT,3.2,
2018,PT,0.9,
2012,PT,1.1,
2022,PT,1.7,01
2011,PT,2.6,01
2013,PT,0.7,01
2017,PT,-0.2,01
2012,PT,1,01
2020,PT,-8.5,01
2014,PT,2.7,01
2019,PT,0.7,01
2018,PT,-0.1,01
2015,PT,1.6,01
2021,PT,4.7,01
2016,PT,0.8,01
2011,PT,1.5,48
2018,PT,0.8,48
2020,PT,-7.5,48
2021,PT,4.9,48
2022,PT,4.4,48
2012,PT,0.8,48
2013,PT,1.1,48
2014,PT,0.6,48
2015,PT,0.6,48
2016,PT,1.3,48
2019,PT,0.9,48
2017,PT,1.3,48
2019,PT,1.7,20
2020,PT,-8.6,20
2021,PT,5.2,20
2022,PT,2.2,20
2011,PT,1.3,20
2012,PT,1.4,20
2013,PT,0.1,20
2014,PT,0.5,20
2015,PT,1.2,20
2016,PT,1.3,20
2017,PT,0.6,20
2018,PT,1.2,20
