Year,Series,Sexo,Renta,Territorio,Comarca,Municipio,Units,GeoCode,Value
2015,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,19968
2013,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,19319
2009,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,19631
2016,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,20295
2020,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,22343
2018,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,21458
2014,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,19379
2019,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,22548
2017,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,21083
2021,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,23313
2011,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,19715
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,20364
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,23350
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,20907
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,19440
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,21468
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,19111
2014,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,19690
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,21429
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,22782
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,19133
2019,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,22558
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,24382
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,31985
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,20451
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,23782
