Year,Series,Sexo,Edad,Territorio,Units,Value
2011,SL_TLF_NEET_19ICLS,,Y15T24,,PT,10.9
2022,SL_TLF_NEET_19ICLS,,Y15T24,,PT,8.6
2023,SL_TLF_NEET_19ICLS,,Y15T24,,PT,8
2015,SL_TLF_NEET_19ICLS,,Y15T24,,PT,8.2
2012,SL_TLF_NEET_19ICLS,,Y15T24,,PT,11.6
2014,SL_TLF_NEET_19ICLS,,Y15T24,,PT,9.9
2013,SL_TLF_NEET_19ICLS,,Y15T24,,PT,13.2
2024,SL_TLF_NEET_19ICLS,,Y15T24,,PT,6.7
2018,SL_TLF_NEET_19ICLS,,Y15T24,,PT,8.7
2010,SL_TLF_NEET_19ICLS,,Y15T24,,PT,10.9
2020,SL_TLF_NEET_19ICLS,,Y15T24,,PT,8.5
2021,SL_TLF_NEET_19ICLS,,Y15T24,,PT,7.9
2016,SL_TLF_NEET_19ICLS,,Y15T24,,PT,9.2
2017,SL_TLF_NEET_19ICLS,,Y15T24,,PT,9.4
2019,SL_TLF_NEET_19ICLS,,Y15T24,,PT,8
2017,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,12
2018,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,8.7
2024,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,6.3
2010,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,12.7
2013,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,13.6
2022,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,8.6
2015,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,8.2
2011,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,12.6
2020,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,9.5
2021,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,7.6
2016,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,8.5
2012,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,13
2014,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,9.4
2023,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,9.1
2019,SL_TLF_NEET_19ICLS,,Y15T24,ES211,PT,9.1
2021,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,8.4
2015,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,8.3
2019,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,8.5
2024,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,7.3
2013,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,13.4
2011,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,11.2
2020,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,9.2
2023,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,8.8
2017,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,8.6
2016,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,9.6
2014,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,10.7
2010,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,11.4
2018,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,9.4
2012,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,11.2
2022,SL_TLF_NEET_19ICLS,,Y15T24,ES213,PT,10.3
2010,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,9.3
2022,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,6.1
2023,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,6.3
2015,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,8.1
2011,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,9.5
2017,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,9.6
2012,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,11.4
2020,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,7.1
2013,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,12.8
2014,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,9
2019,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,7
2016,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,8.8
2018,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,7.6
2024,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,5.9
2021,SL_TLF_NEET_19ICLS,,Y15T24,ES212,PT,7.5
2013,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,13
2015,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,7.9
2021,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,7.3
2012,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,11.1
2019,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,8.3
2014,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,9.3
2016,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,9.2
2011,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,9.7
2024,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,6.8
2010,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,9.6
2017,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,9.6
2018,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,9.2
2022,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,7.9
2023,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,8.5
2020,SL_TLF_NEET_19ICLS,F,Y15T24,,PT,8.5
2021,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,7.2
2022,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,7.6
2013,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,13.6
2023,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,11.5
2015,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,7.6
2024,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,6.1
2010,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,12.2
2020,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,7.3
2019,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,6
2017,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,11.8
2012,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,12.4
2011,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,11.1
2014,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,10.6
2016,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,9.8
2018,SL_TLF_NEET_19ICLS,F,Y15T24,ES211,PT,8.6
2020,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,9.9
2012,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,10.6
2024,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,6.8
2010,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,10
2022,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,9.2
2016,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,8.5
2021,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,7.6
2019,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,10.2
2013,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,13
2011,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,9.5
2023,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,9.3
2015,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,7.3
2017,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,9.2
2014,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,9.3
2018,SL_TLF_NEET_19ICLS,F,Y15T24,ES213,PT,10.4
2014,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,8.6
2011,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,9.5
2020,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,6.8
2019,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,6.2
2015,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,9
2010,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,7.9
2024,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,7
2023,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,6.2
2016,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,10.1
2018,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,7.7
2012,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,11
2022,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,6.1
2017,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,9.3
2021,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,6.9
2013,SL_TLF_NEET_19ICLS,F,Y15T24,ES212,PT,12.7
2021,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,8.6
2019,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,7.8
2018,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,8.2
2016,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,9.1
2020,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,8.6
2010,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,12.1
2023,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,7.5
2013,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,13.4
2015,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,8.5
2017,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,9.3
2014,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,10.5
2012,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,12
2011,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,11.9
2024,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,6.6
2022,SL_TLF_NEET_19ICLS,M,Y15T24,,PT,9.3
2023,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,6.8
2016,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,7.3
2021,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,8.1
2024,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,6.5
2022,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,9.5
