Year,Series,Sexo,Territorio,Units,Value
2024,SL_EMP_INJUR,,,PER_100000_EMP,7304.1
2022,SL_EMP_FTLINJUR,,,PER_100000_EMP,0.5
2021,SL_EMP_FTLINJUR,,,PER_100000_EMP,0.4
2023,SL_EMP_INJUR,,,PER_100000_EMP,6988.6
2024,SL_EMP_FTLINJUR,,,PER_100000_EMP,0.5
2023,SL_EMP_FTLINJUR,,,PER_100000_EMP,0.4
2022,SL_EMP_INJUR,,,PER_100000_EMP,7178.9
2020,SL_EMP_FTLINJUR,,,PER_100000_EMP,0.6
2021,SL_EMP_INJUR,,,PER_100000_EMP,7026.7
2020,SL_EMP_INJUR,,,PER_100000_EMP,6150.9
2024,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,0.7
2021,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,0.7
2023,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,0
2020,SL_EMP_INJUR,,ES211,PER_100000_EMP,7085
2022,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,0.7
2023,SL_EMP_INJUR,,ES211,PER_100000_EMP,6950.6
2022,SL_EMP_INJUR,,ES211,PER_100000_EMP,8421.5
2024,SL_EMP_INJUR,,ES211,PER_100000_EMP,9923.7
2020,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,0.7
2021,SL_EMP_INJUR,,ES211,PER_100000_EMP,8565.9
2021,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,0.4
2020,SL_EMP_INJUR,,ES213,PER_100000_EMP,6072.1
2024,SL_EMP_INJUR,,ES213,PER_100000_EMP,6991.3
2021,SL_EMP_INJUR,,ES213,PER_100000_EMP,6853.3
2024,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,0.4
2020,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,0.4
2022,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,0.6
2023,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,0.4
2022,SL_EMP_INJUR,,ES213,PER_100000_EMP,7180.5
2023,SL_EMP_INJUR,,ES213,PER_100000_EMP,7201.9
2022,SL_EMP_INJUR,,ES212,PER_100000_EMP,6618.1
2022,SL_EMP_FTLINJUR,,ES212,PER_100000_EMP,0.3
