Year,Series,Units,Value,_NAME_
2017,EU_EXP_EMP,EUR_1000000,363,2017
2020,EU_EXP_EMP,EUR_1000000,424,2020
2016,EU_EXP_EMP,EUR_1000000,333.6,2016
2014,EU_EXP_EMP,EUR_1000000,319.8,2014
2012,EU_EXP_EMP,EUR_1000000,527.1,2012
2021,EU_EXP_EMP,EUR_1000000,405.3,2021
2018,EU_EXP_EMP,EUR_1000000,358.1,2018
2010,EU_EXP_EMP,EUR_1000000,94.6,2010
2013,EU_EXP_EMP,EUR_1000000,321.7,2013
2011,EU_EXP_EMP,EUR_1000000,399.9,2011
2019,EU_EXP_EMP,EUR_1000000,408.7,2019
2015,EU_EXP_EMP,EUR_1000000,341.3,2015
2010,EU_EXP_EMPGDP,PT,0.9,2010
2011,EU_EXP_EMPGDP,PT,4,2011
2012,EU_EXP_EMPGDP,PT,5.2,2012
2013,EU_EXP_EMPGDP,PT,3.4,2013
2015,EU_EXP_EMPGDP,PT,3.4,2015
2016,EU_EXP_EMPGDP,PT,3.2,2016
2020,EU_EXP_EMPGDP,PT,3.6,2020
2014,EU_EXP_EMPGDP,PT,3.2,2014
2017,EU_EXP_EMPGDP,PT,3.4,2017
2018,EU_EXP_EMPGDP,PT,3.1,2018
2019,EU_EXP_EMPGDP,PT,3.4,2019
2021,EU_EXP_EMPGDP,PT,3.2,2021
