Year,Series,Valor,Territorio,Comarca,Municipio,Units,GeoCode,Value
2011,NV_IND_MANF,CLV15,,,,PT,,19.4
2017,NV_IND_MANF,CLV15,,,,PT,,19
2012,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,5683.9
2014,NV_IND_MANF,CLV15,,,,PT,,18.6
2016,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,6187.1
2022,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,6401.7
2016,NV_IND_MANF,CLV15,,,,PT,,19
2019,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,6465.7
2013,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,5553
2022,NV_IND_MANF,CLV15,,,,PT,,18.1
2018,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,6423.3
2015,NV_IND_MANF,CLV15,,,,PT,,18.8
2012,NV_IND_MANF,CLV15,,,,PT,,18.6
2019,NV_IND_MANF,CLV15,,,,PT,,18.5
2015,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,5935.6
2011,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,6033.7
2020,NV_IND_MANF,CLV15,,,,PT,,17.8
2010,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,5896.8
2013,NV_IND_MANF,CLV15,,,,PT,,18.5
2018,NV_IND_MANF,CLV15,,,,PT,,18.7
2021,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,6141.9
2014,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,5702.8
2010,NV_IND_MANF,CLV15,,,,PT,,18.9
2020,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,5618.5
2017,NV_IND_MANFPC,CLV15,,,,EUR_PER_CAPITA,,6328.8
2021,NV_IND_MANF,CLV15,,,,PT,,18.3
2017,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,9602
2012,NV_IND_MANF,CLV15,ES211,,,PT,ES211,25.2
2012,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,8497.7
2018,NV_IND_MANF,CLV15,ES211,,,PT,ES211,25.9
2011,NV_IND_MANF,CLV15,ES211,,,PT,ES211,26
2013,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,8558.7
2019,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,9362.5
2021,NV_IND_MANF,CLV15,ES211,,,PT,ES211,24.7
2017,NV_IND_MANF,CLV15,ES211,,,PT,ES211,26.4
2014,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,8868.3
2015,NV_IND_MANF,CLV15,ES211,,,PT,ES211,26.3
