Year,Series,Territorio,Units,Value
2012,NV_IND_SSIS,,PT,25.9
2014,NV_IND_SSIS,,PT,25.9
2022,NV_IND_SSIS,,PT,19.9
2011,NV_IND_SSIS,,PT,26
2010,NV_IND_SSIS,,PT,25.8
2013,NV_IND_SSIS,,PT,26.8
2017,NV_IND_SSIS,,PT,23.7
2021,NV_IND_SSIS,,PT,21.1
2020,NV_IND_SSIS,,PT,22.2
2016,NV_IND_SSIS,,PT,23.4
2015,NV_IND_SSIS,,PT,23.9
2018,NV_IND_SSIS,,PT,23
2019,NV_IND_SSIS,,PT,22.4
2012,NV_IND_SSIS,ES211,PT,18.6
2018,NV_IND_SSIS,ES211,PT,16.7
2021,NV_IND_SSIS,ES211,PT,15.1
2015,NV_IND_SSIS,ES211,PT,17
2014,NV_IND_SSIS,ES211,PT,18.6
2013,NV_IND_SSIS,ES211,PT,19
2017,NV_IND_SSIS,ES211,PT,17.4
2020,NV_IND_SSIS,ES211,PT,16
2022,NV_IND_SSIS,ES211,PT,15.1
2010,NV_IND_SSIS,ES211,PT,20.6
2011,NV_IND_SSIS,ES211,PT,19.5
2016,NV_IND_SSIS,ES211,PT,17.2
2019,NV_IND_SSIS,ES211,PT,16.3
2016,NV_IND_SSIS,ES213,PT,25.7
2022,NV_IND_SSIS,ES213,PT,19.5
2010,NV_IND_SSIS,ES213,PT,29
2013,NV_IND_SSIS,ES213,PT,31.6
2019,NV_IND_SSIS,ES213,PT,25
2017,NV_IND_SSIS,ES213,PT,26
2015,NV_IND_SSIS,ES213,PT,26.9
2014,NV_IND_SSIS,ES213,PT,30.2
2018,NV_IND_SSIS,ES213,PT,25.7
2021,NV_IND_SSIS,ES213,PT,22.9
2020,NV_IND_SSIS,ES213,PT,25.1
2012,NV_IND_SSIS,ES213,PT,30.5
2011,NV_IND_SSIS,ES213,PT,29.8
2016,NV_IND_SSIS,ES212,PT,24.9
2020,NV_IND_SSIS,ES212,PT,23.1
2012,NV_IND_SSIS,ES212,PT,25.6
2013,NV_IND_SSIS,ES212,PT,27
2011,NV_IND_SSIS,ES212,PT,26
2015,NV_IND_SSIS,ES212,PT,25.3
2018,NV_IND_SSIS,ES212,PT,24.1
2017,NV_IND_SSIS,ES212,PT,25.3
2019,NV_IND_SSIS,ES212,PT,23.3
2010,NV_IND_SSIS,ES212,PT,25.3
2022,NV_IND_SSIS,ES212,PT,22.9
2021,NV_IND_SSIS,ES212,PT,22.7
2014,NV_IND_SSIS,ES212,PT,26.2
