Year,Series,Actividad,Units,Value
2019,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.2
2018,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.2
2013,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.22
2015,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.21
2021,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.2
2017,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.21
2012,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.24
2020,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.2
2011,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.22
2010,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.25
2022,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.21
2014,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.21
2016,EN_ATM_CO2GDP,,KG_CO2_PER_GDP_EUR,0.21
2011,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.45
2010,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.49
2022,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.38
2021,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.42
2020,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.4
2019,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.4
2018,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.41
2017,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.43
2016,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.44
2015,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.45
2014,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.47
2013,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.47
2012,EN_ATM_CO2MVA,ISIC4_C,KG_CO2_PER_GDP_EUR,0.45
