Year,Series,Territorio,Units,Value
2014,IT_MOB_3GNTWK,,PT,99.4
2013,IT_MOB_3GNTWK,,PT,99.5
2017,IT_MOB_3GNTWK,,PT,100
2016,IT_MOB_3GNTWK,,PT,99.9
2019,IT_MOB_3GNTWK,,PT,100
2018,IT_MOB_3GNTWK,,PT,100
2012,IT_MOB_3GNTWK,,PT,96.6
2015,IT_MOB_3GNTWK,,PT,99.9
2020,IT_MOB_3GNTWK,,PT,100
2017,IT_MOB_3GNTWK,01,PT,99.9
2018,IT_MOB_3GNTWK,01,PT,99.9
2016,IT_MOB_3GNTWK,01,PT,99.8
2014,IT_MOB_3GNTWK,01,PT,98.7
2020,IT_MOB_3GNTWK,01,PT,100
2015,IT_MOB_3GNTWK,01,PT,99.8
2019,IT_MOB_3GNTWK,01,PT,99.9
2014,IT_MOB_3GNTWK,48,PT,99.8
2016,IT_MOB_3GNTWK,48,PT,99.9
2017,IT_MOB_3GNTWK,48,PT,100
2018,IT_MOB_3GNTWK,48,PT,100
2015,IT_MOB_3GNTWK,48,PT,100
2020,IT_MOB_3GNTWK,48,PT,100
2019,IT_MOB_3GNTWK,48,PT,100
2017,IT_MOB_3GNTWK,20,PT,99.9
2015,IT_MOB_3GNTWK,20,PT,99.8
2016,IT_MOB_3GNTWK,20,PT,99.8
2020,IT_MOB_3GNTWK,20,PT,100
2018,IT_MOB_3GNTWK,20,PT,100
2014,IT_MOB_3GNTWK,20,PT,99
2019,IT_MOB_3GNTWK,20,PT,100
2014,IT_MOB_4GNTWK,,PT,93.5
2012,IT_MOB_4GNTWK,,PT,55.1
2020,IT_MOB_4GNTWK,,PT,100
2017,IT_MOB_4GNTWK,,PT,100
2018,IT_MOB_4GNTWK,,PT,100
2015,IT_MOB_4GNTWK,,PT,99
2019,IT_MOB_4GNTWK,,PT,100
2013,IT_MOB_4GNTWK,,PT,79.6
2016,IT_MOB_4GNTWK,,PT,99.9
2014,IT_MOB_4GNTWK,01,PT,90
2012,IT_MOB_4GNTWK,01,PT,76
2015,IT_MOB_4GNTWK,01,PT,97.9
2020,IT_MOB_4GNTWK,01,PT,100
2018,IT_MOB_4GNTWK,01,PT,100
2019,IT_MOB_4GNTWK,01,PT,100
2016,IT_MOB_4GNTWK,01,PT,99.7
2013,IT_MOB_4GNTWK,01,PT,79.5
2017,IT_MOB_4GNTWK,01,PT,99.7
2017,IT_MOB_4GNTWK,48,PT,100
2016,IT_MOB_4GNTWK,48,PT,100
2015,IT_MOB_4GNTWK,48,PT,99.5
2014,IT_MOB_4GNTWK,48,PT,95.4
2013,IT_MOB_4GNTWK,48,PT,85.3
2012,IT_MOB_4GNTWK,48,PT,68.5
2018,IT_MOB_4GNTWK,48,PT,100
2019,IT_MOB_4GNTWK,48,PT,100
2020,IT_MOB_4GNTWK,48,PT,100
2020,IT_MOB_4GNTWK,20,PT,100
2012,IT_MOB_4GNTWK,20,PT,23.7
2019,IT_MOB_4GNTWK,20,PT,100
2018,IT_MOB_4GNTWK,20,PT,100
2016,IT_MOB_4GNTWK,20,PT,99.9
2017,IT_MOB_4GNTWK,20,PT,99.9
2015,IT_MOB_4GNTWK,20,PT,98.7
2014,IT_MOB_4GNTWK,20,PT,92
2013,IT_MOB_4GNTWK,20,PT,70.6
