Year;CCAA;Units;Value
2010;ES12;PT;14.8
2011;ES12;PT;19.6
2012;ES12;PT;20.7
2013;ES12;PT;20.5
2014;ES12;PT;21.3
2015;ES12;PT;20.9
2016;ES12;PT;21.1
2017;ES12;PT;16.6
2018;ES12;PT;17.42
2019;ES12;PT;24.12
2020;ES12;PT;22.09
2021;ES12;PT;23.5
2022;ES12;PT;21.02
2023;ES12;PT;21.93
2017;ES13;PT;17.0
2008;ES21;PT;14.79
2012;ES21;PT;15.38
2014;ES21;PT;18.52
2016;ES21;PT;16.37
2018;ES21;PT;17.71
2020;ES21;PT;17.77
2022;ES21;PT;16.48
2014;ES22;PT;22.34
2015;ES22;PT;24.21
2016;ES22;PT;23.15
2017;ES22;PT;22.61
2018;ES22;PT;21.71
2019;ES22;PT;21.31
2020;ES22;PT;21.93
2021;ES22;PT;22.31
2022;ES22;PT;21.7
2023;ES22;PT;21.82
2010;ES24;PT;26.68
2011;ES24;PT;28.16
2012;ES24;PT;31.75
2013;ES24;PT;21.73
2014;ES24;PT;23.21
2015;ES24;PT;20.58
2016;ES24;PT;21.81
2017;ES24;PT;19.14
2018;ES24;PT;17.35
2019;ES24;PT;20.68
2020;ES24;PT;18.96
2021;ES24;PT;21.05
2010;ES24;PT;26.68
2011;ES24;PT;28.16
2012;ES24;PT;31.75
2013;ES24;PT;21.73
2014;ES24;PT;23.21
2015;ES24;PT;20.58
2016;ES24;PT;22.56
2017;ES24;PT;17.02
2018;ES24;PT;17.51
2019;ES24;PT;20.78
2020;ES24;PT;18.76
2021;ES24;PT;19.3
2022;ES24;PT;21.39
2010;ES30;PT;20.4
2011;ES30;PT;21.4
2012;ES30;PT;21.3
2013;ES30;PT;21.9
2014;ES30;PT;22.2
2015;ES30;PT;21.3
2016;ES30;PT;24.0
2017;ES30;PT;23.2
2018;ES30;PT;20.9
2019;ES30;PT;21.88
2020;ES30;PT;19.08
2021;ES30;PT;21.63
2010;ES41;PT;19.54
2011;ES41;PT;19.07
2012;ES41;PT;18.42
2013;ES41;PT;19.08
2014;ES41;PT;21.63
2015;ES41;PT;19.27
2016;ES41;PT;18.33
2017;ES41;PT;19.62
2018;ES41;PT;18.40
2019;ES41;PT;14.50
2020;ES41;PT;16.08
2021;ES41;PT;20.05
2022;ES41;PT;18.80
2023;ES41;PT;18.67
2010;ES43;PT;16.21
2011;ES43;PT;15.63
2012;ES43;PT;17.09
2013;ES43;PT;16.96
2014;ES43;PT;19.37
2015;ES43;PT;17.15
2016;ES43;PT;16.89
2017;ES43;PT;16.50
2018;ES43;PT;13.69
2019;ES43;PT;14.9
2020;ES43;PT;15.91
2021;ES43;PT;16.42
2022;ES43;PT;13.79
2023;ES43;PT;16.98
2010;ES;PT;19.48
2010;ES53;PT;24.96
2011;ES;PT;19.37
2011;ES53;PT;23.48
2012;ES;PT;19.69
2012;ES53;PT;20.54
2013;ES;PT;19.3
2013;ES53;PT;19.77
2014;ES;PT;20.45
2014;ES53;PT;19.42
2015;ES;PT;20.23
2015;ES53;PT;25.86
2016;ES;PT;20.18
2016;ES53;PT;18.81
2017;ES;PT;20.62
2017;ES53;PT;20.78
2018;ES;PT;20.23
2018;ES53;PT;21.6
2019;ES53;PT;18.12
2019;ES;PT;19.49
2020;ES;PT;19.71
2020;ES53;PT;20.66
2021;ES;PT;20.61
2021;ES53;PT;17.52
2022;ES;PT;19.39
2023;ES;PT;18.29
2022;ES53;PT;16.98
2023;ES53;PT;18.8
2010;ES70;PT;23.8
2011;ES70;PT;20.6
2012;ES70;PT;20.1
2013;ES70;PT;21.1
2014;ES70;PT;21.7
2015;ES70;PT;24.4
2016;ES70;PT;20.6
2017;ES70;PT;22.9
2018;ES70;PT;23.7
2019;ES70;PT;18.8
2020;ES70;PT;22.0
2021;ES70;PT;24.1
