Year,Serie,Sex,Cobertura,Residencia,Discapacidad,Province,County,Municipality,Unidad,GeoCode,Value
2010,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,6.5
2011,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,6.2
2012,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,8.4
2013,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,10.3
2014,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,11.9
2015,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,12.7
2016,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,13.3
2017,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,12.9
2018,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,12.9
2019,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,12.8
2020,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,13.8
2021,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,13.9
2022,AES,,TIT,,,Araba/Álava,,,"Per 1,000 people",Araba/Álava,12.6
2010,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,8.4
2011,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,5.4
2012,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,7.7
2013,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,8.6
2014,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,9.2
2015,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,10.0
2016,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,12.6
2017,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,8.8
2018,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,13.3
2019,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,15.4
2020,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,13.4
2021,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,13.1
2022,AES,,TIT,,,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,13.6
2010,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,8.2
2011,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,4.6
2012,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,5.0
2013,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2014,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2015,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2016,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,6.2
2017,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,7.4
2018,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,9.1
2019,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,9.7
2020,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,10.7
2021,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,11.3
2022,AES,,TIT,,,,,Amurrio,"Per 1,000 people",Amurrio,10.7
2010,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,6.6
2011,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,2.6
2012,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,2.0
2013,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,2.6
2014,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,1.3
2015,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,2.6
2016,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,2.6
2017,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,2.6
2018,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,2.6
2019,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,4.0
2020,AES,,TIT,,,,,Aramaio,"Per 1,000 people",Aramaio,4.0
