Year,Province,County,Municipality,Unidad,GeoCode,Value
2022,Araba/Álava,,,Euros,Araba/Álava,1371.5
2023,Araba/Álava,,,Euros,Araba/Álava,1505.6
2022,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,1282.5
2023,,,Alegría-Dulantzi,Euros,Alegría-Dulantzi,1407.9
2022,,,Amurrio,Euros,Amurrio,1444.6
2023,,,Amurrio,Euros,Amurrio,1575.7
2022,,,Aramaio,Euros,Aramaio,1090.6
2023,,,Aramaio,Euros,Aramaio,1220.8
2022,,,Artziniega,Euros,Artziniega,1465.8
2023,,,Artziniega,Euros,Artziniega,1606.9
2022,,,Armiñón,Euros,Armiñón,1046.1
2023,,,Armiñón,Euros,Armiñón,1176.0
2022,,,Arratzua-Ubarrundia,Euros,Arratzua-Ubarrundia,1302.7
2023,,,Arratzua-Ubarrundia,Euros,Arratzua-Ubarrundia,1442.1
2022,,,Asparrena,Euros,Asparrena,1253.7
2023,,,Asparrena,Euros,Asparrena,1410.8
2022,,Añana (county),,Euros,Añana (county),1088.5
2023,,Añana (county),,Euros,Añana (county),1220.0
2022,,,Ayala/Aiara,Euros,Ayala/Aiara,1269.8
2023,,,Ayala/Aiara,Euros,Ayala/Aiara,1391.2
2022,,,Baños de Ebro/Mañueta,Euros,Baños de Ebro/Mañueta,710.7
2023,,,Baños de Ebro/Mañueta,Euros,Baños de Ebro/Mañueta,759.7
2022,,,Barrundia,Euros,Barrundia,1035.5
2023,,,Barrundia,Euros,Barrundia,1169.8
2022,,,Berantevilla,Euros,Berantevilla,1001.8
2023,,,Berantevilla,Euros,Berantevilla,1099.0
2022,,,Bernedo,Euros,Bernedo,874.8
2023,,,Bernedo,Euros,Bernedo,970.3
2022,,,Campezo/Kanpezu,Euros,Campezo/Kanpezu,1005.0
2023,,,Campezo/Kanpezu,Euros,Campezo/Kanpezu,1112.0
2022,,,Zigoitia,Euros,Zigoitia,1480.4
2023,,,Zigoitia,Euros,Zigoitia,1614.4
2022,,,Kripan,Euros,Kripan,851.1
2023,,,Kripan,Euros,Kripan,965.2
2022,,Arabako Lautada / Llanada Alavesa,,Euros,Arabako Lautada / Llanada Alavesa,1391.2
2023,,Arabako Lautada / Llanada Alavesa,,Euros,Arabako Lautada / Llanada Alavesa,1527.1
2022,,,Kuartango,Euros,Kuartango,1085.8
2023,,,Kuartango,Euros,Kuartango,1224.6
2022,,,Elburgo/Burgelu,Euros,Elburgo/Burgelu,1431.9
2023,,,Elburgo/Burgelu,Euros,Elburgo/Burgelu,1523.0
2022,,,Elciego,Euros,Elciego,1245.8
2023,,,Elciego,Euros,Elciego,1358.2
2022,,,Elvillar/Bilar,Euros,Elvillar/Bilar,686.9
2023,,,Elvillar/Bilar,Euros,Elvillar/Bilar,763.7
2022,,,Iruraiz-Gauna,Euros,Iruraiz-Gauna,877.3
2023,,,Iruraiz-Gauna,Euros,Iruraiz-Gauna,1004.9
2022,,,Labastida/Bastida,Euros,Labastida/Bastida,1109.9
2023,,,Labastida/Bastida,Euros,Labastida/Bastida,1221.0
2022,,Arabako Mendialdea / Montaña Alavesa,,Euros,Arabako Mendialdea / Montaña Alavesa,941.7
2023,,Arabako Mendialdea / Montaña Alavesa,,Euros,Arabako Mendialdea / Montaña Alavesa,1043.9
2022,,,Lagrán,Euros,Lagrán,886.6
2023,,,Lagrán,Euros,Lagrán,983.4
2022,,,Laguardia,Euros,Laguardia,1062.5
2023,,,Laguardia,Euros,Laguardia,1163.3
2022,,,Lanciego/Lantziego,Euros,Lanciego/Lantziego,841.2
2023,,,Lanciego/Lantziego,Euros,Lanciego/Lantziego,919.1
2022,,,Lapuebla de Labarca,Euros,Lapuebla de Labarca,906.5
2023,,,Lapuebla de Labarca,Euros,Lapuebla de Labarca,1027.3
2022,,,Leza,Euros,Leza,1148.3
2023,,,Leza,Euros,Leza,1270.3
2022,,,Laudio/Llodio,Euros,Laudio/Llodio,1460.3
2023,,,Laudio/Llodio,Euros,Laudio/Llodio,1590.8
2022,,,Arraia-Maeztu,Euros,Arraia-Maeztu,1037.1
2023,,,Arraia-Maeztu,Euros,Arraia-Maeztu,1141.6
2022,,,Moreda de Álava/Moreda Araba,Euros,Moreda de Álava/Moreda Araba,1045.7
2023,,,Moreda de Álava/Moreda Araba,Euros,Moreda de Álava/Moreda Araba,1115.6
2022,,Arabako Errioxa / Rioja Alavesa,,Euros,Arabako Errioxa / Rioja Alavesa,993.2
2023,,Arabako Errioxa / Rioja Alavesa,,Euros,Arabako Errioxa / Rioja Alavesa,1096.0
2022,,,Navaridas,Euros,Navaridas,709.5
2023,,,Navaridas,Euros,Navaridas,783.8
2022,,,Okondo,Euros,Okondo,1199.9
2023,,,Okondo,Euros,Okondo,1343.4
2022,,,Oyón-Oion,Euros,Oyón-Oion,1050.7
2023,,,Oyón-Oion,Euros,Oyón-Oion,1153.5
2022,,,Peñacerrada-Urizaharra,Euros,Peñacerrada-Urizaharra,850.4
2023,,,Peñacerrada-Urizaharra,Euros,Peñacerrada-Urizaharra,950.8
2022,,,Erriberagoitia/Ribera Alta,Euros,Erriberagoitia/Ribera Alta,1095.8
2023,,,Erriberagoitia/Ribera Alta,Euros,Erriberagoitia/Ribera Alta,1202.5
2022,,,Ribera Baja/Erribera Beitia,Euros,Ribera Baja/Erribera Beitia,1299.2
