Year,ServBasico,Province,County,Municipality,Unidad,GeoCode,Value
2010,BSRVH2O,Araba/Álava,,,Percentage,Araba/Álava,100.0
2011,BSRVH2O,Araba/Álava,,,Percentage,Araba/Álava,100.0
2013,BSRVH2O,Araba/Álava,,,Percentage,Araba/Álava,100.0
2014,BSRVH2O,Araba/Álava,,,Percentage,Araba/Álava,100.0
2015,BSRVH2O,Araba/Álava,,,Percentage,Araba/Álava,100.0
2016,BSRVH2O,Araba/Álava,,,Percentage,Araba/Álava,100.0
2017,BSRVH2O,Araba/Álava,,,Percentage,Araba/Álava,100.0
2018,BSRVH2O,Araba/Álava,,,Percentage,Araba/Álava,100.0
2019,BSRVH2O,Araba/Álava,,,Percentage,Araba/Álava,100.0
2020,BSRVH2O,Araba/Álava,,,Percentage,Araba/Álava,100.0
2021,BSRVH2O,Araba/Álava,,,Percentage,Araba/Álava,100.0
2022,BSRVH2O,Araba/Álava,,,Percentage,Araba/Álava,100.0
2010,BSRVSAN,Araba/Álava,,,Percentage,Araba/Álava,99.6
2011,BSRVSAN,Araba/Álava,,,Percentage,Araba/Álava,99.7
2013,BSRVSAN,Araba/Álava,,,Percentage,Araba/Álava,99.7
2014,BSRVSAN,Araba/Álava,,,Percentage,Araba/Álava,99.7
2015,BSRVSAN,Araba/Álava,,,Percentage,Araba/Álava,99.7
2016,BSRVSAN,Araba/Álava,,,Percentage,Araba/Álava,99.7
2017,BSRVSAN,Araba/Álava,,,Percentage,Araba/Álava,99.7
2018,BSRVSAN,Araba/Álava,,,Percentage,Araba/Álava,99.7
2019,BSRVSAN,Araba/Álava,,,Percentage,Araba/Álava,99.7
2020,BSRVSAN,Araba/Álava,,,Percentage,Araba/Álava,99.8
2021,BSRVSAN,Araba/Álava,,,Percentage,Araba/Álava,99.8
2022,BSRVSAN,Araba/Álava,,,Percentage,Araba/Álava,99.8
2010,BSRVH2O,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.8
2011,BSRVH2O,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2013,BSRVH2O,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2014,BSRVH2O,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2015,BSRVH2O,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2016,BSRVH2O,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2017,BSRVH2O,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2018,BSRVH2O,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2019,BSRVH2O,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2020,BSRVH2O,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2021,BSRVH2O,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,100.0
2022,BSRVH2O,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.9
2010,BSRVSAN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.7
2011,BSRVSAN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.8
2013,BSRVSAN,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,99.8
