Year,Province,Units,Value
2010,Araba/Álava,Percentage,0.09
2011,Araba/Álava,Percentage,0.0
2012,Araba/Álava,Percentage,0.0
2013,Araba/Álava,Percentage,0.01
2014,Araba/Álava,Percentage,0.0
2015,Araba/Álava,Percentage,0.01
2016,Araba/Álava,Percentage,0.0
2017,Araba/Álava,Percentage,0.06
2018,Araba/Álava,Percentage,0.01
2019,Araba/Álava,Percentage,0.01
2020,Araba/Álava,Percentage,0.0
2021,Araba/Álava,Percentage,0.02
2022,Araba/Álava,Percentage,0.0
2010,Gipuzkoa,Percentage,0.04
2011,Gipuzkoa,Percentage,0.23
2012,Gipuzkoa,Percentage,0.0
2013,Gipuzkoa,Percentage,0.02
2014,Gipuzkoa,Percentage,0.06
2015,Gipuzkoa,Percentage,0.02
2016,Gipuzkoa,Percentage,0.01
2017,Gipuzkoa,Percentage,0.03
2018,Gipuzkoa,Percentage,0.0
2019,Gipuzkoa,Percentage,0.01
2020,Gipuzkoa,Percentage,0.01
2021,Gipuzkoa,Percentage,0.02
2022,Gipuzkoa,Percentage,0.0
2010,Bizkaia,Percentage,0.08
2011,Bizkaia,Percentage,0.04
2012,Bizkaia,Percentage,0.0
2013,Bizkaia,Percentage,0.01
2014,Bizkaia,Percentage,0.03
2015,Bizkaia,Percentage,0.02
2016,Bizkaia,Percentage,0.0
2017,Bizkaia,Percentage,0.01
2018,Bizkaia,Percentage,0.01
2019,Bizkaia,Percentage,0.01
2020,Bizkaia,Percentage,0.0
2021,Bizkaia,Percentage,0.02
2022,Bizkaia,Percentage,0.0
2010,,Percentage,0.07
2011,,Percentage,0.09
2012,,Percentage,0.0
2013,,Percentage,0.01
2014,,Percentage,0.03
2015,,Percentage,0.02
2016,,Percentage,0.01
2017,,Percentage,0.02
2018,,Percentage,0.01
2019,,Percentage,0.01
2020,,Percentage,0.0
2021,,Percentage,0.02
2022,,Percentage,0.0
