Year,Sex,Province,Units,Value
2018,,,PT,13.0
2023,,,PT,12.9
2012,,,PT,12.8
2013,,,PT,9.3
2020,,,PT,12.1
2019,,,PT,12.7
2014,,,PT,7.8
2015,,,PT,9.4
2022,,,PT,11.2
2016,,,PT,10.2
2017,,,PT,10.2
2021,,,PT,10.4
2018,,Araba/Álava,PT,8.6
2023,,Araba/Álava,PT,9.5
2016,,Araba/Álava,PT,6.1
2021,,Araba/Álava,PT,7.9
2017,,Araba/Álava,PT,6.0
2014,,Araba/Álava,PT,5.5
2012,,Araba/Álava,PT,9.4
2013,,Araba/Álava,PT,6.6
2020,,Araba/Álava,PT,8.1
2015,,Araba/Álava,PT,5.5
2022,,Araba/Álava,PT,7.7
2019,,Araba/Álava,PT,9.1
2021,,Bizkaia,PT,13.2
2023,,Bizkaia,PT,15.8
2022,,Bizkaia,PT,15.5
2016,,Bizkaia,PT,15.0
2017,,Bizkaia,PT,12.7
2014,,Bizkaia,PT,11.4
2019,,Bizkaia,PT,18.1
2015,,Bizkaia,PT,14.5
2012,,Bizkaia,PT,17.4
2018,,Bizkaia,PT,16.2
2020,,Bizkaia,PT,13.3
2013,,Bizkaia,PT,13.6
2023,,Gipuzkoa,PT,17.7
2016,,Gipuzkoa,PT,16.7
2021,,Gipuzkoa,PT,13.9
2022,,Gipuzkoa,PT,15.4
2015,,Gipuzkoa,PT,13.9
2014,,Gipuzkoa,PT,9.2
2020,,Gipuzkoa,PT,21.3
2013,,Gipuzkoa,PT,10.5
2018,,Gipuzkoa,PT,20.2
2012,,Gipuzkoa,PT,15.4
2019,,Gipuzkoa,PT,16.5
2017,,Gipuzkoa,PT,17.7
2019,F,,PT,9.3
2013,F,,PT,9.8
2023,F,,PT,6.7
2015,F,,PT,3.0
2014,F,,PT,4.4
2016,F,,PT,6.5
2022,F,,PT,8.1
2012,F,,PT,7.6
2018,F,,PT,8.9
2020,F,,PT,6.0
2017,F,,PT,7.5
2021,F,,PT,7.0
2012,F,Araba/Álava,PT,6.7
2016,F,Araba/Álava,PT,6.6
2013,F,Araba/Álava,PT,9.7
2022,F,Araba/Álava,PT,6.3
2021,F,Araba/Álava,PT,5.4
2020,F,Araba/Álava,PT,6.9
2018,F,Araba/Álava,PT,9.5
2017,F,Araba/Álava,PT,5.4
2014,F,Araba/Álava,PT,6.3
2023,F,Araba/Álava,PT,6.5
2015,F,Araba/Álava,PT,4.2
2019,F,Araba/Álava,PT,10.2
2014,F,Bizkaia,PT,0.0
2013,F,Bizkaia,PT,0.0
2012,F,Bizkaia,PT,0.0
2015,F,Bizkaia,PT,0.0
2023,F,Bizkaia,PT,0.0
2019,F,Bizkaia,PT,0.0
2021,F,Bizkaia,PT,0.0
2022,F,Bizkaia,PT,0.0
2020,F,Bizkaia,PT,0.0
2018,F,Bizkaia,PT,0.0
2017,F,Bizkaia,PT,0.0
2016,F,Bizkaia,PT,0.0
2023,F,Gipuzkoa,PT,12.5
2022,F,Gipuzkoa,PT,16.7
2020,F,Gipuzkoa,PT,9.5
2019,F,Gipuzkoa,PT,12.5
2018,F,Gipuzkoa,PT,11.1
2021,F,Gipuzkoa,PT,13.8
2017,F,Gipuzkoa,PT,17.2
2016,F,Gipuzkoa,PT,10.5
2015,F,Gipuzkoa,PT,0.0
2013,F,Gipuzkoa,PT,13.9
2012,F,Gipuzkoa,PT,13.8
2014,F,Gipuzkoa,PT,0.0
2012,M,,PT,13.3
2017,M,,PT,10.5
2022,M,,PT,11.5
2016,M,,PT,10.6
2015,M,,PT,10.1
2013,M,,PT,9.2
2019,M,,PT,13.1
2023,M,,PT,13.5
2014,M,,PT,8.3
2021,M,,PT,10.7
2020,M,,PT,12.8
2018,M,,PT,13.4
2013,M,Araba/Álava,PT,6.0
2018,M,Araba/Álava,PT,8.4
2023,M,Araba/Álava,PT,9.8
2021,M,Araba/Álava,PT,8.1
2014,M,Araba/Álava,PT,5.3
2022,M,Araba/Álava,PT,7.8
2016,M,Araba/Álava,PT,6.1
2020,M,Araba/Álava,PT,8.2
2017,M,Araba/Álava,PT,6.1
2012,M,Araba/Álava,PT,9.8
2015,M,Araba/Álava,PT,5.7
2019,M,Araba/Álava,PT,9.0
2018,M,Bizkaia,PT,16.8
2017,M,Bizkaia,PT,13.4
2016,M,Bizkaia,PT,15.7
2015,M,Bizkaia,PT,15.4
2014,M,Bizkaia,PT,11.9
2013,M,Bizkaia,PT,14.2
2012,M,Bizkaia,PT,18.1
2023,M,Bizkaia,PT,16.8
2022,M,Bizkaia,PT,16.1
2021,M,Bizkaia,PT,13.7
2020,M,Bizkaia,PT,14.3
2019,M,Bizkaia,PT,19.3
2018,M,Gipuzkoa,PT,21.1
2017,M,Gipuzkoa,PT,17.7
2016,M,Gipuzkoa,PT,17.2
2015,M,Gipuzkoa,PT,15.0
2014,M,Gipuzkoa,PT,10.2
2013,M,Gipuzkoa,PT,10.0
2012,M,Gipuzkoa,PT,15.6
2023,M,Gipuzkoa,PT,18.3
2022,M,Gipuzkoa,PT,15.3
2021,M,Gipuzkoa,PT,13.9
2020,M,Gipuzkoa,PT,22.2
2019,M,Gipuzkoa,PT,16.9
