Year,Ámbito,Units,Value
2015,01,Euros constantes,18898.2
2016,01,Euros constantes,17907.0
2017,01,Euros constantes,12241.1
2018,01,Euros constantes,14879.2
2019,01,Euros constantes,12267.3
2020,01,Euros constantes,7637.6
2021,01,Euros constantes,7234.3
2015,20,Euros constantes,4877.0
2016,20,Euros constantes,6939.4
2017,20,Euros constantes,6196.0
2018,20,Euros constantes,6386.2
2019,20,Euros constantes,5670.4
2020,20,Euros constantes,1816.6
2021,20,Euros constantes,2926.6
2015,48,Euros constantes,6274.2
2016,48,Euros constantes,7118.4
2017,48,Euros constantes,5406.1
2018,48,Euros constantes,7334.5
2019,48,Euros constantes,11525.0
2020,48,Euros constantes,7641.5
2021,48,Euros constantes,5118.8
2015,_T,Euros constantes,7680.2
2016,_T,Euros constantes,8479.1
2017,_T,Euros constantes,6744.6
2018,_T,Euros constantes,7612.6
2019,_T,Euros constantes,7899.9
2020,_T,Euros constantes,3757.6
2021,_T,Euros constantes,4033.8
