Year,Province,County,Municipality,Units,GeoCode,Value
2010,Araba/Álava,,,Percentage,Araba/Álava,0.66
2011,Araba/Álava,,,Percentage,Araba/Álava,0.74
2012,Araba/Álava,,,Percentage,Araba/Álava,1.12
2013,Araba/Álava,,,Percentage,Araba/Álava,1.21
2014,Araba/Álava,,,Percentage,Araba/Álava,1.15
2015,Araba/Álava,,,Percentage,Araba/Álava,1.12
2016,Araba/Álava,,,Percentage,Araba/Álava,1.22
2017,Araba/Álava,,,Percentage,Araba/Álava,1.85
2018,Araba/Álava,,,Percentage,Araba/Álava,1.92
2019,Araba/Álava,,,Percentage,Araba/Álava,2.26
2020,Araba/Álava,,,Percentage,Araba/Álava,3.16
2021,Araba/Álava,,,Percentage,Araba/Álava,3.28
2010,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.18
2011,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.18
2012,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.18
2013,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.45
2014,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.23
2015,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.23
2016,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.23
2017,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.24
2018,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.48
2019,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.92
2020,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.91
2021,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,0.91
2010,,,Amurrio,Percentage,Amurrio,0.86
2011,,,Amurrio,Percentage,Amurrio,0.9
2012,,,Amurrio,Percentage,Amurrio,0.99
2013,,,Amurrio,Percentage,Amurrio,1.03
2014,,,Amurrio,Percentage,Amurrio,0.94
2015,,,Amurrio,Percentage,Amurrio,0.95
2016,,,Amurrio,Percentage,Amurrio,1.1
2017,,,Amurrio,Percentage,Amurrio,1.2
2018,,,Amurrio,Percentage,Amurrio,1.21
2019,,,Amurrio,Percentage,Amurrio,1.42
2020,,,Amurrio,Percentage,Amurrio,1.49
2021,,,Amurrio,Percentage,Amurrio,1.56
2010,,,Aramaio,Percentage,Aramaio,0.66
