Year,Province,County,Municipality,Units,GeoCode,Value
2010,Araba/Álava,,,Percentage,Araba/Álava,1.1
2011,Araba/Álava,,,Percentage,Araba/Álava,1.0
2012,Araba/Álava,,,Percentage,Araba/Álava,1.1
2013,Araba/Álava,,,Percentage,Araba/Álava,1.0
2014,Araba/Álava,,,Percentage,Araba/Álava,1.4
2015,Araba/Álava,,,Percentage,Araba/Álava,1.5
2016,Araba/Álava,,,Percentage,Araba/Álava,1.5
2017,Araba/Álava,,,Percentage,Araba/Álava,1.5
2018,Araba/Álava,,,Percentage,Araba/Álava,1.6
2019,Araba/Álava,,,Percentage,Araba/Álava,1.4
2020,Araba/Álava,,,Percentage,Araba/Álava,1.2
2021,Araba/Álava,,,Percentage,Araba/Álava,1.4
2022,Araba/Álava,,,Percentage,Araba/Álava,1.4
2014,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,2.5
2015,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,3.6
2016,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,3.4
2017,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,4.1
2018,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,4.0
2019,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,3.5
2020,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,3.2
2014,,,Amurrio,Percentage,Amurrio,1.5
2015,,,Amurrio,Percentage,Amurrio,1.3
2016,,,Amurrio,Percentage,Amurrio,1.2
2017,,,Amurrio,Percentage,Amurrio,1.3
2018,,,Amurrio,Percentage,Amurrio,1.2
2019,,,Amurrio,Percentage,Amurrio,0.9
2020,,,Amurrio,Percentage,Amurrio,1.0
2014,,,Aramaio,Percentage,Aramaio,17.4
2015,,,Aramaio,Percentage,Aramaio,15.9
2016,,,Aramaio,Percentage,Aramaio,14.4
2017,,,Aramaio,Percentage,Aramaio,16.4
2018,,,Aramaio,Percentage,Aramaio,16.5
2019,,,Aramaio,Percentage,Aramaio,13.8
2020,,,Aramaio,Percentage,Aramaio,12.5
2014,,,Artziniega,Percentage,Artziniega,2.9
2015,,,Artziniega,Percentage,Artziniega,2.2
2016,,,Artziniega,Percentage,Artziniega,2.1
2017,,,Artziniega,Percentage,Artziniega,2.4
2018,,,Artziniega,Percentage,Artziniega,2.7
2019,,,Artziniega,Percentage,Artziniega,2.0
2020,,,Artziniega,Percentage,Artziniega,1.7
2014,,,Armiñón,Percentage,Armiñón,6.6
2015,,,Armiñón,Percentage,Armiñón,7.3
2016,,,Armiñón,Percentage,Armiñón,9.2
2017,,,Armiñón,Percentage,Armiñón,7.4
2018,,,Armiñón,Percentage,Armiñón,7.2
2019,,,Armiñón,Percentage,Armiñón,8.1
2020,,,Armiñón,Percentage,Armiñón,9.6
2014,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,10.7
2015,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,9.3
2016,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,9.0
2017,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,8.8
2018,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,7.5
2019,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,6.8
2020,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,6.4
2014,,,Asparrena,Percentage,Asparrena,3.5
2015,,,Asparrena,Percentage,Asparrena,3.1
2016,,,Asparrena,Percentage,Asparrena,2.4
2017,,,Asparrena,Percentage,Asparrena,1.7
2018,,,Asparrena,Percentage,Asparrena,1.5
