Year,Series,Sexo,Units,Value
2018,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.08
2020,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.05
2022,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.06
2012,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2019,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2010,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.09
2011,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.08
2016,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2014,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2017,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.06
2013,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2015,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2021,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.05
2013,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2018,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2015,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2017,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2020,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2016,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2019,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2012,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2022,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2010,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.04
2011,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.04
2021,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2014,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2016,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.12
2019,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.11
2021,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.09
2018,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.13
2014,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.11
2020,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.08
2015,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.11
2011,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.13
2010,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.14
2013,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.12
2017,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.1
2012,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.13
2022,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.09
