Year,Sex,Units,Value
2021,,"Per 100,000",0.6
2020,,"Per 100,000",0.4
2010,,"Per 100,000",1.6
2019,,"Per 100,000",0.2
2015,,"Per 100,000",0.7
2016,,"Per 100,000",0.5
2012,,"Per 100,000",0.9
2017,,"Per 100,000",0.9
2011,,"Per 100,000",1.1
2018,,"Per 100,000",0.6
2023,,"Per 100,000",0.1
2014,,"Per 100,000",1.1
2013,,"Per 100,000",1.1
2022,,"Per 100,000",0.5
2010,F,"Per 100,000",0.5
2011,F,"Per 100,000",0.2
2013,F,"Per 100,000",0.4
2014,F,"Per 100,000",0.4
2022,F,"Per 100,000",0.2
2015,F,"Per 100,000",0.3
2016,F,"Per 100,000",0.3
2018,F,"Per 100,000",0.3
2012,F,"Per 100,000",0.4
2019,F,"Per 100,000",0.2
2020,F,"Per 100,000",0.2
2021,F,"Per 100,000",0.1
2017,F,"Per 100,000",0.2
2023,F,"Per 100,000",0.0
2022,M,"Per 100,000",0.9
2023,M,"Per 100,000",0.2
2016,M,"Per 100,000",0.7
2017,M,"Per 100,000",1.7
2013,M,"Per 100,000",1.7
2011,M,"Per 100,000",2.0
2010,M,"Per 100,000",2.8
2018,M,"Per 100,000",1.0
2019,M,"Per 100,000",0.3
2014,M,"Per 100,000",1.9
2020,M,"Per 100,000",0.7
2021,M,"Per 100,000",1.1
2015,M,"Per 100,000",1.1
2012,M,"Per 100,000",1.4
