Year,Age,Sex,Province,Units,Value
2008,15 years and over,,,%,25.0
2018,15 years and over,,,%,16.7
2023,15 years and over,,,%,15.2
2013,15 years and over,,,%,21.3
2013,15 years and over,,Araba/Álava,%,21.0
2023,15 years and over,,Araba/Álava,%,16.3
2008,15 years and over,,Araba/Álava,%,22.9
2018,15 years and over,,Araba/Álava,%,12.9
2013,15 years and over,,Bizkaia,%,21.7
2018,15 years and over,,Bizkaia,%,17.6
2023,15 years and over,,Bizkaia,%,11.4
2008,15 years and over,,Bizkaia,%,25.9
2013,15 years and over,,Gipuzkoa,%,20.7
2023,15 years and over,,Gipuzkoa,%,17.3
2008,15 years and over,,Gipuzkoa,%,24.4
2018,15 years and over,,Gipuzkoa,%,16.9
2023,15 years and over,Female,,%,13.2
2008,15 years and over,Female,,%,21.1
2018,15 years and over,Female,,%,13.5
2013,15 years and over,Female,,%,18.1
2013,15 years and over,Female,Araba/Álava,%,19.2
2008,15 years and over,Female,Araba/Álava,%,19.9
2023,15 years and over,Female,Araba/Álava,%,16.0
2018,15 years and over,Female,Araba/Álava,%,11.0
2008,15 years and over,Female,Bizkaia,%,21.9
2013,15 years and over,Female,Bizkaia,%,17.7
2023,15 years and over,Female,Bizkaia,%,9.9
2018,15 years and over,Female,Bizkaia,%,14.1
2008,15 years and over,Female,Gipuzkoa,%,20.3
2018,15 years and over,Female,Gipuzkoa,%,13.7
2023,15 years and over,Female,Gipuzkoa,%,14.4
2013,15 years and over,Female,Gipuzkoa,%,18.2
2018,15 years and over,Male,,%,20.1
2008,15 years and over,Male,,%,29.1
2023,15 years and over,Male,,%,17.5
2013,15 years and over,Male,,%,24.7
2018,15 years and over,Male,Araba/Álava,%,14.8
2023,15 years and over,Male,Araba/Álava,%,16.7
2013,15 years and over,Male,Araba/Álava,%,22.8
2008,15 years and over,Male,Araba/Álava,%,26.1
2023,15 years and over,Male,Bizkaia,%,13.0
2013,15 years and over,Male,Bizkaia,%,26.0
2008,15 years and over,Male,Bizkaia,%,30.1
2018,15 years and over,Male,Bizkaia,%,21.5
2023,15 years and over,Male,Gipuzkoa,%,20.5
2008,15 years and over,Male,Gipuzkoa,%,28.7
2013,15 years and over,Male,Gipuzkoa,%,23.4
2018,15 years and over,Male,Gipuzkoa,%,20.2
