Year,Sex,Habilidad_IT,Edad,Province,Units,Value
2019,,ICTCPT,Y16T74,,Percentage,55.36
2019,,ICTPST,Y16T74,,Percentage,42.23
2019,,ICTSSHT,Y16T74,,Percentage,41.92
2019,,ICTPRGM,Y16T74,,Percentage,5.56
2019,,ICTTRFF,Y16T74,,Percentage,51.89
2019,,ICTSFWR,Y16T74,,Percentage,53.92
2019,,ICTPRVCY,Y16T74,,Percentage,15.99
2019,,,Y16T74,,Percentage,67.04
2019,,ICTCPT,Y16T74,Araba/Álava,Percentage,55.76
2019,,ICTPST,Y16T74,Araba/Álava,Percentage,41.77
2019,,ICTSSHT,Y16T74,Araba/Álava,Percentage,42.89
2019,,ICTPRGM,Y16T74,Araba/Álava,Percentage,5.27
2019,,ICTTRFF,Y16T74,Araba/Álava,Percentage,51.64
2019,,ICTSFWR,Y16T74,Araba/Álava,Percentage,54.49
2019,,ICTPRVCY,Y16T74,Araba/Álava,Percentage,16.17
2019,,,Y16T74,Araba/Álava,Percentage,68.53
2019,,ICTCPT,Y16T74,Gipuzkoa,Percentage,54.5
2019,,ICTPST,Y16T74,Gipuzkoa,Percentage,42.21
2019,,ICTSSHT,Y16T74,Gipuzkoa,Percentage,42.77
2019,,ICTPRGM,Y16T74,Gipuzkoa,Percentage,5.24
2019,,ICTTRFF,Y16T74,Gipuzkoa,Percentage,50.59
2019,,ICTSFWR,Y16T74,Gipuzkoa,Percentage,51.65
2019,,ICTPRVCY,Y16T74,Gipuzkoa,Percentage,14.73
2019,,,Y16T74,Gipuzkoa,Percentage,65.24
2019,,ICTCPT,Y16T74,Bizkaia,Percentage,55.79
2019,,ICTPST,Y16T74,Bizkaia,Percentage,42.38
2019,,ICTSSHT,Y16T74,Bizkaia,Percentage,41.11
2019,,ICTPRGM,Y16T74,Bizkaia,Percentage,5.83
2019,,ICTTRFF,Y16T74,Bizkaia,Percentage,52.78
2019,,ICTSFWR,Y16T74,Bizkaia,Percentage,55.18
2019,,ICTPRVCY,Y16T74,Bizkaia,Percentage,16.73
2019,,,Y16T74,Bizkaia,Percentage,67.74
2019,,ICTCPT,Y16T24,,Percentage,89.41
2019,,ICTPST,Y16T24,,Percentage,85.32
2019,,ICTSSHT,Y16T24,,Percentage,70.08
