Year,Edad,Sexo,Territorio,Units,Value
2016,10 años y más,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,0.7
2021,10 años y más,,Arraia-Maeztu,Porcentaje,0.0
2016,10 años y más,,Loiu,Porcentaje,0.1
2013,10 años y más,,Larraul,Porcentaje,0.0
2021,10 años y más,,Altzo,Porcentaje,0.3
2018,10 años y más,,Zizurkil,Porcentaje,0.6
2020,10 años y más,,Bidania-Goiatz,Porcentaje,0.2
2010,10 años y más,,Campezo/Kanpezu,Porcentaje,0.2
2016,10 años y más,,Leintz-Gatzaga,Porcentaje,0.9
2014,10 años y más,,Arrankudiaga-Zollo,Porcentaje,0.0
2013,10 años y más,,Soraluze-Placencia de las Armas,Porcentaje,0.6
2010,10 años y más,,Gabiria,Porcentaje,0.5
2010,10 años y más,,Elantxobe,Porcentaje,0.0
2016,10 años y más,,Trucios-Turtzioz,Porcentaje,1.4
2021,10 años y más,,Orexa,Porcentaje,0.0
2016,10 años y más,,Olaberria,Porcentaje,0.1
2019,10 años y más,,Gorbeialdea / Estribaciones del Gorbea,Porcentaje,0.1
2021,10 años y más,,Bedia,Porcentaje,0.4
2013,10 años y más,,Moreda de Álava/Moreda Araba,Porcentaje,0.0
2013,10 años y más,,Erandio,Porcentaje,0.5
2021,10 años y más,,Abaltzisketa,Porcentaje,0.0
2016,10 años y más,,Errenteria,Porcentaje,0.8
2010,10 años y más,,,Porcentaje,0.5
2014,10 años y más,,Zaldibia,Porcentaje,0.4
2016,10 años y más,,Armiñón,Porcentaje,0.0
2015,10 años y más,,Lagrán,Porcentaje,0.0
2018,10 años y más,,Berantevilla,Porcentaje,0.0
2016,10 años y más,,Ikaztegieta,Porcentaje,0.7
2020,10 años y más,,Mundaka,Porcentaje,0.1
2013,10 años y más,,Bidasoa Beherea / Bajo Bidasoa,Porcentaje,0.5
2015,10 años y más,,Ea,Porcentaje,0.1
2018,10 años y más,,Zeanuri,Porcentaje,0.1
2021,10 años y más,,Sopuerta,Porcentaje,0.5
2010,10 años y más,,Berriatua,Porcentaje,0.6
2016,10 años y más,,Lezama,Porcentaje,0.2
2014,10 años y más,,Plentzia,Porcentaje,0.1
2021,10 años y más,,Aduna,Porcentaje,0.0
2014,10 años y más,,Mutriku,Porcentaje,0.4
2016,10 años y más,,Oyón-Oion,Porcentaje,0.6
2014,10 años y más,,Bermeo,Porcentaje,0.4
2016,10 años y más,,Arabako Kantaurialdea / Cantábrica Alavesa,Porcentaje,0.4
2014,10 años y más,,Arakaldo,Porcentaje,0.0
2020,10 años y más,,Lantarón,Porcentaje,0.0
2020,10 años y más,,Amorebieta-Etxano,Porcentaje,0.4
2010,10 años y más,,Ugao-Miraballes,Porcentaje,0.6
2020,10 años y más,,Amezketa,Porcentaje,0.1
2013,10 años y más,,Urola Kosta,Porcentaje,0.4
2013,10 años y más,,Legorreta,Porcentaje,1.2
2020,10 años y más,,Artea,Porcentaje,0.0
2015,10 años y más,,Zumarraga,Porcentaje,0.6
2020,10 años y más,,Zumarraga,Porcentaje,0.5
2020,10 años y más,,Zegama,Porcentaje,0.2
2010,10 años y más,,Hondarribia,Porcentaje,0.5
2021,10 años y más,,Hernialde,Porcentaje,0.7
2013,10 años y más,,Bergara,Porcentaje,0.5
2020,10 años y más,,Alegría-Dulantzi,Porcentaje,0.1
2014,10 años y más,,Hernialde,Porcentaje,0.6
2010,10 años y más,,Ispaster,Porcentaje,0.0
2016,10 años y más,,Yécora/Iekora,Porcentaje,0.4
2021,10 años y más,,Lanciego/Lantziego,Porcentaje,0.2
2013,10 años y más,,Ajangiz,Porcentaje,0.0
2015,10 años y más,,Ugao-Miraballes,Porcentaje,0.5
2021,10 años y más,,Irun,Porcentaje,0.3
2020,10 años y más,,Harana/Valle de Arana,Porcentaje,0.0
2010,10 años y más,,Lezo,Porcentaje,0.5
2021,10 años y más,,Mutiloa,Porcentaje,0.5
2018,10 años y más,,Ugao-Miraballes,Porcentaje,0.3
2018,10 años y más,,Elduain,Porcentaje,0.0
2019,10 años y más,,Garai,Porcentaje,0.0
2010,10 años y más,,Ormaiztegi,Porcentaje,0.3
2015,10 años y más,,Barrundia,Porcentaje,0.0
2021,10 años y más,,Sopela,Porcentaje,0.1
2013,10 años y más,,Berriatua,Porcentaje,0.6
2020,10 años y más,,Getxo,Porcentaje,0.1
2020,10 años y más,,Soraluze-Placencia de las Armas,Porcentaje,0.4
2020,10 años y más,,Valle de Trápaga-Trapagaran,Porcentaje,0.4
2015,10 años y más,,Olaberria,Porcentaje,0.1
2018,10 años y más,,Villabona,Porcentaje,0.5
2019,10 años y más,,Arrigorriaga,Porcentaje,0.3
2018,10 años y más,,Leza,Porcentaje,0.0
2013,10 años y más,,Ugao-Miraballes,Porcentaje,0.5
2019,10 años y más,,Ataun,Porcentaje,0.1
2015,10 años y más,,Aduna,Porcentaje,0.0
2021,10 años y más,,Peñacerrada-Urizaharra,Porcentaje,0.3
2019,10 años y más,,Legorreta,Porcentaje,0.9
2010,10 años y más,,Elburgo/Burgelu,Porcentaje,0.0
2018,10 años y más,,Santurtzi,Porcentaje,0.5
2016,10 años y más,,Artziniega,Porcentaje,0.1
2016,10 años y más,,Mañaria,Porcentaje,0.2
2018,10 años y más,,Ribera Baja/Erriberabeitia,Porcentaje,0.5
2013,10 años y más,,Mungia,Porcentaje,0.2
2013,10 años y más,,Munitibar-Arbatzegi Gerrikaitz,Porcentaje,0.2
2019,10 años y más,,,Porcentaje,0.3
2013,10 años y más,,Alegría-Dulantzi,Porcentaje,0.1
2010,10 años y más,,Usurbil,Porcentaje,0.5
2021,10 años y más,,Muskiz,Porcentaje,0.3
2019,10 años y más,,Altzaga,Porcentaje,0.0
2020,10 años y más,,Basauri,Porcentaje,0.4
2016,10 años y más,,Lizartza,Porcentaje,0.4
2015,10 años y más,,Muxika,Porcentaje,0.2
2020,10 años y más,,Artzentales,Porcentaje,1.0
2014,10 años y más,,Artzentales,Porcentaje,1.5
2020,10 años y más,,Legazpi,Porcentaje,0.3
2010,10 años y más,,Arrankudiaga-Zollo,Porcentaje,0.1
2016,10 años y más,,Mutriku,Porcentaje,0.4
2019,10 años y más,,Arratia Nerbioi / Arratia-Nervión,Porcentaje,0.3
2016,10 años y más,,Zaldibia,Porcentaje,0.3
2021,10 años y más,,Etxebarria,Porcentaje,0.5
2010,10 años y más,,Moreda de Álava/Moreda Araba,Porcentaje,0.0
2021,10 años y más,,Sukarrieta,Porcentaje,0.3
2015,10 años y más,,Leaburu,Porcentaje,0.0
2021,10 años y más,,Agurain/Salvatierra,Porcentaje,0.5
2018,10 años y más,,Baños de Ebro/Mañueta,Porcentaje,0.3
2016,10 años y más,,Zaldibar,Porcentaje,0.4
2018,10 años y más,,Lezama,Porcentaje,0.1
2021,10 años y más,,Gordexola,Porcentaje,0.3
2013,10 años y más,,Lazkao,Porcentaje,0.9
2010,10 años y más,,Arabako Kantaurialdea / Cantábrica Alavesa,Porcentaje,0.5
2013,10 años y más,,Sopuerta,Porcentaje,0.6
2021,10 años y más,,Berango,Porcentaje,0.2
2015,10 años y más,,Yécora/Iekora,Porcentaje,0.4
2019,10 años y más,,Yécora/Iekora,Porcentaje,0.0
2019,10 años y más,,Lagrán,Porcentaje,0.0
2019,10 años y más,,Alkiza,Porcentaje,0.0
2020,10 años y más,,Larraul,Porcentaje,0.0
2014,10 años y más,,Izurtza,Porcentaje,0.4
2016,10 años y más,,Laguardia,Porcentaje,0.1
2015,10 años y más,,Maruri-Jatabe,Porcentaje,0.1
2015,10 años y más,,Galdames,Porcentaje,0.1
2020,10 años y más,,Galdakao,Porcentaje,0.3
2013,10 años y más,,Laukiz,Porcentaje,0.1
2015,10 años y más,,Plentzia,Porcentaje,0.2
2019,10 años y más,,Laukiz,Porcentaje,0.1
2018,10 años y más,,Zalduondo,Porcentaje,0.0
2013,10 años y más,,Derio,Porcentaje,0.3
2013,10 años y más,,Lemoa,Porcentaje,0.9
2019,10 años y más,,Harana/Valle de Arana,Porcentaje,0.0
2015,10 años y más,,Zierbena,Porcentaje,0.1
2013,10 años y más,,Etxebarri,Porcentaje,0.7
2015,10 años y más,,Urnieta,Porcentaje,0.5
2010,10 años y más,,Gaintza,Porcentaje,0.0
2021,10 años y más,,Trucios-Turtzioz,Porcentaje,1.9
2021,10 años y más,,Zeberio,Porcentaje,0.2
2018,10 años y más,,Urduliz,Porcentaje,0.1
2019,10 años y más,,Ubide,Porcentaje,0.0
2013,10 años y más,,Debagoiena / Alto Deba,Porcentaje,0.5
2010,10 años y más,,Trucios-Turtzioz,Porcentaje,1.4
2018,10 años y más,,Bilbao,Porcentaje,0.3
2018,10 años y más,,Orio,Porcentaje,0.1
2018,10 años y más,,Murueta,Porcentaje,0.0
2013,10 años y más,,Orexa,Porcentaje,0.0
2021,10 años y más,,Barrundia,Porcentaje,0.1
2018,10 años y más,,Ortuella,Porcentaje,0.7
2021,10 años y más,,Gernika-Bermeo,Porcentaje,0.2
2016,10 años y más,,Alkiza,Porcentaje,0.0
2018,10 años y más,,Hernialde,Porcentaje,0.7
2021,10 años y más,,Mendexa,Porcentaje,0.0
2010,10 años y más,,Urola Kosta,Porcentaje,0.4
2018,10 años y más,,Igorre,Porcentaje,0.3
2013,10 años y más,,Idiazabal,Porcentaje,0.5
2015,10 años y más,,Zegama,Porcentaje,0.2
2015,10 años y más,,Lapuebla de Labarca,Porcentaje,0.3
2019,10 años y más,,Soraluze-Placencia de las Armas,Porcentaje,0.3
2013,10 años y más,,Asparrena,Porcentaje,0.7
2013,10 años y más,,Urretxu,Porcentaje,0.3
2010,10 años y más,,Ermua,Porcentaje,0.9
2010,10 años y más,,Zaldibia,Porcentaje,0.5
2013,10 años y más,,Labastida/Bastida,Porcentaje,0.5
2019,10 años y más,,Asteasu,Porcentaje,0.4
2013,10 años y más,,Donostia / San Sebastián,Porcentaje,0.2
2015,10 años y más,,Añana (comarca),Porcentaje,0.2
2010,10 años y más,,Elduain,Porcentaje,0.0
2020,10 años y más,,Errenteria,Porcentaje,0.6
2013,10 años y más,,Mutriku,Porcentaje,0.4
2014,10 años y más,,Azkoitia,Porcentaje,0.7
2020,10 años y más,,Munitibar-Arbatzegi Gerrikaitz,Porcentaje,0.2
2010,10 años y más,,Altzaga,Porcentaje,0.0
2016,10 años y más,,Goierri,Porcentaje,0.5
2015,10 años y más,,,Porcentaje,0.4
2019,10 años y más,,Muskiz,Porcentaje,0.4
2018,10 años y más,,Aulesti,Porcentaje,0.0
2020,10 años y más,,Lizartza,Porcentaje,0.2
2016,10 años y más,,Plentzia-Mungia,Porcentaje,0.2
2021,10 años y más,,Areatza,Porcentaje,0.3
2014,10 años y más,,Ribera Baja/Erriberabeitia,Porcentaje,0.2
2019,10 años y más,,Aramaio,Porcentaje,0.1
2014,10 años y más,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,1.0
2019,10 años y más,,Errenteria,Porcentaje,0.6
2013,10 años y más,,Armiñón,Porcentaje,0.0
2014,10 años y más,,Arantzazu,Porcentaje,0.0
2018,10 años y más,,Sondika,Porcentaje,0.2
2014,10 años y más,,Erandio,Porcentaje,0.5
2019,10 años y más,,Güeñes,Porcentaje,0.4
2018,10 años y más,,Alegría-Dulantzi,Porcentaje,0.2
2019,10 años y más,,Arrieta,Porcentaje,0.0
2019,10 años y más,,Erandio,Porcentaje,0.4
2013,10 años y más,,Arakaldo,Porcentaje,0.0
2016,10 años y más,,Ibarrangelu,Porcentaje,0.3
2021,10 años y más,,Abadiño,Porcentaje,0.3
2018,10 años y más,,Arrasate/Mondragón,Porcentaje,0.4
2021,10 años y más,,Güeñes,Porcentaje,0.3
2015,10 años y más,,Zerain,Porcentaje,0.0
2010,10 años y más,,Samaniego,Porcentaje,0.3
2010,10 años y más,,Ayala/Aiara,Porcentaje,0.1
2016,10 años y más,,Orendain,Porcentaje,0.0
2021,10 años y más,,Azpeitia,Porcentaje,0.3
2015,10 años y más,,Bilbo Handia / Gran Bilbao,Porcentaje,0.5
2016,10 años y más,,Astigarraga,Porcentaje,0.3
2020,10 años y más,,Zamudio,Porcentaje,0.3
2013,10 años y más,,Artea,Porcentaje,0.3
2013,10 años y más,,Arrasate/Mondragón,Porcentaje,0.6
2021,10 años y más,,Aia,Porcentaje,0.2
2014,10 años y más,,Zeanuri,Porcentaje,0.3
2018,10 años y más,,Arrankudiaga-Zollo,Porcentaje,0.0
2010,10 años y más,,Aduna,Porcentaje,0.0
2013,10 años y más,,Orozko,Porcentaje,0.6
2021,10 años y más,,Amurrio,Porcentaje,0.3
2021,10 años y más,,Etxebarri,Porcentaje,0.3
