Year,Series,Units,Value
2019,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos,Porcentaje,100.0
2020,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos,Porcentaje,100.0
2021,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos,Porcentaje,100.0
2017,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos,Porcentaje,100.0
2018,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos,Porcentaje,100.0
2016,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos,Porcentaje,100.0
2022,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos,Porcentaje,100.0
2019,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC),Porcentaje,82.1
2017,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC),Porcentaje,84.0
2016,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC),Porcentaje,82.6
2021,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC),Porcentaje,81.3
2022,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC),Porcentaje,76.1
2020,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC),Porcentaje,81.3
2018,Población en zonas de abastecimiento que notifican al Sistema de Información Nacional de Agua de Consumo (SINAC),Porcentaje,81.9
