Year,Sexo,Units,Value
2018,,Porcentaje,17.7
2014,,Porcentaje,18.5
2012,,Porcentaje,15.4
2022,,Porcentaje,16.5
2008,,Porcentaje,14.8
2016,,Porcentaje,16.4
2020,,Porcentaje,17.8
2008,Mujer,Porcentaje,16.6
2012,Mujer,Porcentaje,16.9
2014,Mujer,Porcentaje,18.4
2016,Mujer,Porcentaje,16.8
2020,Mujer,Porcentaje,18.0
2018,Mujer,Porcentaje,18.4
2022,Mujer,Porcentaje,16.5
2022,Hombre,Porcentaje,14.3
2016,Hombre,Porcentaje,14.1
2012,Hombre,Porcentaje,13.6
2008,Hombre,Porcentaje,11.7
2018,Hombre,Porcentaje,14.6
2020,Hombre,Porcentaje,15.0
2014,Hombre,Porcentaje,16.0
