Year,Series,Sexo,Territorio,Units,Value
2023,EU_COV_UNEMPLOY,,,Porcentaje,66.4
2018,EU_COV_UNEMPLOY,,,Porcentaje,46.7
2017,EU_COV_UNEMPLOY,,,Porcentaje,45.7
2020,EU_COV_UNEMPLOY,,,Porcentaje,92.6
2022,EU_COV_UNEMPLOY,,,Porcentaje,61.3
2021,EU_COV_UNEMPLOY,,,Porcentaje,59.1
2019,EU_COV_UNEMPLOY,,,Porcentaje,53.5
2023,EU_COV_UNEMPLOY,,Araba/Álava,Porcentaje,69.0
2017,EU_COV_UNEMPLOY,,Araba/Álava,Porcentaje,46.0
2019,EU_COV_UNEMPLOY,,Araba/Álava,Porcentaje,50.5
2021,EU_COV_UNEMPLOY,,Araba/Álava,Porcentaje,56.7
2020,EU_COV_UNEMPLOY,,Araba/Álava,Porcentaje,92.4
2022,EU_COV_UNEMPLOY,,Araba/Álava,Porcentaje,57.0
2018,EU_COV_UNEMPLOY,,Araba/Álava,Porcentaje,44.4
2021,EU_COV_UNEMPLOY,,Bizkaia,Porcentaje,56.4
2019,EU_COV_UNEMPLOY,,Bizkaia,Porcentaje,49.7
2020,EU_COV_UNEMPLOY,,Bizkaia,Porcentaje,84.7
2022,EU_COV_UNEMPLOY,,Bizkaia,Porcentaje,61.2
2017,EU_COV_UNEMPLOY,,Bizkaia,Porcentaje,42.8
2018,EU_COV_UNEMPLOY,,Bizkaia,Porcentaje,43.3
2023,EU_COV_UNEMPLOY,,Bizkaia,Porcentaje,64.7
2020,EU_COV_UNEMPLOY,,Gipuzkoa,Porcentaje,111.2
2021,EU_COV_UNEMPLOY,,Gipuzkoa,Porcentaje,66.8
2022,EU_COV_UNEMPLOY,,Gipuzkoa,Porcentaje,64.6
2019,EU_COV_UNEMPLOY,,Gipuzkoa,Porcentaje,65.0
2023,EU_COV_UNEMPLOY,,Gipuzkoa,Porcentaje,68.7
2018,EU_COV_UNEMPLOY,,Gipuzkoa,Porcentaje,56.4
2017,EU_COV_UNEMPLOY,,Gipuzkoa,Porcentaje,52.1
2019,EU_COV_UNEMPLOY,Mujer,,Porcentaje,56.4
2022,EU_COV_UNEMPLOY,Mujer,,Porcentaje,65.1
2020,EU_COV_UNEMPLOY,Mujer,,Porcentaje,101.6
2017,EU_COV_UNEMPLOY,Mujer,,Porcentaje,48.6
2023,EU_COV_UNEMPLOY,Mujer,,Porcentaje,74.9
2021,EU_COV_UNEMPLOY,Mujer,,Porcentaje,65.8
2018,EU_COV_UNEMPLOY,Mujer,,Porcentaje,49.9
2018,EU_COV_UNEMPLOY,Mujer,Araba/Álava,Porcentaje,47.0
2022,EU_COV_UNEMPLOY,Mujer,Araba/Álava,Porcentaje,68.1
2020,EU_COV_UNEMPLOY,Mujer,Araba/Álava,Porcentaje,78.6
2019,EU_COV_UNEMPLOY,Mujer,Araba/Álava,Porcentaje,53.4
2021,EU_COV_UNEMPLOY,Mujer,Araba/Álava,Porcentaje,57.8
2017,EU_COV_UNEMPLOY,Mujer,Araba/Álava,Porcentaje,45.6
2023,EU_COV_UNEMPLOY,Mujer,Araba/Álava,Porcentaje,90.7
2017,EU_COV_UNEMPLOY,Mujer,Bizkaia,Porcentaje,45.5
2019,EU_COV_UNEMPLOY,Mujer,Bizkaia,Porcentaje,50.3
2023,EU_COV_UNEMPLOY,Mujer,Bizkaia,Porcentaje,69.2
2022,EU_COV_UNEMPLOY,Mujer,Bizkaia,Porcentaje,60.7
2018,EU_COV_UNEMPLOY,Mujer,Bizkaia,Porcentaje,45.6
2021,EU_COV_UNEMPLOY,Mujer,Bizkaia,Porcentaje,64.0
2020,EU_COV_UNEMPLOY,Mujer,Bizkaia,Porcentaje,102.1
2023,EU_COV_UNEMPLOY,Mujer,Gipuzkoa,Porcentaje,78.7
2019,EU_COV_UNEMPLOY,Mujer,Gipuzkoa,Porcentaje,74.5
2022,EU_COV_UNEMPLOY,Mujer,Gipuzkoa,Porcentaje,72.5
2021,EU_COV_UNEMPLOY,Mujer,Gipuzkoa,Porcentaje,74.9
2017,EU_COV_UNEMPLOY,Mujer,Gipuzkoa,Porcentaje,57.2
2020,EU_COV_UNEMPLOY,Mujer,Gipuzkoa,Porcentaje,118.0
2018,EU_COV_UNEMPLOY,Mujer,Gipuzkoa,Porcentaje,61.8
2020,EU_COV_UNEMPLOY,Hombre,,Porcentaje,84.7
2023,EU_COV_UNEMPLOY,Hombre,,Porcentaje,58.4
2017,EU_COV_UNEMPLOY,Hombre,,Porcentaje,42.8
2019,EU_COV_UNEMPLOY,Hombre,,Porcentaje,50.3
2018,EU_COV_UNEMPLOY,Hombre,,Porcentaje,43.4
2022,EU_COV_UNEMPLOY,Hombre,,Porcentaje,57.5
2021,EU_COV_UNEMPLOY,Hombre,,Porcentaje,53.1
2017,EU_COV_UNEMPLOY,Hombre,Araba/Álava,Porcentaje,46.6
2023,EU_COV_UNEMPLOY,Hombre,Araba/Álava,Porcentaje,51.6
2019,EU_COV_UNEMPLOY,Hombre,Araba/Álava,Porcentaje,47.4
2020,EU_COV_UNEMPLOY,Hombre,Araba/Álava,Porcentaje,113.6
2021,EU_COV_UNEMPLOY,Hombre,Araba/Álava,Porcentaje,54.7
2018,EU_COV_UNEMPLOY,Hombre,Araba/Álava,Porcentaje,41.5
