Year,Province,County,Municipality,Unidad,GeoCode,Value
2010,Araba/Álava,,,"Per 1,000 people",Araba/Álava,9.4
2011,Araba/Álava,,,"Per 1,000 people",Araba/Álava,7.3
2012,Araba/Álava,,,"Per 1,000 people",Araba/Álava,7.1
2013,Araba/Álava,,,"Per 1,000 people",Araba/Álava,5.6
2014,Araba/Álava,,,"Per 1,000 people",Araba/Álava,3.9
2015,Araba/Álava,,,"Per 1,000 people",Araba/Álava,1.5
2016,Araba/Álava,,,"Per 1,000 people",Araba/Álava,1.3
2017,Araba/Álava,,,"Per 1,000 people",Araba/Álava,1.3
2018,Araba/Álava,,,"Per 1,000 people",Araba/Álava,1.2
2019,Araba/Álava,,,"Per 1,000 people",Araba/Álava,0.4
2020,Araba/Álava,,,"Per 1,000 people",Araba/Álava,0.5
2021,Araba/Álava,,,"Per 1,000 people",Araba/Álava,0.3
2022,Araba/Álava,,,"Per 1,000 people",Araba/Álava,0.7
2010,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2011,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2012,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2013,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2014,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2015,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2016,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2017,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2018,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2019,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2020,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2021,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2022,,,Alegría-Dulantzi,"Per 1,000 people",Alegría-Dulantzi,0.0
2010,,,Amurrio,"Per 1,000 people",Amurrio,5.0
2011,,,Amurrio,"Per 1,000 people",Amurrio,5.0
2012,,,Amurrio,"Per 1,000 people",Amurrio,5.0
2013,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2014,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2015,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2016,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2017,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2018,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2019,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2020,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2021,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2022,,,Amurrio,"Per 1,000 people",Amurrio,0.0
2010,,,Aramaio,"Per 1,000 people",Aramaio,0.0
2011,,,Aramaio,"Per 1,000 people",Aramaio,0.0
2012,,,Aramaio,"Per 1,000 people",Aramaio,0.0
2013,,,Aramaio,"Per 1,000 people",Aramaio,0.0
2014,,,Aramaio,"Per 1,000 people",Aramaio,0.0
2015,,,Aramaio,"Per 1,000 people",Aramaio,0.0
2016,,,Aramaio,"Per 1,000 people",Aramaio,0.0
2017,,,Aramaio,"Per 1,000 people",Aramaio,0.0
