Year,Series,Territorio,Units,Value
2023,EU_EXP_RGI,,Euros,467682908
2023,EU_EXP_AES,,Euros,50169917
2020,EU_EXP_AES,,Euros,44411720
2021,EU_EXP_AES,,Euros,46360702
2020,EU_EXP_RGI,,Euros,449871226
2019,EU_EXP_RGI,,Euros,422486653
2021,EU_EXP_RGI,,Euros,426611598
2022,EU_EXP_RGI,,Euros,379621576
2022,EU_EXP_AES,,Euros,48425937
2020,EU_EXP_AES,Araba/Álava,Euros,8512672
2020,EU_EXP_RGI,Araba/Álava,Euros,75592140
2023,EU_EXP_AES,Araba/Álava,Euros,9479475
2023,EU_EXP_RGI,Araba/Álava,Euros,88337483
2021,EU_EXP_RGI,Araba/Álava,Euros,77158266
2019,EU_EXP_RGI,Araba/Álava,Euros,69038464
2021,EU_EXP_AES,Araba/Álava,Euros,9141231
2022,EU_EXP_AES,Araba/Álava,Euros,8383685
2022,EU_EXP_RGI,Araba/Álava,Euros,69717518
2020,EU_EXP_AES,Bizkaia,Euros,23306648
2023,EU_EXP_RGI,Bizkaia,Euros,272838253
2022,EU_EXP_AES,Bizkaia,Euros,26243999
2019,EU_EXP_RGI,Bizkaia,Euros,257869704
2021,EU_EXP_RGI,Bizkaia,Euros,251246189
2022,EU_EXP_RGI,Bizkaia,Euros,224539586
2020,EU_EXP_RGI,Bizkaia,Euros,270461291
2021,EU_EXP_AES,Bizkaia,Euros,24422424
2023,EU_EXP_AES,Bizkaia,Euros,26586648
2020,EU_EXP_AES,Gipuzkoa,Euros,12592399
2023,EU_EXP_RGI,Gipuzkoa,Euros,106507172
2023,EU_EXP_AES,Gipuzkoa,Euros,14103793
2022,EU_EXP_RGI,Gipuzkoa,Euros,85364472
2021,EU_EXP_RGI,Gipuzkoa,Euros,98207143
2021,EU_EXP_AES,Gipuzkoa,Euros,12797047
2020,EU_EXP_RGI,Gipuzkoa,Euros,103817795
2019,EU_EXP_RGI,Gipuzkoa,Euros,95578485
2022,EU_EXP_AES,Gipuzkoa,Euros,13798253
