Year,Series,Units,Value
2000,EU_INDQTHSNG_HUMID,Porcentaje,8.9
2004,EU_INDQTHSNG_HUMID,Porcentaje,9.6
2008,EU_INDQTHSNG_HUMID,Porcentaje,7.7
2012,EU_INDQTHSNG_HUMID,Porcentaje,8.8
2014,EU_INDQTHSNG_HUMID,Porcentaje,11.8
2016,EU_INDQTHSNG_HUMID,Porcentaje,12.3
2018,EU_INDQTHSNG_HUMID,Porcentaje,14.2
2020,EU_INDQTHSNG_HUMID,Porcentaje,10.5
2022,EU_INDQTHSNG_HUMID,Porcentaje,12.4
2000,EU_INDQTHSNG_TOILET,Porcentaje,0.3
2004,EU_INDQTHSNG_TOILET,Porcentaje,0.9
2008,EU_INDQTHSNG_TOILET,Porcentaje,0.4
2012,EU_INDQTHSNG_TOILET,Porcentaje,0.0
2014,EU_INDQTHSNG_TOILET,Porcentaje,0.0
2016,EU_INDQTHSNG_TOILET,Porcentaje,0.0
2018,EU_INDQTHSNG_TOILET,Porcentaje,0.0
2020,EU_INDQTHSNG_TOILET,Porcentaje,0.0
2022,EU_INDQTHSNG_TOILET,Porcentaje,0.0
2000,EU_INDQTHSNG_OVERCROWD,Porcentaje,28.5
2004,EU_INDQTHSNG_OVERCROWD,Porcentaje,21.3
2008,EU_INDQTHSNG_OVERCROWD,Porcentaje,15.0
2012,EU_INDQTHSNG_OVERCROWD,Porcentaje,14.9
2014,EU_INDQTHSNG_OVERCROWD,Porcentaje,13.3
2016,EU_INDQTHSNG_OVERCROWD,Porcentaje,12.7
2018,EU_INDQTHSNG_OVERCROWD,Porcentaje,13.1
2020,EU_INDQTHSNG_OVERCROWD,Porcentaje,16.4
2022,EU_INDQTHSNG_OVERCROWD,Porcentaje,13.3
2000,EU_INDQTHSNG_NOISE,Porcentaje,20.2
2004,EU_INDQTHSNG_NOISE,Porcentaje,16.0
2008,EU_INDQTHSNG_NOISE,Porcentaje,11.0
2012,EU_INDQTHSNG_NOISE,Porcentaje,13.9
2014,EU_INDQTHSNG_NOISE,Porcentaje,8.5
2016,EU_INDQTHSNG_NOISE,Porcentaje,9.2
2018,EU_INDQTHSNG_NOISE,Porcentaje,9.2
2020,EU_INDQTHSNG_NOISE,Porcentaje,8.9
2022,EU_INDQTHSNG_NOISE,Porcentaje,8.0
2004,EU_INDQTHSNG_LIGHT,Porcentaje,8.8
2008,EU_INDQTHSNG_LIGHT,Porcentaje,5.7
2012,EU_INDQTHSNG_LIGHT,Porcentaje,12.2
2014,EU_INDQTHSNG_LIGHT,Porcentaje,3.3
2016,EU_INDQTHSNG_LIGHT,Porcentaje,5.4
2018,EU_INDQTHSNG_LIGHT,Porcentaje,4.0
2020,EU_INDQTHSNG_LIGHT,Porcentaje,3.3
2022,EU_INDQTHSNG_LIGHT,Porcentaje,3.1
