Year,Institución,Territorio,Units,Value
2014,Sector público (total),,Ratio,1.16
2016,Sector público (total),,Ratio,1.17
2022,Sector público (total),,Ratio,1.23
2018,Sector público (total),,Ratio,1.16
2011,Sector público (total),,Ratio,1.12
2020,Sector público (total),,Ratio,1.22
2013,Sector público (total),,Ratio,1.15
2017,Sector público (total),,Ratio,1.19
2021,Sector público (total),,Ratio,1.23
2023,Sector público (total),,Ratio,1.29
2012,Sector público (total),,Ratio,1.14
2010,Sector público (total),,Ratio,1.13
2019,Sector público (total),,Ratio,1.21
2015,Sector público (total),,Ratio,1.16
2016,Sector público (total),Araba/Álava,Ratio,1.21
2017,Sector público (total),Araba/Álava,Ratio,1.22
2014,Sector público (total),Araba/Álava,Ratio,1.2
2018,Sector público (total),Araba/Álava,Ratio,1.22
2023,Sector público (total),Araba/Álava,Ratio,1.28
2022,Sector público (total),Araba/Álava,Ratio,1.27
2019,Sector público (total),Araba/Álava,Ratio,1.24
2021,Sector público (total),Araba/Álava,Ratio,1.25
2020,Sector público (total),Araba/Álava,Ratio,1.24
2011,Sector público (total),Araba/Álava,Ratio,1.16
2010,Sector público (total),Araba/Álava,Ratio,1.16
2013,Sector público (total),Araba/Álava,Ratio,1.19
2012,Sector público (total),Araba/Álava,Ratio,1.18
2015,Sector público (total),Araba/Álava,Ratio,1.2
2018,Sector público (total),Bizkaia,Ratio,1.12
2017,Sector público (total),Bizkaia,Ratio,1.17
2015,Sector público (total),Bizkaia,Ratio,1.14
2019,Sector público (total),Bizkaia,Ratio,1.19
2011,Sector público (total),Bizkaia,Ratio,1.1
2016,Sector público (total),Bizkaia,Ratio,1.14
2013,Sector público (total),Bizkaia,Ratio,1.12
2012,Sector público (total),Bizkaia,Ratio,1.11
2022,Sector público (total),Bizkaia,Ratio,1.21
2021,Sector público (total),Bizkaia,Ratio,1.21
2023,Sector público (total),Bizkaia,Ratio,1.29
2010,Sector público (total),Bizkaia,Ratio,1.11
2020,Sector público (total),Bizkaia,Ratio,1.2
2014,Sector público (total),Bizkaia,Ratio,1.13
2021,Sector público (total),Gipuzkoa,Ratio,1.25
2010,Sector público (total),Gipuzkoa,Ratio,1.15
2020,Sector público (total),Gipuzkoa,Ratio,1.24
2016,Sector público (total),Gipuzkoa,Ratio,1.19
2015,Sector público (total),Gipuzkoa,Ratio,1.18
