Year,Series,Units,Value
2000,AG_PRD_FIESMS,Porcentaje,3.5
2004,AG_PRD_FIESMS,Porcentaje,5.2
2008,AG_PRD_FIESMS,Porcentaje,5.7
2012,AG_PRD_FIESMS,Porcentaje,7.7
2014,AG_PRD_FIESMS,Porcentaje,7.5
2016,AG_PRD_FIESMS,Porcentaje,6.7
2018,AG_PRD_FIESMS,Porcentaje,3.9
2020,AG_PRD_FIESMS,Porcentaje,3.7
2022,AG_PRD_FIESMS,Porcentaje,3.0
2000,AG_PRD_FIESS,Porcentaje,1.1
2004,AG_PRD_FIESS,Porcentaje,2.7
2008,AG_PRD_FIESS,Porcentaje,2.1
2012,AG_PRD_FIESS,Porcentaje,3.1
2014,AG_PRD_FIESS,Porcentaje,2.9
2016,AG_PRD_FIESS,Porcentaje,3.1
2018,AG_PRD_FIESS,Porcentaje,1.8
2020,AG_PRD_FIESS,Porcentaje,1.9
2022,AG_PRD_FIESS,Porcentaje,1.1
