Year,Edad,Sex,Units,Value
2013,Y2T17,Male,Percentage,35.0
2018,Y2T17,Male,Percentage,34.1
2013,Y2T17,Female,Percentage,36.4
2018,Y2T17,Female,Percentage,30.3
2013,Y2T17,,Percentage,35.6
2018,Y2T17,,Percentage,33.4
2011,Y_GE18,Male,Percentage,15.2
2013,Y_GE18,Male,Percentage,15.2
2014,Y_GE18,Male,Percentage,14.2
2017,Y_GE18,Male,Percentage,14.2
2018,Y_GE18,Male,Percentage,14.0
2019,Y_GE18,Male,Percentage,13.5
2011,Y_GE18,Female,Percentage,15.3
2013,Y_GE18,Female,Percentage,13.8
2014,Y_GE18,Female,Percentage,11.9
2017,Y_GE18,Female,Percentage,13.5
2018,Y_GE18,Female,Percentage,11.7
2019,Y_GE18,Female,Percentage,13.5
2011,Y_GE18,,Percentage,15.3
2013,Y_GE18,,Percentage,14.5
2014,Y_GE18,,Percentage,13.0
2017,Y_GE18,,Percentage,13.8
2018,Y_GE18,,Percentage,12.8
2019,Y_GE18,,Percentage,13.5
