Year,Province,Units,COL2,COL3,Value
2022,,"Per 1,000 live births",2.4198427102,3.5913221929,4.69
2012,,"Per 1,000 live births",3.5677879715,3.1634788534,2.79
2021,,"Per 1,000 live births",2.7737226277,2.9450950144,3.1
2016,,"Per 1,000 live births",2.8030048212,3.1791273843,3.54
2017,,"Per 1,000 live births",2.1810250818,2.7515953399,3.29
2013,,"Per 1,000 live births",2.6919349629,2.8241200774,2.95
2014,,"Per 1,000 live births",2.8391167192,2.8892787122,2.94
2011,,"Per 1,000 live births",4.2246759482,3.3512697064,2.51
2023,,"Per 1,000 live births",3.0492453118,3.121748179,3.19
2020,,"Per 1,000 live births",2.817298211,3.0514680952,3.27
2010,,"Per 1,000 live births",3.7699371677,3.4973297415,3.24
2018,,"Per 1,000 live births",3.6956798777,3.602037014,3.51
2019,,"Per 1,000 live births",3.3253524874,3.5658713693,3.79
2024,,"Per 1,000 live births",2.0469217446,2.3189302002,2.58
2015,,"Per 1,000 live births",3.3968880123,3.4460820698,3.49
2013,Araba/Álava,"Per 1,000 live births",2.025658339,3.2268473701,4.33
2010,Araba/Álava,"Per 1,000 live births",2.4906600249,2.988643156,3.45
2017,Araba/Álava,"Per 1,000 live births",2.7322404372,3.0384875084,3.34
2014,Araba/Álava,"Per 1,000 live births",2.4953212726,3.0497102775,3.58
2018,Araba/Álava,"Per 1,000 live births",3.0816640986,4.4709388972,5.77
2020,Araba/Álava,"Per 1,000 live births",1.724137931,3.3375052149,4.85
2021,Araba/Álava,"Per 1,000 live births",3.5335689046,3.7990713381,4.04
2011,Araba/Álava,"Per 1,000 live births",5.3412462908,3.7911927676,2.29
2024,Araba/Álava,"Per 1,000 live births",3.8910505837,3.8204393505,3.75
2015,Araba/Álava,"Per 1,000 live births",1.3114754098,2.5316455696,3.67
2022,Araba/Álava,"Per 1,000 live births",1.8315018315,4.4072278537,6.8
2023,Araba/Álava,"Per 1,000 live births",2.8625954198,4.963898917,6.85
2019,Araba/Álava,"Per 1,000 live births",2.390438247,2.3382696804,2.29
2012,Araba/Álava,"Per 1,000 live births",4.5045045045,3.3404190708,2.3
2016,Araba/Álava,"Per 1,000 live births",2.6178010471,3.5772357724,4.52
2011,Bizkaia,"Per 1,000 live births",4.7214353163,3.7411148522,2.78
2013,Bizkaia,"Per 1,000 live births",2.9560810811,2.5683172385,2.2
2014,Bizkaia,"Per 1,000 live births",2.9276453367,2.5662081708,2.22
2015,Bizkaia,"Per 1,000 live births",5.4090601758,4.3897216274,3.47
2017,Bizkaia,"Per 1,000 live births",2.4378352023,2.8159098909,3.17
2018,Bizkaia,"Per 1,000 live births",4.0941658137,3.6487166583,3.22
2019,Bizkaia,"Per 1,000 live births",4.0182159121,3.8834951456,3.76
2021,Bizkaia,"Per 1,000 live births",2.7035145689,2.7298850575,2.75
2022,Bizkaia,"Per 1,000 live births",2.3675643682,3.3498397903,4.3
2023,Bizkaia,"Per 1,000 live births",3.6809815951,3.4472422062,3.22
2024,Bizkaia,"Per 1,000 live births",1.2582573136,1.5573898147,1.85
2010,Bizkaia,"Per 1,000 live births",4.2381044115,4.1517267409,4.07
2020,Bizkaia,"Per 1,000 live births",3.1419594402,3.0038230475,2.88
2016,Bizkaia,"Per 1,000 live births",2.9180695847,3.3868676937,3.83
2012,Bizkaia,"Per 1,000 live births",3.1948881789,3.1896385076,3.18
2024,Gipuzkoa,"Per 1,000 live births",2.3320895522,2.7137042062,3.07
2010,Gipuzkoa,"Per 1,000 live births",3.6640360767,2.772002772,1.91
2011,Gipuzkoa,"Per 1,000 live births",2.9112081514,2.5477707006,2.2
2012,Gipuzkoa,"Per 1,000 live births",3.6945812808,3.0399536769,2.46
2013,Gipuzkoa,"Per 1,000 live births",2.6058631922,3.0216284987,3.42
2014,Gipuzkoa,"Per 1,000 live births",2.88,3.3013677095,3.71
2015,Gipuzkoa,"Per 1,000 live births",1.580278129,2.5149324112,3.44
2016,Gipuzkoa,"Per 1,000 live births",2.7247956403,2.6595744681,2.6
2017,Gipuzkoa,"Per 1,000 live births",1.488649051,2.5017869907,3.44
2018,Gipuzkoa,"Per 1,000 live births",3.4078000757,3.1078610603,2.83
2019,Gipuzkoa,"Per 1,000 live births",2.766798419,3.701539061,4.61
2020,Gipuzkoa,"Per 1,000 live births",2.8712059065,2.9844807004,3.09
2021,Gipuzkoa,"Per 1,000 live births",2.5115110925,2.8386050284,3.15
2022,Gipuzkoa,"Per 1,000 live births",2.8024287716,3.5484586383,4.22
2023,Gipuzkoa,"Per 1,000 live births",2.2212350067,1.7520805957,1.3
