Year,Sex,Province,Units,Value
2019,,,"Per 1,000 live births",3.57
2021,,,"Per 1,000 live births",2.95
2023,,,"Per 1,000 live births",3.12
2020,,,"Per 1,000 live births",3.05
2022,,,"Per 1,000 live births",3.59
2010,,,"Per 1,000 live births",3.5
2016,,,"Per 1,000 live births",3.18
2013,,,"Per 1,000 live births",2.77
2014,,,"Per 1,000 live births",2.89
2017,,,"Per 1,000 live births",2.75
2015,,,"Per 1,000 live births",3.45
2011,,,"Per 1,000 live births",3.35
2012,,,"Per 1,000 live births",3.17
2018,,,"Per 1,000 live births",3.6
2010,,Araba/Álava,"Per 1,000 live births",2.99
2017,,Araba/Álava,"Per 1,000 live births",3.04
2019,,Araba/Álava,"Per 1,000 live births",2.34
2013,,Araba/Álava,"Per 1,000 live births",3.23
2012,,Araba/Álava,"Per 1,000 live births",3.34
2016,,Araba/Álava,"Per 1,000 live births",3.25
2023,,Araba/Álava,"Per 1,000 live births",4.96
2011,,Araba/Álava,"Per 1,000 live births",3.79
2018,,Araba/Álava,"Per 1,000 live births",4.47
2022,,Araba/Álava,"Per 1,000 live births",4.41
2014,,Araba/Álava,"Per 1,000 live births",3.05
2015,,Araba/Álava,"Per 1,000 live births",2.53
2020,,Araba/Álava,"Per 1,000 live births",3.34
2021,,Araba/Álava,"Per 1,000 live births",3.8
2011,,Bizkaia,"Per 1,000 live births",3.74
2012,,Bizkaia,"Per 1,000 live births",3.19
2013,,Bizkaia,"Per 1,000 live births",2.47
2016,,Bizkaia,"Per 1,000 live births",3.39
2022,,Bizkaia,"Per 1,000 live births",3.35
2019,,Bizkaia,"Per 1,000 live births",3.89
2014,,Bizkaia,"Per 1,000 live births",2.57
2023,,Bizkaia,"Per 1,000 live births",3.45
2020,,Bizkaia,"Per 1,000 live births",3.01
2018,,Bizkaia,"Per 1,000 live births",3.65
2010,,Bizkaia,"Per 1,000 live births",4.15
2015,,Bizkaia,"Per 1,000 live births",4.39
2021,,Bizkaia,"Per 1,000 live births",2.73
2017,,Bizkaia,"Per 1,000 live births",2.82
2017,,Gipuzkoa,"Per 1,000 live births",2.5
2018,,Gipuzkoa,"Per 1,000 live births",3.11
2022,,Gipuzkoa,"Per 1,000 live births",3.55
2013,,Gipuzkoa,"Per 1,000 live births",3.02
2021,,Gipuzkoa,"Per 1,000 live births",2.84
2010,,Gipuzkoa,"Per 1,000 live births",2.77
2019,,Gipuzkoa,"Per 1,000 live births",3.7
2015,,Gipuzkoa,"Per 1,000 live births",2.52
2016,,Gipuzkoa,"Per 1,000 live births",2.66
2011,,Gipuzkoa,"Per 1,000 live births",2.55
2012,,Gipuzkoa,"Per 1,000 live births",3.04
2020,,Gipuzkoa,"Per 1,000 live births",2.99
2023,,Gipuzkoa,"Per 1,000 live births",1.75
2014,,Gipuzkoa,"Per 1,000 live births",3.3
2016,F,,"Per 1,000 live births",2.8
2015,F,,"Per 1,000 live births",3.4
2013,F,,"Per 1,000 live births",2.58
2012,F,,"Per 1,000 live births",3.57
2014,F,,"Per 1,000 live births",2.84
2022,F,,"Per 1,000 live births",2.42
2021,F,,"Per 1,000 live births",2.77
2019,F,,"Per 1,000 live births",3.33
2017,F,,"Per 1,000 live births",2.18
2010,F,,"Per 1,000 live births",3.77
2020,F,,"Per 1,000 live births",2.82
2018,F,,"Per 1,000 live births",3.7
2023,F,,"Per 1,000 live births",3.05
2011,F,,"Per 1,000 live births",4.23
2022,F,Araba/Álava,"Per 1,000 live births",1.83
2018,F,Araba/Álava,"Per 1,000 live births",3.08
2020,F,Araba/Álava,"Per 1,000 live births",1.72
2010,F,Araba/Álava,"Per 1,000 live births",2.49
2021,F,Araba/Álava,"Per 1,000 live births",3.53
2019,F,Araba/Álava,"Per 1,000 live births",2.39
2017,F,Araba/Álava,"Per 1,000 live births",2.73
2015,F,Araba/Álava,"Per 1,000 live births",1.31
2016,F,Araba/Álava,"Per 1,000 live births",2.62
2013,F,Araba/Álava,"Per 1,000 live births",2.03
2012,F,Araba/Álava,"Per 1,000 live births",4.5
2011,F,Araba/Álava,"Per 1,000 live births",5.34
2014,F,Araba/Álava,"Per 1,000 live births",2.5
2023,F,Araba/Álava,"Per 1,000 live births",2.86
2022,F,Bizkaia,"Per 1,000 live births",2.37
2023,F,Bizkaia,"Per 1,000 live births",3.68
2019,F,Bizkaia,"Per 1,000 live births",4.02
2018,F,Bizkaia,"Per 1,000 live births",4.1
2016,F,Bizkaia,"Per 1,000 live births",2.92
