Year,Province,Sex,Units,Value
2011,,,"Per 1,000 live births",1.7
2010,,,"Per 1,000 live births",1.75
2020,,,"Per 1,000 live births",1.76
2016,,,"Per 1,000 live births",1.43
2014,,,"Per 1,000 live births",1.5
2015,,,"Per 1,000 live births",1.7
2017,,,"Per 1,000 live births",1.41
2012,,,"Per 1,000 live births",1.7
2018,,,"Per 1,000 live births",2.18
2022,,,"Per 1,000 live births",2.2
2021,,,"Per 1,000 live births",1.54
2013,,,"Per 1,000 live births",1.46
2019,,,"Per 1,000 live births",2.08
2023,,,"Per 1,000 live births",1.78
2015,Araba/Álava,,"Per 1,000 live births",0.95
2012,Araba/Álava,,"Per 1,000 live births",2.43
2010,Araba/Álava,,"Per 1,000 live births",1.49
2017,Araba/Álava,,"Per 1,000 live births",1.01
2014,Araba/Álava,,"Per 1,000 live births",1.83
2019,Araba/Álava,,"Per 1,000 live births",1.56
2011,Araba/Álava,,"Per 1,000 live births",2.04
2016,Araba/Álava,,"Per 1,000 live births",1.63
2020,Araba/Álava,,"Per 1,000 live births",1.25
2021,Araba/Álava,,"Per 1,000 live births",2.96
2013,Araba/Álava,,"Per 1,000 live births",1.29
2023,Araba/Álava,,"Per 1,000 live births",3.61
2022,Araba/Álava,,"Per 1,000 live births",3.09
2018,Araba/Álava,,"Per 1,000 live births",1.49
2020,Bizkaia,,"Per 1,000 live births",1.78
2018,Bizkaia,,"Per 1,000 live births",2.64
2010,Bizkaia,,"Per 1,000 live births",2.36
2019,Bizkaia,,"Per 1,000 live births",2.59
2012,Bizkaia,,"Per 1,000 live births",1.74
2015,Bizkaia,,"Per 1,000 live births",2.14
2023,Bizkaia,,"Per 1,000 live births",1.65
2013,Bizkaia,,"Per 1,000 live births",1.03
2016,Bizkaia,,"Per 1,000 live births",1.64
2022,Bizkaia,,"Per 1,000 live births",2.19
2017,Bizkaia,,"Per 1,000 live births",1.88
2011,Bizkaia,,"Per 1,000 live births",2.06
2014,Bizkaia,,"Per 1,000 live births",1.33
2021,Bizkaia,,"Per 1,000 live births",1.15
2014,Gipuzkoa,,"Per 1,000 live births",1.57
2016,Gipuzkoa,,"Per 1,000 live births",1.0
2010,Gipuzkoa,,"Per 1,000 live births",0.97
2017,Gipuzkoa,,"Per 1,000 live births",0.89
2018,Gipuzkoa,,"Per 1,000 live births",1.83
2019,Gipuzkoa,,"Per 1,000 live births",1.56
2023,Gipuzkoa,,"Per 1,000 live births",1.1
2011,Gipuzkoa,,"Per 1,000 live births",0.99
2020,Gipuzkoa,,"Per 1,000 live births",1.99
2021,Gipuzkoa,,"Per 1,000 live births",1.42
2022,Gipuzkoa,,"Per 1,000 live births",1.77
2015,Gipuzkoa,,"Per 1,000 live births",1.41
2013,Gipuzkoa,,"Per 1,000 live births",2.23
2012,Gipuzkoa,,"Per 1,000 live births",1.3
2019,,F,"Per 1,000 live births",2.0
2020,,F,"Per 1,000 live births",2.11
2012,,F,"Per 1,000 live births",1.84
2021,,F,"Per 1,000 live births",1.31
2014,,F,"Per 1,000 live births",1.26
2015,,F,"Per 1,000 live births",1.75
2010,,F,"Per 1,000 live births",1.74
2018,,F,"Per 1,000 live births",2.3
2016,,F,"Per 1,000 live births",1.23
2023,,F,"Per 1,000 live births",1.68
2022,,F,"Per 1,000 live births",1.66
2017,,F,"Per 1,000 live births",1.33
2011,,F,"Per 1,000 live births",2.59
2013,,F,"Per 1,000 live births",0.97
2016,Araba/Álava,F,"Per 1,000 live births",1.31
2015,Araba/Álava,F,"Per 1,000 live births",0.66
2014,Araba/Álava,F,"Per 1,000 live births",1.87
2013,Araba/Álava,F,"Per 1,000 live births",0.0
2011,Araba/Álava,F,"Per 1,000 live births",2.37
2022,Araba/Álava,F,"Per 1,000 live births",0.92
2012,Araba/Álava,F,"Per 1,000 live births",2.57
2023,Araba/Álava,F,"Per 1,000 live births",2.86
2021,Araba/Álava,F,"Per 1,000 live births",2.65
2017,Araba/Álava,F,"Per 1,000 live births",1.37
2010,Araba/Álava,F,"Per 1,000 live births",0.62
2020,Araba/Álava,F,"Per 1,000 live births",0.86
2018,Araba/Álava,F,"Per 1,000 live births",0.0
2019,Araba/Álava,F,"Per 1,000 live births",2.39
2017,Bizkaia,F,"Per 1,000 live births",1.95
2019,Bizkaia,F,"Per 1,000 live births",2.41
2021,Bizkaia,F,"Per 1,000 live births",0.9
2023,Bizkaia,F,"Per 1,000 live births",1.53
2016,Bizkaia,F,"Per 1,000 live births",1.57
2015,Bizkaia,F,"Per 1,000 live births",2.93
2013,Bizkaia,F,"Per 1,000 live births",1.06
2012,Bizkaia,F,"Per 1,000 live births",2.0
2011,Bizkaia,F,"Per 1,000 live births",3.21
2010,Bizkaia,F,"Per 1,000 live births",2.31
2014,Bizkaia,F,"Per 1,000 live births",1.26
2018,Bizkaia,F,"Per 1,000 live births",3.07
2020,Bizkaia,F,"Per 1,000 live births",2.57
2022,Bizkaia,F,"Per 1,000 live births",2.07
2010,Gipuzkoa,F,"Per 1,000 live births",1.41
2012,Gipuzkoa,F,"Per 1,000 live births",1.23
2013,Gipuzkoa,F,"Per 1,000 live births",1.3
2015,Gipuzkoa,F,"Per 1,000 live births",0.63
2023,Gipuzkoa,F,"Per 1,000 live births",1.33
2022,Gipuzkoa,F,"Per 1,000 live births",1.4
2021,Gipuzkoa,F,"Per 1,000 live births",1.26
2020,Gipuzkoa,F,"Per 1,000 live births",2.05
2019,Gipuzkoa,F,"Per 1,000 live births",1.19
2018,Gipuzkoa,F,"Per 1,000 live births",2.27
2017,Gipuzkoa,F,"Per 1,000 live births",0.37
2016,Gipuzkoa,F,"Per 1,000 live births",0.68
2014,Gipuzkoa,F,"Per 1,000 live births",0.96
2011,Gipuzkoa,F,"Per 1,000 live births",1.75
2020,,M,"Per 1,000 live births",1.44
2021,,M,"Per 1,000 live births",1.75
2019,,M,"Per 1,000 live births",2.15
2017,,M,"Per 1,000 live births",1.47
2022,,M,"Per 1,000 live births",2.7
2012,,M,"Per 1,000 live births",1.58
2014,,M,"Per 1,000 live births",1.72
2013,,M,"Per 1,000 live births",1.93
2010,,M,"Per 1,000 live births",1.76
2018,,M,"Per 1,000 live births",2.06
2011,,M,"Per 1,000 live births",0.84
2015,,M,"Per 1,000 live births",1.64
2016,,M,"Per 1,000 live births",1.61
2023,,M,"Per 1,000 live births",1.89
2013,Araba/Álava,M,"Per 1,000 live births",2.47
2011,Araba/Álava,M,"Per 1,000 live births",1.72
2017,Araba/Álava,M,"Per 1,000 live births",0.67
2016,Araba/Álava,M,"Per 1,000 live births",1.94
2021,Araba/Álava,M,"Per 1,000 live births",3.24
2015,Araba/Álava,M,"Per 1,000 live births",1.22
2022,Araba/Álava,M,"Per 1,000 live births",5.1
2012,Araba/Álava,M,"Per 1,000 live births",2.3
2020,Araba/Álava,M,"Per 1,000 live births",1.62
2023,Araba/Álava,M,"Per 1,000 live births",4.28
2014,Araba/Álava,M,"Per 1,000 live births",1.79
2018,Araba/Álava,M,"Per 1,000 live births",2.89
2019,Araba/Álava,M,"Per 1,000 live births",0.76
2010,Araba/Álava,M,"Per 1,000 live births",2.3
2022,Bizkaia,M,"Per 1,000 live births",2.3
2021,Bizkaia,M,"Per 1,000 live births",1.38
2020,Bizkaia,M,"Per 1,000 live births",1.05
2019,Bizkaia,M,"Per 1,000 live births",2.76
2018,Bizkaia,M,"Per 1,000 live births",2.23
2017,Bizkaia,M,"Per 1,000 live births",1.81
2016,Bizkaia,M,"Per 1,000 live births",1.7
